Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,SAC,POR,29:08,21,2,11,True
2021-10-22,SAC,UTA,17:50,6,2,10,True
2021-10-24,SAC,GSW,31:39,16,1,11,True
2021-10-27,SAC,PHO,29:12,12,3,12,True
2021-10-29,SAC,NOP,31:48,21,1,6,True
2021-10-31,SAC,DAL,26:35,22,0,13,True
2021-11-02,SAC,UTA,32:41,10,4,10,True
2021-11-03,SAC,NOP,16:23,12,1,6,True
2021-11-05,SAC,CHO,33:15,23,2,20,True
2021-11-07,SAC,IND,27:34,11,0,9,True
2021-11-08,SAC,PHO,24:57,7,1,8,True
2021-11-10,SAC,SAS,18:39,6,0,12,True
2021-11-12,SAC,OKC,32:16,16,1,15,True
2021-11-15,SAC,DET,29:55,19,1,9,True
2021-11-17,SAC,MIN,29:59,12,0,7,True
2021-11-19,SAC,TOR,22:11,6,1,3,True
2021-11-20,SAC,UTA,31:08,22,0,7,True
2021-11-22,SAC,PHI,27:30,18,1,8,True
2021-11-24,SAC,POR,N/A,N/A,N/A,N/A,False
2021-11-26,SAC,LAL,N/A,N/A,N/A,N/A,False
2021-11-28,SAC,MEM,N/A,N/A,N/A,N/A,False
2021-11-30,SAC,LAL,33:21,27,2,8,True
2021-12-01,SAC,LAC,32:46,16,3,11,True
2021-12-04,SAC,LAC,27:00,1,3,6,True
2021-12-08,SAC,ORL,10:00,4,1,3,True
2021-12-10,SAC,CHO,N/A,N/A,N/A,N/A,False
2021-12-11,SAC,CLE,N/A,N/A,N/A,N/A,False
2021-12-13,SAC,TOR,N/A,N/A,N/A,N/A,False
2021-12-15,SAC,WAS,N/A,N/A,N/A,N/A,False
2021-12-17,SAC,MEM,N/A,N/A,N/A,N/A,False
2021-12-19,SAC,SAS,N/A,N/A,N/A,N/A,False
2021-12-20,SAC,GSW,N/A,N/A,N/A,N/A,False
2021-12-22,SAC,LAC,16:56,4,0,7,True
2021-12-26,SAC,MEM,13:12,0,1,4,True
2021-12-28,SAC,OKC,24:48,9,1,6,True
2021-12-29,SAC,DAL,26:12,8,3,6,True
2021-12-31,SAC,DAL,28:59,11,0,7,True
2022-01-02,SAC,MIA,N/A,N/A,N/A,N/A,False
2022-01-04,SAC,LAL,N/A,N/A,N/A,N/A,False
2022-01-05,SAC,ATL,N/A,N/A,N/A,N/A,False
2022-01-07,SAC,DEN,N/A,N/A,N/A,N/A,False
2022-01-09,SAC,POR,N/A,N/A,N/A,N/A,False
2022-01-10,SAC,CLE,N/A,N/A,N/A,N/A,False
2022-01-12,SAC,LAL,N/A,N/A,N/A,N/A,False
2022-01-14,SAC,HOU,N/A,N/A,N/A,N/A,False
2022-01-16,SAC,HOU,14:55,4,0,0,True
2022-01-19,SAC,DET,27:52,10,0,3,True
2022-01-22,SAC,MIL,24:30,17,2,7,True
2022-01-25,SAC,BOS,23:32,9,0,9,True
2022-01-26,SAC,ATL,28:22,12,1,5,True
2022-01-29,SAC,PHI,30:45,10,1,9,True
2022-01-31,SAC,NYK,25:30,8,0,7,True
2022-02-02,SAC,BRK,20:54,9,1,9,True
2022-02-03,SAC,GSW,24:02,4,3,4,True
2022-02-05,SAC,OKC,24:58,14,0,6,True
2022-02-08,SAC,MIN,N/A,N/A,N/A,N/A,False
2022-02-09,SAC,MIN,11:36,2,3,0,False
2022-02-12,SAC,WAS,16:56,6,0,0,False
2022-02-14,SAC,BRK,22:21,4,0,6,False
2022-02-16,SAC,CHI,10:15,0,0,2,False
2022-02-24,SAC,DEN,N/A,N/A,N/A,N/A,False
2022-02-26,SAC,DEN,N/A,N/A,N/A,N/A,False
2022-02-28,SAC,OKC,N/A,N/A,N/A,N/A,False
2022-03-02,SAC,NOP,N/A,N/A,N/A,N/A,False
2022-03-03,SAC,SAS,N/A,N/A,N/A,N/A,False
2022-03-05,SAC,DAL,15:51,6,0,6,False
2022-03-07,SAC,NYK,N/A,N/A,N/A,N/A,False
2022-03-09,SAC,DEN,N/A,N/A,N/A,N/A,False
2022-03-12,SAC,UTA,22:46,7,1,6,False
2022-03-14,SAC,CHI,10:15,0,0,1,False
2022-03-16,SAC,MIL,12:50,6,1,2,False
2022-03-18,SAC,BOS,N/A,N/A,N/A,N/A,False
2022-03-20,SAC,PHO,N/A,N/A,N/A,N/A,False
2022-03-23,SAC,IND,N/A,N/A,N/A,N/A,False
2022-03-26,SAC,ORL,N/A,N/A,N/A,N/A,False
2022-03-28,SAC,MIA,N/A,N/A,N/A,N/A,False
2022-03-30,SAC,HOU,N/A,N/A,N/A,N/A,False
2022-04-01,SAC,HOU,N/A,N/A,N/A,N/A,False
2022-04-03,SAC,GSW,N/A,N/A,N/A,N/A,False
2022-04-05,SAC,NOP,N/A,N/A,N/A,N/A,False
2022-04-09,SAC,LAC,N/A,N/A,N/A,N/A,False
2022-04-10,SAC,PHO,N/A,N/A,N/A,N/A,False
