Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,DEN,UTA,16:12,10,3,0,False
2022-10-21,DEN,GSW,19:15,14,5,0,False
2022-10-22,DEN,OKC,14:17,1,3,1,False
2022-10-24,DEN,POR,18:09,15,3,1,False
2022-10-26,DEN,LAL,16:44,6,5,3,False
2022-10-28,DEN,UTA,24:02,26,3,1,False
2022-10-30,DEN,LAL,N/A,N/A,N/A,N/A,False
2022-11-03,DEN,OKC,N/A,N/A,N/A,N/A,False
2022-11-05,DEN,SAS,24:58,24,7,5,False
2022-11-07,DEN,SAS,23:24,14,1,2,False
2022-11-09,DEN,IND,29:46,16,3,2,False
2022-11-11,DEN,BOS,N/A,N/A,N/A,N/A,False
2022-11-13,DEN,CHI,N/A,N/A,N/A,N/A,False
2022-11-16,DEN,NYK,22:30,21,2,7,False
2022-11-18,DEN,DAL,26:48,17,6,2,False
2022-11-20,DEN,DAL,35:02,29,6,3,False
2022-11-22,DEN,DET,9:19,2,0,0,False
2022-11-23,DEN,OKC,N/A,N/A,N/A,N/A,False
2022-11-25,DEN,LAC,N/A,N/A,N/A,N/A,False
2022-11-28,DEN,HOU,N/A,N/A,N/A,N/A,False
2022-11-30,DEN,HOU,N/A,N/A,N/A,N/A,False
2022-12-02,DEN,ATL,22:01,16,2,2,False
2022-12-04,DEN,NOP,5:00,0,1,0,False
2022-12-06,DEN,DAL,30:00,20,5,4,False
2022-12-08,DEN,POR,25:33,13,4,5,False
2022-12-10,DEN,UTA,21:09,11,1,2,False
2022-12-14,DEN,WAS,28:14,23,6,2,False
2022-12-16,DEN,LAL,14:42,5,2,2,False
2022-12-18,DEN,CHO,16:52,7,1,1,False
2022-12-20,DEN,MEM,15:15,12,1,1,False
2022-12-23,DEN,POR,16:15,7,1,3,False
2022-12-25,DEN,PHO,14:08,3,1,2,False
2022-12-27,DEN,SAC,19:12,5,6,1,False
2022-12-28,DEN,SAC,33:25,20,11,5,True
2022-12-30,DEN,MIA,23:12,16,4,1,False
2023-01-01,DEN,BOS,19:09,17,4,2,False
2023-01-02,DEN,MIN,22:20,18,2,6,False
2023-01-05,DEN,LAC,19:30,16,1,3,False
2023-01-06,DEN,CLE,16:55,13,2,2,False
2023-01-09,DEN,LAL,19:34,12,1,2,False
2023-01-11,DEN,PHO,23:47,21,4,1,False
2023-01-13,DEN,LAC,20:02,7,3,4,False
2023-01-15,DEN,ORL,8:41,4,3,2,False
2023-01-17,DEN,POR,15:40,5,1,2,False
2023-01-18,DEN,MIN,18:31,9,2,1,False
2023-01-20,DEN,IND,8:45,5,2,0,False
2023-01-22,DEN,OKC,11:22,0,3,0,False
2023-01-24,DEN,NOP,N/A,N/A,N/A,N/A,False
2023-01-25,DEN,MIL,24:43,15,1,2,False
2023-01-28,DEN,PHI,21:08,11,2,1,False
2023-01-31,DEN,NOP,4:43,2,1,0,False
2023-02-02,DEN,GSW,N/A,N/A,N/A,N/A,False
2023-02-04,DEN,ATL,N/A,N/A,N/A,N/A,False
2023-02-05,DEN,MIN,N/A,N/A,N/A,N/A,False
2023-02-07,DEN,MIN,N/A,N/A,N/A,N/A,False
2023-02-09,DEN,ORL,N/A,N/A,N/A,N/A,False
2023-02-10,LAC,MIL,N/A,N/A,N/A,N/A,False
2023-02-14,LAC,GSW,15:51,6,2,4,False
2023-02-16,LAC,PHO,15:56,9,1,3,False
2023-02-24,LAC,SAC,N/A,N/A,N/A,N/A,False
2023-02-26,LAC,DEN,14:50,10,2,2,False
2023-02-28,LAC,MIN,N/A,N/A,N/A,N/A,False
2023-03-02,LAC,GSW,12:18,6,1,5,False
2023-03-03,LAC,SAC,12:18,4,2,4,False
2023-03-05,LAC,MEM,N/A,N/A,N/A,N/A,False
2023-03-08,LAC,TOR,N/A,N/A,N/A,N/A,False
2023-03-11,LAC,NYK,N/A,N/A,N/A,N/A,False
2023-03-15,LAC,GSW,N/A,N/A,N/A,N/A,False
2023-03-18,LAC,ORL,N/A,N/A,N/A,N/A,False
2023-03-19,LAC,POR,N/A,N/A,N/A,N/A,False
2023-03-21,LAC,OKC,N/A,N/A,N/A,N/A,False
2023-03-23,LAC,OKC,25:48,16,7,4,False
2023-03-25,LAC,NOP,23:51,18,7,2,False
2023-03-27,LAC,CHI,23:46,13,8,2,False
2023-03-29,LAC,MEM,21:36,20,6,5,False
2023-03-31,LAC,MEM,23:32,10,1,4,False
2023-04-01,LAC,NOP,15:11,5,1,1,False
2023-04-05,LAC,LAL,20:51,14,4,2,False
2023-04-08,LAC,POR,21:40,9,3,6,False
2023-04-09,LAC,PHO,17:50,11,2,5,False
