Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-19,BRK,MIL,N/A,N/A,N/A,N/A,False
2021-10-22,BRK,PHI,N/A,N/A,N/A,N/A,False
2021-10-24,BRK,CHO,N/A,N/A,N/A,N/A,False
2021-10-25,BRK,WAS,N/A,N/A,N/A,N/A,False
2021-10-27,BRK,MIA,N/A,N/A,N/A,N/A,False
2021-10-29,BRK,IND,N/A,N/A,N/A,N/A,False
2021-10-31,BRK,DET,N/A,N/A,N/A,N/A,False
2021-11-03,BRK,ATL,N/A,N/A,N/A,N/A,False
2021-11-05,BRK,DET,N/A,N/A,N/A,N/A,False
2021-11-07,BRK,TOR,N/A,N/A,N/A,N/A,False
2021-11-08,BRK,CHI,N/A,N/A,N/A,N/A,False
2021-11-10,BRK,ORL,N/A,N/A,N/A,N/A,False
2021-11-12,BRK,NOP,N/A,N/A,N/A,N/A,False
2021-11-14,BRK,OKC,N/A,N/A,N/A,N/A,False
2021-11-16,BRK,GSW,N/A,N/A,N/A,N/A,False
2021-11-17,BRK,CLE,N/A,N/A,N/A,N/A,False
2021-11-19,BRK,ORL,N/A,N/A,N/A,N/A,False
2021-11-22,BRK,CLE,N/A,N/A,N/A,N/A,False
2021-11-24,BRK,BOS,N/A,N/A,N/A,N/A,False
2021-11-27,BRK,PHO,N/A,N/A,N/A,N/A,False
2021-11-30,BRK,NYK,N/A,N/A,N/A,N/A,False
2021-12-03,BRK,MIN,N/A,N/A,N/A,N/A,False
2021-12-04,BRK,CHI,N/A,N/A,N/A,N/A,False
2021-12-07,BRK,DAL,N/A,N/A,N/A,N/A,False
2021-12-08,BRK,HOU,N/A,N/A,N/A,N/A,False
2021-12-10,BRK,ATL,N/A,N/A,N/A,N/A,False
2021-12-12,BRK,DET,N/A,N/A,N/A,N/A,False
2021-12-14,BRK,TOR,N/A,N/A,N/A,N/A,False
2021-12-16,BRK,PHI,N/A,N/A,N/A,N/A,False
2021-12-18,BRK,ORL,N/A,N/A,N/A,N/A,False
2021-12-25,BRK,LAL,N/A,N/A,N/A,N/A,False
2021-12-27,BRK,LAC,N/A,N/A,N/A,N/A,False
2021-12-30,BRK,PHI,N/A,N/A,N/A,N/A,False
2022-01-01,BRK,LAC,N/A,N/A,N/A,N/A,False
2022-01-03,BRK,MEM,N/A,N/A,N/A,N/A,False
2022-01-05,BRK,IND,31:59,22,4,3,True
2022-01-07,BRK,MIL,N/A,N/A,N/A,N/A,False
2022-01-09,BRK,SAS,N/A,N/A,N/A,N/A,False
2022-01-10,BRK,POR,39:39,22,4,8,True
2022-01-12,BRK,CHI,24:42,9,3,4,True
2022-01-13,BRK,OKC,N/A,N/A,N/A,N/A,False
2022-01-15,BRK,NOP,N/A,N/A,N/A,N/A,False
2022-01-17,BRK,CLE,37:34,27,9,7,True
2022-01-19,BRK,WAS,37:58,30,7,3,True
2022-01-21,BRK,SAS,35:28,24,4,3,True
2022-01-23,BRK,MIN,34:36,30,5,6,True
2022-01-25,BRK,LAL,N/A,N/A,N/A,N/A,False
2022-01-26,BRK,DEN,N/A,N/A,N/A,N/A,False
2022-01-29,BRK,GSW,39:20,32,7,8,True
2022-02-01,BRK,PHO,36:34,26,3,4,True
2022-02-02,BRK,SAC,36:52,14,1,3,True
2022-02-04,BRK,UTA,31:19,15,6,3,True
2022-02-06,BRK,DEN,41:01,27,11,5,True
2022-02-08,BRK,BOS,N/A,N/A,N/A,N/A,False
2022-02-10,BRK,WAS,38:22,31,6,5,True
2022-02-12,BRK,MIA,41:13,29,5,5,True
2022-02-14,BRK,SAC,N/A,N/A,N/A,N/A,False
2022-02-16,BRK,NYK,N/A,N/A,N/A,N/A,False
2022-02-17,BRK,WAS,N/A,N/A,N/A,N/A,False
2022-02-24,BRK,BOS,N/A,N/A,N/A,N/A,False
2022-02-26,BRK,MIL,39:09,38,5,5,True
2022-02-28,BRK,TOR,N/A,N/A,N/A,N/A,False
2022-03-01,BRK,TOR,N/A,N/A,N/A,N/A,False
2022-03-03,BRK,MIA,N/A,N/A,N/A,N/A,False
2022-03-06,BRK,BOS,37:14,19,6,4,True
2022-03-08,BRK,CHO,37:30,50,6,3,True
2022-03-10,BRK,PHI,30:17,22,5,4,True
2022-03-13,BRK,NYK,N/A,N/A,N/A,N/A,False
2022-03-15,BRK,ORL,34:56,60,4,6,True
2022-03-16,BRK,DAL,N/A,N/A,N/A,N/A,False
2022-03-18,BRK,POR,N/A,N/A,N/A,N/A,False
2022-03-21,BRK,UTA,N/A,N/A,N/A,N/A,False
2022-03-23,BRK,MEM,43:49,43,8,2,True
2022-03-26,BRK,MIA,30:18,11,6,4,True
2022-03-27,BRK,CHO,40:31,16,11,2,True
2022-03-29,BRK,DET,39:37,24,4,1,True
2022-03-31,BRK,MIL,44:43,25,5,3,True
2022-04-02,BRK,ATL,44:29,31,6,2,True
2022-04-05,BRK,HOU,40:16,42,6,3,True
2022-04-06,BRK,NYK,42:39,24,7,8,True
2022-04-08,BRK,CLE,39:28,18,8,6,True
2022-04-10,BRK,IND,39:52,35,5,7,True
