Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,DEN,UTA,33:25,27,6,4,True
2022-10-21,DEN,GSW,34:24,26,10,12,True
2022-10-22,DEN,OKC,38:41,19,13,16,True
2022-10-24,DEN,POR,26:58,9,9,9,True
2022-10-26,DEN,LAL,34:48,31,9,13,True
2022-10-28,DEN,UTA,25:28,12,6,10,True
2022-10-30,DEN,LAL,35:52,23,6,14,True
2022-11-03,DEN,OKC,35:38,15,14,13,True
2022-11-05,DEN,SAS,26:34,21,10,6,True
2022-11-07,DEN,SAS,33:57,26,10,8,True
2022-11-09,DEN,IND,20:42,24,6,4,True
2022-11-11,DEN,BOS,29:44,29,3,8,True
2022-11-13,DEN,CHI,27:36,8,14,6,True
2022-11-16,DEN,NYK,N/A,N/A,N/A,N/A,False
2022-11-18,DEN,DAL,N/A,N/A,N/A,N/A,False
2022-11-20,DEN,DAL,N/A,N/A,N/A,N/A,False
2022-11-22,DEN,DET,36:44,31,10,9,True
2022-11-23,DEN,OKC,43:09,39,9,10,True
2022-11-25,DEN,LAC,32:24,19,6,13,True
2022-11-28,DEN,HOU,27:27,32,8,12,True
2022-11-30,DEN,HOU,27:33,17,12,9,True
2022-12-02,DEN,ATL,35:04,24,8,10,True
2022-12-04,DEN,NOP,37:17,32,9,16,True
2022-12-06,DEN,DAL,34:03,19,8,8,True
2022-12-08,DEN,POR,34:21,33,9,10,True
2022-12-10,DEN,UTA,35:22,31,14,12,True
2022-12-14,DEN,WAS,33:03,43,8,14,True
2022-12-16,DEN,LAL,35:17,25,8,11,True
2022-12-18,DEN,CHO,39:41,40,10,27,True
2022-12-20,DEN,MEM,37:05,13,13,13,True
2022-12-23,DEN,POR,35:43,29,11,8,True
2022-12-25,DEN,PHO,44:25,41,15,15,True
2022-12-27,DEN,SAC,36:53,20,11,9,True
2022-12-28,DEN,SAC,32:29,40,6,7,True
2022-12-30,DEN,MIA,36:17,19,12,12,True
2023-01-01,DEN,BOS,32:02,30,12,12,True
2023-01-02,DEN,MIN,33:17,24,9,7,True
2023-01-05,DEN,LAC,24:11,12,9,6,True
2023-01-06,DEN,CLE,35:23,28,10,15,True
2023-01-09,DEN,LAL,35:09,14,16,11,True
2023-01-11,DEN,PHO,28:18,21,9,18,True
2023-01-13,DEN,LAC,N/A,N/A,N/A,N/A,False
2023-01-15,DEN,ORL,34:47,17,14,10,True
2023-01-17,DEN,POR,34:28,36,10,12,True
2023-01-18,DEN,MIN,31:12,31,13,11,True
2023-01-20,DEN,IND,N/A,N/A,N/A,N/A,False
2023-01-22,DEN,OKC,N/A,N/A,N/A,N/A,False
2023-01-24,DEN,NOP,36:05,25,10,11,True
2023-01-25,DEN,MIL,N/A,N/A,N/A,N/A,False
2023-01-28,DEN,PHI,38:19,24,9,8,True
2023-01-31,DEN,NOP,38:00,26,15,18,True
2023-02-02,DEN,GSW,32:42,22,16,14,True
2023-02-04,DEN,ATL,34:20,14,10,18,True
2023-02-05,DEN,MIN,N/A,N/A,N/A,N/A,False
2023-02-07,DEN,MIN,27:45,20,16,12,True
2023-02-09,DEN,ORL,37:39,29,6,12,True
2023-02-11,DEN,CHO,34:03,30,10,16,True
2023-02-13,DEN,MIA,33:54,27,8,12,True
2023-02-15,DEN,DAL,34:08,14,10,13,True
2023-02-23,DEN,CLE,35:51,24,13,18,True
2023-02-25,DEN,MEM,26:41,15,3,13,True
2023-02-26,DEN,LAC,41:33,40,10,17,True
2023-02-28,DEN,HOU,27:45,14,10,11,True
2023-03-03,DEN,MEM,35:18,18,10,18,True
2023-03-06,DEN,TOR,36:13,17,9,13,True
2023-03-08,DEN,CHI,35:02,18,8,12,True
2023-03-10,DEN,SAS,38:30,37,11,11,True
2023-03-12,DEN,BRK,39:00,35,11,20,True
2023-03-14,DEN,TOR,34:52,28,7,8,True
2023-03-16,DEN,DET,33:29,30,9,10,True
2023-03-18,DEN,NYK,36:51,24,8,10,True
2023-03-19,DEN,BRK,36:27,22,10,17,True
2023-03-22,DEN,WAS,33:36,31,7,12,True
2023-03-25,DEN,MIL,31:53,31,11,6,True
2023-03-27,DEN,PHI,34:58,25,12,17,True
2023-03-30,DEN,NOP,N/A,N/A,N/A,N/A,False
2023-03-31,DEN,PHO,N/A,N/A,N/A,N/A,False
2023-04-02,DEN,GSW,N/A,N/A,N/A,N/A,False
2023-04-04,DEN,HOU,24:41,14,4,10,True
2023-04-06,DEN,PHO,N/A,N/A,N/A,N/A,False
2023-04-08,DEN,UTA,26:38,6,10,10,True
2023-04-09,DEN,SAC,N/A,N/A,N/A,N/A,False
