Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,NOP,MEM,38:06,13,3,8,True
2023-10-28,NOP,NYK,27:32,10,1,2,True
2023-10-30,NOP,GSW,22:21,4,1,2,True
2023-11-01,NOP,OKC,31:01,5,1,6,True
2023-11-02,NOP,DET,34:27,21,3,5,True
2023-11-04,NOP,ATL,33:05,13,1,2,True
2023-11-06,NOP,DEN,31:05,4,2,2,True
2023-11-08,NOP,MIN,N/A,N/A,N/A,N/A,False
2023-11-10,NOP,HOU,N/A,N/A,N/A,N/A,False
2023-11-12,NOP,DAL,N/A,N/A,N/A,N/A,False
2023-11-14,NOP,DAL,30:37,19,4,4,True
2023-11-17,NOP,DEN,36:51,8,4,5,True
2023-11-18,NOP,MIN,28:23,13,8,4,True
2023-11-20,NOP,SAC,27:07,18,4,7,True
2023-11-22,NOP,SAC,39:01,7,3,5,True
2023-11-24,NOP,LAC,24:03,14,4,4,True
2023-11-25,NOP,UTA,25:58,13,1,1,True
2023-11-27,NOP,UTA,31:52,10,0,4,True
2023-11-29,NOP,PHI,32:43,7,6,3,True
2023-12-01,NOP,SAS,30:52,17,0,4,True
2023-12-02,NOP,CHI,35:34,17,4,7,True
2023-12-04,NOP,SAC,34:48,23,5,5,True
2023-12-07,NOP,LAL,26:01,10,1,7,True
2023-12-11,NOP,MIN,32:23,7,5,10,True
2023-12-13,NOP,WAS,19:52,6,1,2,True
2023-12-15,NOP,CHO,27:49,11,1,2,True
2023-12-17,NOP,SAS,19:01,2,3,1,True
2023-12-19,NOP,MEM,30:21,7,2,1,True
2023-12-21,NOP,CLE,29:30,7,4,1,True
2023-12-23,NOP,HOU,18:14,6,1,3,True
2023-12-26,NOP,MEM,31:34,4,3,3,True
2023-12-28,NOP,UTA,28:58,6,1,3,True
2023-12-31,NOP,LAL,29:19,13,1,4,True
2024-01-02,NOP,BRK,24:23,14,1,4,True
2024-01-03,NOP,MIN,36:54,16,2,3,True
2024-01-05,NOP,LAC,25:15,9,2,0,True
2024-01-07,NOP,SAC,26:00,9,2,3,True
2024-01-10,NOP,GSW,23:21,12,4,5,True
2024-01-12,NOP,DEN,19:11,8,1,1,True
2024-01-13,NOP,DAL,31:40,15,3,5,True
2024-01-15,NOP,DAL,29:16,10,3,3,True
2024-01-17,NOP,CHO,23:44,9,1,1,True
2024-01-19,NOP,PHO,23:23,9,2,3,True
2024-01-23,NOP,UTA,25:48,22,5,5,True
2024-01-26,NOP,OKC,28:30,14,1,4,True
2024-01-27,NOP,MIL,19:37,9,0,0,True
2024-01-29,NOP,BOS,27:27,9,4,3,True
2024-01-31,NOP,HOU,N/A,N/A,N/A,N/A,False
2024-02-02,NOP,SAS,N/A,N/A,N/A,N/A,False
2024-02-05,NOP,TOR,22:24,7,2,2,True
2024-02-07,NOP,LAC,30:22,13,2,7,True
2024-02-09,NOP,LAL,28:53,13,2,0,True
2024-02-10,NOP,POR,37:19,14,5,4,True
2024-02-12,NOP,MEM,35:10,17,1,9,True
2024-02-14,NOP,WAS,27:23,6,1,6,True
2024-02-22,NOP,HOU,36:48,17,4,5,True
2024-02-23,NOP,MIA,37:38,19,2,5,True
2024-02-25,NOP,CHI,38:30,15,6,3,True
2024-02-27,NOP,NYK,33:37,15,1,1,True
2024-02-28,NOP,IND,38:28,14,1,4,True
2024-03-01,NOP,IND,26:24,6,1,1,True
2024-03-05,NOP,TOR,25:19,17,3,2,True
2024-03-08,NOP,PHI,30:36,4,3,3,True
2024-03-10,NOP,ATL,30:26,7,2,1,True
2024-03-13,NOP,CLE,25:45,3,3,5,True
2024-03-15,NOP,LAC,33:08,7,5,4,True
2024-03-16,NOP,POR,N/A,N/A,N/A,N/A,False
2024-03-19,NOP,BRK,33:41,11,3,3,True
2024-03-21,NOP,ORL,31:42,13,5,6,True
2024-03-22,NOP,MIA,38:40,10,2,3,True
2024-03-24,NOP,DET,35:25,7,2,1,True
2024-03-26,NOP,OKC,30:57,16,4,2,True
2024-03-28,NOP,MIL,36:43,11,4,4,True
2024-03-30,NOP,BOS,40:05,18,3,5,True
2024-04-01,NOP,PHO,32:38,9,3,1,True
2024-04-03,NOP,ORL,40:43,6,1,0,True
2024-04-05,NOP,SAS,38:02,15,3,4,True
2024-04-07,NOP,PHO,33:53,4,3,5,True
2024-04-09,NOP,POR,37:47,7,2,4,True
2024-04-11,NOP,SAC,29:19,5,6,5,True
2024-04-12,NOP,GSW,38:22,13,4,5,True
2024-04-14,NOP,LAL,32:11,18,1,5,True
