Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,SAS,DAL,25:06,16,6,5,False
2023-10-27,SAS,HOU,32:57,6,8,6,False
2023-10-29,SAS,LAC,20:02,5,4,2,False
2023-10-31,SAS,PHO,23:45,10,3,2,False
2023-11-02,SAS,PHO,28:26,12,10,5,False
2023-11-05,SAS,TOR,32:01,6,6,3,False
2023-11-06,SAS,IND,18:47,4,8,1,False
2023-11-08,SAS,NYK,25:13,12,5,1,False
2023-11-10,SAS,MIN,25:48,8,4,4,False
2023-11-12,SAS,MIA,N/A,N/A,N/A,N/A,False
2023-11-14,SAS,OKC,N/A,N/A,N/A,N/A,False
2023-11-17,SAS,SAC,N/A,N/A,N/A,N/A,False
2023-11-18,SAS,MEM,21:22,2,3,0,False
2023-11-20,SAS,LAC,22:57,11,5,2,False
2023-11-22,SAS,LAC,19:55,4,1,2,False
2023-11-24,SAS,GSW,16:57,7,2,5,False
2023-11-26,SAS,DEN,22:20,10,6,4,False
2023-11-30,SAS,ATL,24:16,3,7,2,False
2023-12-01,SAS,NOP,22:41,10,3,3,False
2023-12-06,SAS,MIN,26:13,4,5,2,False
2023-12-08,SAS,CHI,28:22,18,8,5,False
2023-12-11,SAS,HOU,16:29,3,2,0,False
2023-12-13,SAS,LAL,22:12,6,5,1,False
2023-12-15,SAS,LAL,N/A,N/A,N/A,N/A,False
2023-12-17,SAS,NOP,15:53,4,5,0,False
2023-12-19,SAS,MIL,23:46,14,5,1,False
2023-12-21,SAS,CHI,21:01,9,3,1,False
2023-12-23,SAS,DAL,17:51,9,4,1,False
2023-12-26,SAS,UTA,26:57,6,7,4,False
2023-12-28,SAS,POR,25:48,8,6,5,False
2023-12-29,SAS,POR,26:57,14,5,8,False
2023-12-31,SAS,BOS,22:21,8,2,4,False
2024-01-02,SAS,MEM,25:02,2,4,4,False
2024-01-04,SAS,MIL,35:10,18,6,5,True
2024-01-07,SAS,CLE,34:25,18,4,2,True
2024-01-10,SAS,DET,27:05,11,5,2,True
2024-01-12,SAS,CHO,21:38,6,7,3,True
2024-01-13,SAS,CHI,32:26,30,4,9,True
2024-01-15,SAS,ATL,30:11,6,12,1,True
2024-01-17,SAS,BOS,26:44,9,11,4,True
2024-01-19,SAS,CHO,31:50,16,4,2,True
2024-01-20,SAS,WAS,32:13,11,12,8,True
2024-01-22,SAS,PHI,33:17,12,6,4,True
2024-01-24,SAS,OKC,N/A,N/A,N/A,N/A,False
2024-01-26,SAS,POR,24:17,9,7,1,True
2024-01-27,SAS,MIN,28:30,12,11,3,True
2024-01-29,SAS,WAS,32:31,11,8,2,True
2024-01-31,SAS,ORL,34:35,8,8,3,True
2024-02-02,SAS,NOP,35:23,20,7,7,True
2024-02-03,SAS,CLE,28:15,7,8,5,True
2024-02-07,SAS,MIA,31:11,19,6,2,True
2024-02-08,SAS,ORL,22:57,10,6,1,True
2024-02-10,SAS,BRK,27:58,6,2,2,True
2024-02-12,SAS,TOR,28:05,7,10,7,True
2024-02-14,SAS,DAL,20:10,4,2,4,True
2024-02-22,SAS,SAC,29:47,10,9,2,True
2024-02-23,SAS,LAL,27:29,8,4,3,True
2024-02-25,SAS,UTA,29:54,15,9,3,True
2024-02-27,SAS,MIN,28:56,11,6,8,True
2024-02-29,SAS,OKC,33:11,17,8,6,True
2024-03-03,SAS,IND,29:45,2,4,1,True
2024-03-05,SAS,HOU,20:51,4,5,4,True
2024-03-07,SAS,SAC,23:56,2,12,5,True
2024-03-09,SAS,GSW,31:04,7,11,5,True
2024-03-11,SAS,GSW,31:47,6,7,5,True
2024-03-12,SAS,HOU,31:55,24,5,3,True
2024-03-15,SAS,DEN,32:56,8,9,6,True
2024-03-17,SAS,BRK,35:56,11,7,4,True
2024-03-19,SAS,DAL,33:23,22,9,3,True
2024-03-22,SAS,MEM,32:25,16,5,7,True
2024-03-23,SAS,PHO,21:22,10,5,1,True
2024-03-25,SAS,PHO,27:03,2,4,3,True
2024-03-27,SAS,UTA,31:45,3,10,4,True
2024-03-29,SAS,NYK,35:29,13,4,4,True
2024-03-31,SAS,GSW,32:15,12,6,5,True
2024-04-02,SAS,DEN,32:18,10,11,12,True
2024-04-05,SAS,NOP,33:06,14,4,2,True
2024-04-07,SAS,PHI,48:36,17,9,8,True
2024-04-09,SAS,MEM,32:00,8,4,7,True
2024-04-10,SAS,OKC,27:41,13,7,6,True
2024-04-12,SAS,DEN,38:33,14,10,6,True
2024-04-14,SAS,DET,24:32,11,6,6,True
