Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,DAL,PHO,26:21,2,1,5,False
2022-10-22,DAL,MEM,21:25,9,0,8,False
2022-10-25,DAL,NOP,27:37,7,0,5,False
2022-10-27,DAL,BRK,32:54,15,1,1,False
2022-10-29,DAL,OKC,28:28,2,0,5,False
2022-10-30,DAL,ORL,24:58,2,2,2,False
2022-11-02,DAL,UTA,25:01,0,1,5,False
2022-11-04,DAL,TOR,16:49,2,2,2,False
2022-11-07,DAL,BRK,29:24,5,1,5,False
2022-11-09,DAL,ORL,33:22,8,0,3,False
2022-11-10,DAL,WAS,20:52,2,2,3,False
2022-11-12,DAL,POR,23:21,4,1,2,False
2022-11-15,DAL,LAC,9:38,0,0,1,False
2022-11-16,DAL,HOU,N/A,N/A,N/A,N/A,False
2022-11-18,DAL,DEN,N/A,N/A,N/A,N/A,False
2022-11-20,DAL,DEN,N/A,N/A,N/A,N/A,False
2022-11-23,DAL,BOS,N/A,N/A,N/A,N/A,False
2022-11-26,DAL,TOR,29:06,11,3,5,False
2022-11-27,DAL,MIL,24:17,6,3,4,False
2022-11-29,DAL,GSW,25:07,6,1,1,False
2022-12-01,DAL,DET,32:09,10,1,3,False
2022-12-03,DAL,NYK,22:39,13,1,3,False
2022-12-05,DAL,PHO,24:51,8,0,3,False
2022-12-06,DAL,DEN,26:28,9,0,3,False
2022-12-09,DAL,MIL,28:10,8,1,2,False
2022-12-10,DAL,CHI,N/A,N/A,N/A,N/A,False
2022-12-12,DAL,OKC,31:22,8,0,7,False
2022-12-14,DAL,CLE,N/A,N/A,N/A,N/A,False
2022-12-16,DAL,POR,N/A,N/A,N/A,N/A,False
2022-12-17,DAL,CLE,N/A,N/A,N/A,N/A,False
2022-12-19,DAL,MIN,N/A,N/A,N/A,N/A,False
2022-12-21,DAL,MIN,N/A,N/A,N/A,N/A,False
2022-12-23,DAL,HOU,N/A,N/A,N/A,N/A,False
2022-12-25,DAL,LAL,N/A,N/A,N/A,N/A,False
2022-12-27,DAL,NYK,N/A,N/A,N/A,N/A,False
2022-12-29,DAL,HOU,N/A,N/A,N/A,N/A,False
2022-12-31,DAL,SAS,N/A,N/A,N/A,N/A,False
2023-01-02,DAL,HOU,N/A,N/A,N/A,N/A,False
2023-01-05,DAL,BOS,N/A,N/A,N/A,N/A,False
2023-01-07,DAL,NOP,N/A,N/A,N/A,N/A,False
2023-01-08,DAL,OKC,N/A,N/A,N/A,N/A,False
2023-01-10,DAL,LAC,N/A,N/A,N/A,N/A,False
2023-01-12,DAL,LAL,N/A,N/A,N/A,N/A,False
2023-01-14,DAL,POR,N/A,N/A,N/A,N/A,False
2023-01-15,DAL,POR,N/A,N/A,N/A,N/A,False
2023-01-18,DAL,ATL,N/A,N/A,N/A,N/A,False
2023-01-20,DAL,MIA,N/A,N/A,N/A,N/A,False
2023-01-22,DAL,LAC,N/A,N/A,N/A,N/A,False
2023-01-24,DAL,WAS,N/A,N/A,N/A,N/A,False
2023-01-26,DAL,PHO,N/A,N/A,N/A,N/A,False
2023-01-28,DAL,UTA,N/A,N/A,N/A,N/A,False
2023-01-30,DAL,DET,N/A,N/A,N/A,N/A,False
2023-02-02,DAL,NOP,N/A,N/A,N/A,N/A,False
2023-02-04,DAL,GSW,N/A,N/A,N/A,N/A,False
2023-02-06,DAL,UTA,N/A,N/A,N/A,N/A,False
2023-02-08,DAL,LAC,N/A,N/A,N/A,N/A,False
2023-02-10,DAL,SAC,N/A,N/A,N/A,N/A,False
2023-02-11,DAL,SAC,N/A,N/A,N/A,N/A,False
2023-02-13,DAL,MIN,N/A,N/A,N/A,N/A,False
2023-02-15,DAL,DEN,N/A,N/A,N/A,N/A,False
2023-02-23,DAL,SAS,N/A,N/A,N/A,N/A,False
2023-02-26,DAL,LAL,N/A,N/A,N/A,N/A,False
2023-02-28,DAL,IND,23:39,9,2,0,False
2023-03-02,DAL,PHI,19:45,9,3,6,False
2023-03-05,DAL,PHO,N/A,N/A,N/A,N/A,False
2023-03-07,DAL,UTA,26:17,5,1,7,False
2023-03-08,DAL,NOP,N/A,N/A,N/A,N/A,False
2023-03-11,DAL,MEM,25:51,4,4,8,False
2023-03-13,DAL,MEM,25:04,1,1,3,False
2023-03-15,DAL,SAS,27:31,3,2,2,True
2023-03-17,DAL,LAL,28:55,10,2,4,True
2023-03-20,DAL,MEM,33:02,2,4,8,True
2023-03-22,DAL,GSW,28:49,4,2,3,True
2023-03-24,DAL,CHO,19:30,4,0,2,True
2023-03-26,DAL,CHO,32:05,14,1,4,False
2023-03-27,DAL,IND,N/A,N/A,N/A,N/A,False
2023-03-29,DAL,PHI,25:56,5,2,2,False
2023-04-01,DAL,MIA,27:00,8,3,5,False
2023-04-02,DAL,ATL,7:30,2,1,1,False
2023-04-05,DAL,SAC,14:32,3,3,2,False
2023-04-07,DAL,CHI,N/A,N/A,N/A,N/A,False
2023-04-09,DAL,SAS,N/A,N/A,N/A,N/A,False
