Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,MEM,CLE,18:32,4,0,6,False
2021-10-23,MEM,LAC,16:32,0,1,1,False
2021-10-24,MEM,LAL,N/A,N/A,N/A,N/A,False
2021-10-27,MEM,POR,16:42,7,4,7,False
2021-10-28,MEM,GSW,7:35,0,1,0,False
2021-10-30,MEM,MIA,11:52,2,0,2,False
2021-11-01,MEM,DEN,12:16,0,1,0,False
2021-11-03,MEM,DEN,13:55,0,0,2,False
2021-11-05,MEM,WAS,6:35,4,0,2,False
2021-11-08,MEM,MIN,12:18,6,0,3,False
2021-11-10,MEM,CHO,17:38,4,1,4,False
2021-11-12,MEM,PHO,24:01,4,1,6,False
2021-11-13,MEM,NOP,N/A,N/A,N/A,N/A,False
2021-11-15,MEM,HOU,9:09,0,2,2,False
2021-11-18,MEM,LAC,2:10,0,0,0,False
2021-11-20,MEM,MIN,21:25,0,4,7,False
2021-11-22,MEM,UTA,20:56,4,1,3,False
2021-11-24,MEM,TOR,14:45,2,0,6,False
2021-11-26,MEM,ATL,15:57,17,3,5,False
2021-11-28,MEM,SAC,18:55,9,2,9,False
2021-11-30,MEM,TOR,11:20,2,1,2,False
2021-12-02,MEM,OKC,25:53,17,4,4,False
2021-12-04,MEM,DAL,17:33,0,1,5,False
2021-12-06,MEM,MIA,22:55,3,2,6,False
2021-12-08,MEM,DAL,11:54,4,1,0,False
2021-12-09,MEM,LAL,18:56,7,3,6,False
2021-12-11,MEM,HOU,15:08,3,0,2,False
2021-12-13,MEM,PHI,23:56,11,2,5,False
2021-12-15,MEM,POR,17:57,9,0,5,False
2021-12-17,MEM,SAC,14:47,0,0,2,False
2021-12-19,MEM,POR,12:27,3,1,2,False
2021-12-20,MEM,OKC,13:20,5,2,1,False
2021-12-23,MEM,GSW,10:58,0,1,3,False
2021-12-26,MEM,SAC,28:05,11,3,14,True
2021-12-27,MEM,PHO,34:02,7,2,9,True
2021-12-29,MEM,LAL,N/A,N/A,N/A,N/A,False
2021-12-31,MEM,SAS,N/A,N/A,N/A,N/A,False
2022-01-03,MEM,BRK,N/A,N/A,N/A,N/A,False
2022-01-04,MEM,CLE,N/A,N/A,N/A,N/A,False
2022-01-06,MEM,DET,N/A,N/A,N/A,N/A,False
2022-01-08,MEM,LAC,N/A,N/A,N/A,N/A,False
2022-01-09,MEM,LAL,21:31,12,1,4,False
2022-01-11,MEM,GSW,17:02,3,2,3,False
2022-01-13,MEM,MIN,29:30,15,3,17,False
2022-01-14,MEM,DAL,20:20,0,0,1,False
2022-01-17,MEM,CHI,23:14,9,1,5,False
2022-01-19,MEM,MIL,32:03,6,3,7,True
2022-01-21,MEM,DEN,32:40,8,1,5,True
2022-01-23,MEM,DAL,23:13,2,2,10,True
2022-01-26,MEM,SAS,23:16,2,2,5,False
2022-01-28,MEM,UTA,22:21,4,1,4,False
2022-01-29,MEM,WAS,33:14,7,5,10,True
2022-01-31,MEM,PHI,12:01,0,0,1,False
2022-02-02,MEM,NYK,10:55,3,2,2,False
2022-02-05,MEM,ORL,19:40,3,2,3,False
2022-02-08,MEM,LAC,22:45,10,1,5,False
2022-02-10,MEM,DET,20:08,3,1,4,False
2022-02-12,MEM,CHO,20:27,8,0,4,False
2022-02-15,MEM,NOP,26:18,5,2,6,False
2022-02-16,MEM,POR,15:36,3,0,3,False
2022-02-24,MEM,MIN,17:54,5,1,6,False
2022-02-26,MEM,CHI,7:50,1,0,3,False
2022-02-28,MEM,SAS,N/A,N/A,N/A,N/A,False
2022-03-03,MEM,BOS,13:59,0,0,2,False
2022-03-05,MEM,ORL,21:35,2,3,11,False
2022-03-06,MEM,HOU,10:04,4,0,3,False
2022-03-08,MEM,NOP,19:40,4,2,6,False
2022-03-11,MEM,NYK,16:16,4,2,5,False
2022-03-13,MEM,OKC,N/A,N/A,N/A,N/A,False
2022-03-15,MEM,IND,18:56,9,3,6,False
2022-03-18,MEM,ATL,3:09,3,0,2,False
2022-03-20,MEM,HOU,15:10,2,0,3,False
2022-03-23,MEM,BRK,10:25,5,0,6,False
2022-03-24,MEM,IND,25:14,18,4,8,False
2022-03-26,MEM,MIL,15:39,3,1,5,False
2022-03-28,MEM,GSW,16:18,2,3,4,False
2022-03-30,MEM,SAS,8:36,0,1,1,False
2022-04-01,MEM,PHO,24:13,14,0,6,False
2022-04-05,MEM,UTA,11:35,0,0,4,False
2022-04-07,MEM,DEN,21:04,6,5,3,False
2022-04-09,MEM,NOP,8:14,2,1,2,False
2022-04-10,MEM,BOS,39:02,17,10,13,True
