Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-18,BOS,PHI,N/A,N/A,N/A,N/A,False
2022-10-21,BOS,MIA,N/A,N/A,N/A,N/A,False
2022-10-22,BOS,ORL,5:51,1,0,1,False
2022-10-24,BOS,CHI,5:27,2,0,3,False
2022-10-28,BOS,CLE,25:34,4,3,5,False
2022-10-30,BOS,WAS,19:15,3,3,4,False
2022-11-02,BOS,CLE,2:30,0,1,0,False
2022-11-04,BOS,CHI,14:30,4,1,3,False
2022-11-05,BOS,NYK,N/A,N/A,N/A,N/A,False
2022-11-07,BOS,MEM,N/A,N/A,N/A,N/A,False
2022-11-09,BOS,DET,17:49,2,2,5,False
2022-11-11,BOS,DEN,12:53,8,1,7,False
2022-11-12,BOS,DET,9:14,6,1,1,False
2022-11-14,BOS,OKC,5:23,0,0,1,False
2022-11-16,BOS,ATL,25:23,15,1,8,False
2022-11-18,BOS,NOP,14:57,4,1,6,False
2022-11-21,BOS,CHI,6:21,2,0,2,False
2022-11-23,BOS,DAL,N/A,N/A,N/A,N/A,False
2022-11-25,BOS,SAC,12:47,4,0,5,False
2022-11-27,BOS,WAS,22:17,12,1,4,False
2022-11-28,BOS,CHO,18:07,9,0,8,False
2022-11-30,BOS,MIA,14:37,4,0,1,False
2022-12-02,BOS,MIA,10:27,0,0,1,False
2022-12-04,BOS,BRK,2:32,2,0,0,False
2022-12-05,BOS,TOR,15:33,11,0,7,False
2022-12-07,BOS,PHO,26:05,12,3,4,False
2022-12-10,BOS,GSW,9:52,0,0,1,False
2022-12-12,BOS,LAC,14:58,4,1,2,False
2022-12-13,BOS,LAL,24:03,2,1,7,False
2022-12-16,BOS,ORL,7:20,2,0,2,False
2022-12-18,BOS,ORL,7:44,0,0,1,False
2022-12-21,BOS,IND,5:01,0,0,5,False
2022-12-23,BOS,MIN,10:29,2,1,6,False
2022-12-25,BOS,MIL,3:41,2,0,1,False
2022-12-27,BOS,HOU,2:40,0,1,1,False
2022-12-29,BOS,LAC,N/A,N/A,N/A,N/A,False
2023-01-01,BOS,DEN,2:05,4,0,0,False
2023-01-03,BOS,OKC,11:07,0,1,0,False
2023-01-05,BOS,DAL,3:45,4,0,1,False
2023-01-07,BOS,SAS,N/A,N/A,N/A,N/A,False
2023-01-09,BOS,CHI,3:08,0,0,1,False
2023-01-11,BOS,NOP,16:31,2,2,5,False
2023-01-12,BOS,BRK,16:42,11,1,5,False
2023-01-14,BOS,CHO,11:11,2,0,4,False
2023-01-16,BOS,CHO,11:13,6,0,3,False
2023-01-19,BOS,GSW,7:30,2,1,0,False
2023-01-21,BOS,TOR,8:25,2,0,4,False
2023-01-23,BOS,ORL,14:37,4,0,5,False
2023-01-24,BOS,MIA,12:30,7,0,0,False
2023-01-26,BOS,NYK,4:10,0,0,0,False
2023-01-28,BOS,LAL,16:21,2,2,2,False
2023-02-01,BOS,BRK,18:48,12,4,4,False
2023-02-03,BOS,PHO,9:24,4,0,1,False
2023-02-06,BOS,DET,N/A,N/A,N/A,N/A,False
2023-02-08,BOS,PHI,28:31,8,1,4,False
2023-02-10,BOS,CHO,7:20,5,1,1,False
2023-02-12,BOS,MEM,6:51,2,0,4,False
2023-02-14,BOS,MIL,1:36,0,0,0,False
2023-02-15,BOS,DET,20:14,8,1,2,False
2023-02-23,BOS,IND,4:43,0,0,0,False
2023-02-25,BOS,PHI,N/A,N/A,N/A,N/A,False
2023-02-27,BOS,NYK,2:36,0,0,0,False
2023-03-01,BOS,CLE,N/A,N/A,N/A,N/A,False
2023-03-03,BOS,BRK,4:17,0,0,1,False
2023-03-05,BOS,NYK,N/A,N/A,N/A,N/A,False
2023-03-06,BOS,CLE,18:32,4,0,8,False
2023-03-08,BOS,POR,5:47,0,1,0,False
2023-03-11,BOS,ATL,N/A,N/A,N/A,N/A,False
2023-03-13,BOS,HOU,8:52,2,0,4,False
2023-03-15,BOS,MIN,N/A,N/A,N/A,N/A,False
2023-03-17,BOS,POR,18:17,11,1,5,False
2023-03-18,BOS,UTA,25:33,8,3,7,False
2023-03-21,BOS,SAC,2:50,2,1,0,False
2023-03-24,BOS,IND,6:01,0,0,0,False
2023-03-26,BOS,SAS,7:01,4,0,1,False
2023-03-28,BOS,WAS,9:21,8,2,3,False
2023-03-30,BOS,MIL,9:04,4,1,3,False
2023-03-31,BOS,UTA,15:04,0,0,2,False
2023-04-04,BOS,PHI,15:35,0,1,3,False
2023-04-05,BOS,TOR,3:53,0,0,2,False
2023-04-07,BOS,TOR,8:45,4,1,3,False
2023-04-09,BOS,ATL,32:39,12,6,7,False
