Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,CHI,OKC,24:43,16,3,4,True
2023-10-27,CHI,TOR,38:15,8,1,5,True
2023-10-28,CHI,DET,37:26,51,0,5,True
2023-10-30,CHI,IND,35:51,23,1,5,True
2023-11-01,CHI,DAL,35:56,22,1,2,True
2023-11-03,CHI,BRK,38:26,24,5,7,True
2023-11-04,CHI,DEN,30:38,12,4,4,True
2023-11-06,CHI,UTA,30:59,24,3,2,True
2023-11-08,CHI,PHO,40:43,22,8,8,True
2023-11-12,CHI,DET,34:17,19,2,3,True
2023-11-13,CHI,MIL,39:13,20,5,8,True
2023-11-15,CHI,ORL,36:01,19,3,6,True
2023-11-17,CHI,ORL,40:46,34,3,6,True
2023-11-18,CHI,MIA,35:03,13,6,8,True
2023-11-20,CHI,MIA,34:58,13,5,3,True
2023-11-22,CHI,OKC,N/A,N/A,N/A,N/A,False
2023-11-24,CHI,TOR,38:17,36,3,4,True
2023-11-26,CHI,BRK,39:13,20,4,6,True
2023-11-28,CHI,BOS,24:37,2,4,2,True
2023-11-30,CHI,MIL,N/A,N/A,N/A,N/A,False
2023-12-02,CHI,NOP,N/A,N/A,N/A,N/A,False
2023-12-06,CHI,CHO,N/A,N/A,N/A,N/A,False
2023-12-08,CHI,SAS,N/A,N/A,N/A,N/A,False
2023-12-11,CHI,MIL,N/A,N/A,N/A,N/A,False
2023-12-12,CHI,DEN,N/A,N/A,N/A,N/A,False
2023-12-14,CHI,MIA,N/A,N/A,N/A,N/A,False
2023-12-16,CHI,MIA,N/A,N/A,N/A,N/A,False
2023-12-18,CHI,PHI,N/A,N/A,N/A,N/A,False
2023-12-20,CHI,LAL,N/A,N/A,N/A,N/A,False
2023-12-21,CHI,SAS,N/A,N/A,N/A,N/A,False
2023-12-23,CHI,CLE,N/A,N/A,N/A,N/A,False
2023-12-26,CHI,ATL,N/A,N/A,N/A,N/A,False
2023-12-28,CHI,IND,N/A,N/A,N/A,N/A,False
2023-12-30,CHI,PHI,N/A,N/A,N/A,N/A,False
2024-01-02,CHI,PHI,N/A,N/A,N/A,N/A,False
2024-01-03,CHI,NYK,N/A,N/A,N/A,N/A,False
2024-01-05,CHI,CHO,29:55,15,4,5,False
2024-01-08,CHI,CHO,35:40,9,5,3,False
2024-01-10,CHI,HOU,41:14,25,7,13,True
2024-01-12,CHI,GSW,35:04,25,7,8,True
2024-01-13,CHI,SAS,35:44,10,7,6,True
2024-01-15,CHI,CLE,34:40,17,4,4,True
2024-01-18,CHI,TOR,24:12,8,3,2,True
2024-01-20,CHI,MEM,N/A,N/A,N/A,N/A,False
2024-01-22,CHI,PHO,N/A,N/A,N/A,N/A,False
2024-01-25,CHI,LAL,N/A,N/A,N/A,N/A,False
2024-01-28,CHI,POR,N/A,N/A,N/A,N/A,False
2024-01-30,CHI,TOR,N/A,N/A,N/A,N/A,False
2024-01-31,CHI,CHO,N/A,N/A,N/A,N/A,False
2024-02-03,CHI,SAC,N/A,N/A,N/A,N/A,False
2024-02-06,CHI,MIN,N/A,N/A,N/A,N/A,False
2024-02-08,CHI,MEM,N/A,N/A,N/A,N/A,False
2024-02-10,CHI,ORL,N/A,N/A,N/A,N/A,False
2024-02-12,CHI,ATL,N/A,N/A,N/A,N/A,False
2024-02-14,CHI,CLE,N/A,N/A,N/A,N/A,False
2024-02-22,CHI,BOS,N/A,N/A,N/A,N/A,False
2024-02-25,CHI,NOP,N/A,N/A,N/A,N/A,False
2024-02-27,CHI,DET,N/A,N/A,N/A,N/A,False
2024-02-28,CHI,CLE,N/A,N/A,N/A,N/A,False
2024-03-01,CHI,MIL,N/A,N/A,N/A,N/A,False
2024-03-04,CHI,SAC,N/A,N/A,N/A,N/A,False
2024-03-06,CHI,UTA,N/A,N/A,N/A,N/A,False
2024-03-07,CHI,GSW,N/A,N/A,N/A,N/A,False
2024-03-09,CHI,LAC,N/A,N/A,N/A,N/A,False
2024-03-11,CHI,DAL,N/A,N/A,N/A,N/A,False
2024-03-13,CHI,IND,N/A,N/A,N/A,N/A,False
2024-03-14,CHI,LAC,N/A,N/A,N/A,N/A,False
2024-03-16,CHI,WAS,N/A,N/A,N/A,N/A,False
2024-03-18,CHI,POR,N/A,N/A,N/A,N/A,False
2024-03-21,CHI,HOU,N/A,N/A,N/A,N/A,False
2024-03-23,CHI,BOS,N/A,N/A,N/A,N/A,False
2024-03-25,CHI,WAS,N/A,N/A,N/A,N/A,False
2024-03-27,CHI,IND,N/A,N/A,N/A,N/A,False
2024-03-29,CHI,BRK,N/A,N/A,N/A,N/A,False
2024-03-31,CHI,MIN,N/A,N/A,N/A,N/A,False
2024-04-01,CHI,ATL,N/A,N/A,N/A,N/A,False
2024-04-05,CHI,NYK,N/A,N/A,N/A,N/A,False
2024-04-07,CHI,ORL,N/A,N/A,N/A,N/A,False
2024-04-09,CHI,NYK,N/A,N/A,N/A,N/A,False
2024-04-11,CHI,DET,N/A,N/A,N/A,N/A,False
2024-04-12,CHI,WAS,N/A,N/A,N/A,N/A,False
2024-04-14,CHI,NYK,N/A,N/A,N/A,N/A,False
