Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,DAL,SAS,N/A,N/A,N/A,N/A,False
2023-10-27,DAL,BRK,N/A,N/A,N/A,N/A,False
2023-10-30,DAL,MEM,N/A,N/A,N/A,N/A,False
2023-11-01,DAL,CHI,N/A,N/A,N/A,N/A,False
2023-11-03,DAL,DEN,N/A,N/A,N/A,N/A,False
2023-11-05,DAL,CHO,N/A,N/A,N/A,N/A,False
2023-11-06,DAL,ORL,N/A,N/A,N/A,N/A,False
2023-11-08,DAL,TOR,N/A,N/A,N/A,N/A,False
2023-11-10,DAL,LAC,N/A,N/A,N/A,N/A,False
2023-11-12,DAL,NOP,N/A,N/A,N/A,N/A,False
2023-11-14,DAL,NOP,N/A,N/A,N/A,N/A,False
2023-11-15,DAL,WAS,N/A,N/A,N/A,N/A,False
2023-11-18,DAL,MIL,N/A,N/A,N/A,N/A,False
2023-11-19,DAL,SAC,N/A,N/A,N/A,N/A,False
2023-11-22,DAL,LAL,N/A,N/A,N/A,N/A,False
2023-11-25,DAL,LAC,N/A,N/A,N/A,N/A,False
2023-11-28,DAL,HOU,N/A,N/A,N/A,N/A,False
2023-12-01,DAL,MEM,4:18,1,0,1,False
2023-12-02,DAL,OKC,18:52,12,2,0,False
2023-12-06,DAL,UTA,6:39,4,0,1,False
2023-12-08,DAL,POR,6:37,2,0,1,False
2023-12-11,DAL,MEM,13:38,4,1,1,False
2023-12-12,DAL,LAL,0:02,0,0,0,False
2023-12-14,DAL,MIN,1:46,2,0,0,False
2023-12-16,DAL,POR,0:38,0,0,0,False
2023-12-18,DAL,DEN,14:50,6,0,2,False
2023-12-20,DAL,LAC,0:31,0,0,0,False
2023-12-22,DAL,HOU,23:20,8,1,2,False
2023-12-23,DAL,SAS,30:35,17,3,7,False
2023-12-25,DAL,PHO,4:59,0,0,1,False
2023-12-27,DAL,CLE,N/A,N/A,N/A,N/A,False
2023-12-28,DAL,MIN,N/A,N/A,N/A,N/A,False
2023-12-30,DAL,GSW,N/A,N/A,N/A,N/A,False
2024-01-01,DAL,UTA,N/A,N/A,N/A,N/A,False
2024-01-03,DAL,POR,8:26,3,0,0,False
2024-01-05,DAL,POR,24:52,14,2,5,False
2024-01-07,DAL,MIN,N/A,N/A,N/A,N/A,False
2024-01-09,DAL,MEM,4:42,3,0,2,False
2024-01-11,DAL,NYK,N/A,N/A,N/A,N/A,False
2024-01-13,DAL,NOP,6:05,3,1,1,False
2024-01-15,DAL,NOP,13:37,3,0,1,False
2024-01-17,DAL,LAL,4:44,2,0,0,False
2024-01-22,DAL,BOS,N/A,N/A,N/A,N/A,False
2024-01-24,DAL,PHO,4:48,3,1,1,False
2024-01-26,DAL,ATL,N/A,N/A,N/A,N/A,False
2024-01-27,DAL,SAC,3:45,2,1,0,False
2024-01-29,DAL,ORL,N/A,N/A,N/A,N/A,False
2024-01-31,DAL,MIN,15:27,3,1,2,False
2024-02-03,DAL,MIL,N/A,N/A,N/A,N/A,False
2024-02-05,DAL,PHI,4:41,6,0,0,False
2024-02-06,DAL,BRK,N/A,N/A,N/A,N/A,False
2024-02-08,DAL,NYK,1:17,0,0,0,False
2024-02-10,DAL,OKC,5:44,5,0,2,False
2024-02-12,DAL,WAS,0:03,0,0,0,False
2024-02-14,DAL,SAS,5:26,0,0,2,False
2024-02-22,DAL,PHO,N/A,N/A,N/A,N/A,False
2024-02-25,DAL,IND,N/A,N/A,N/A,N/A,False
2024-02-27,DAL,CLE,N/A,N/A,N/A,N/A,False
2024-02-28,DAL,TOR,0:39,2,0,1,False
2024-03-01,DAL,BOS,N/A,N/A,N/A,N/A,False
2024-03-03,DAL,PHI,N/A,N/A,N/A,N/A,False
2024-03-05,DAL,IND,2:01,2,0,0,False
2024-03-07,DAL,MIA,N/A,N/A,N/A,N/A,False
2024-03-09,DAL,DET,3:14,2,0,0,False
2024-03-11,DAL,CHI,6:09,3,1,1,False
2024-03-13,DAL,GSW,1:59,0,0,0,False
2024-03-14,DAL,OKC,N/A,N/A,N/A,N/A,False
2024-03-17,DAL,DEN,N/A,N/A,N/A,N/A,False
2024-03-19,DAL,SAS,N/A,N/A,N/A,N/A,False
2024-03-21,DAL,UTA,1:04,2,0,0,False
2024-03-25,DAL,UTA,0:48,0,0,0,False
2024-03-26,DAL,SAC,5:29,6,0,1,False
2024-03-29,DAL,SAC,N/A,N/A,N/A,N/A,False
2024-03-31,DAL,HOU,1:58,0,0,1,False
2024-04-02,DAL,GSW,N/A,N/A,N/A,N/A,False
2024-04-04,DAL,ATL,0:45,0,0,1,False
2024-04-05,DAL,GSW,5:11,0,1,0,False
2024-04-07,DAL,HOU,N/A,N/A,N/A,N/A,False
2024-04-09,DAL,CHO,3:52,2,0,0,False
2024-04-10,DAL,MIA,1:57,0,1,2,False
2024-04-12,DAL,DET,21:49,2,2,6,False
2024-04-14,DAL,OKC,23:32,12,2,5,False
