Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,OKC,MIN,23:29,12,2,2,False
2022-10-22,OKC,DEN,28:26,13,4,4,False
2022-10-23,OKC,MIN,27:32,10,3,3,True
2022-10-25,OKC,LAC,36:21,25,4,4,True
2022-10-27,OKC,LAC,22:12,14,3,3,True
2022-10-29,OKC,DAL,26:11,4,3,3,True
2022-11-01,OKC,ORL,26:12,13,3,5,False
2022-11-03,OKC,DEN,17:24,4,2,2,False
2022-11-05,OKC,MIL,13:59,3,0,0,False
2022-11-07,OKC,DET,24:07,9,3,5,False
2022-11-09,OKC,MIL,35:51,21,1,6,False
2022-11-11,OKC,TOR,27:51,13,1,3,False
2022-11-13,OKC,NYK,3:20,3,0,0,False
2022-11-14,OKC,BOS,N/A,N/A,N/A,N/A,False
2022-11-16,OKC,WAS,N/A,N/A,N/A,N/A,False
2022-11-18,OKC,MEM,N/A,N/A,N/A,N/A,False
2022-11-21,OKC,NYK,12:00,3,2,1,False
2022-11-23,OKC,DEN,17:44,4,0,2,False
2022-11-25,OKC,CHI,13:28,5,3,3,False
2022-11-26,OKC,HOU,24:59,2,0,5,False
2022-11-28,OKC,NOP,22:49,9,1,1,False
2022-11-30,OKC,SAS,26:31,16,1,3,False
2022-12-03,OKC,MIN,17:18,6,1,1,False
2022-12-05,OKC,ATL,16:01,4,1,1,False
2022-12-07,OKC,MEM,23:43,12,0,2,False
2022-12-10,OKC,CLE,8:19,2,2,0,False
2022-12-12,OKC,DAL,10:27,5,0,2,False
2022-12-14,OKC,MIA,5:14,2,0,0,False
2022-12-16,OKC,MIN,7:44,0,2,2,False
2022-12-17,OKC,MEM,18:24,11,1,6,False
2022-12-19,OKC,POR,N/A,N/A,N/A,N/A,False
2022-12-21,OKC,POR,N/A,N/A,N/A,N/A,False
2022-12-23,OKC,NOP,14:02,9,0,0,False
2022-12-27,OKC,SAS,28:11,17,3,1,False
2022-12-29,OKC,CHO,22:53,17,2,3,False
2022-12-31,OKC,PHI,24:36,3,2,3,False
2023-01-03,OKC,BOS,32:16,21,3,6,False
2023-01-04,OKC,ORL,20:46,2,4,2,False
2023-01-06,OKC,WAS,23:41,8,4,4,False
2023-01-08,OKC,DAL,14:14,6,3,2,False
2023-01-10,OKC,MIA,7:50,4,0,0,False
2023-01-12,OKC,PHI,18:13,14,2,0,False
2023-01-13,OKC,CHI,15:34,3,0,1,False
2023-01-15,OKC,BRK,7:26,0,0,2,False
2023-01-18,OKC,IND,16:40,3,1,3,False
2023-01-20,OKC,SAC,7:13,2,0,1,False
2023-01-22,OKC,DEN,12:43,7,0,4,False
2023-01-25,OKC,ATL,12:15,2,2,1,False
2023-01-27,OKC,CLE,8:59,0,1,2,False
2023-01-30,OKC,GSW,12:57,5,0,1,False
2023-02-01,OKC,HOU,16:34,18,0,5,False
2023-02-04,OKC,HOU,22:45,11,5,2,False
2023-02-06,OKC,GSW,25:13,18,1,2,False
2023-02-07,OKC,LAL,5:09,0,0,0,False
2023-02-10,OKC,POR,20:23,9,3,1,False
2023-02-13,OKC,NOP,N/A,N/A,N/A,N/A,False
2023-02-15,OKC,HOU,10:13,4,0,0,False
2023-02-23,OKC,UTA,14:15,6,1,1,False
2023-02-24,OKC,PHO,15:39,11,3,5,False
2023-02-26,OKC,SAC,14:19,0,2,2,False
2023-02-28,OKC,SAC,20:49,10,6,3,False
2023-03-01,OKC,LAL,8:52,4,2,2,False
2023-03-03,OKC,UTA,14:44,6,4,2,False
2023-03-05,OKC,UTA,N/A,N/A,N/A,N/A,False
2023-03-07,OKC,GSW,N/A,N/A,N/A,N/A,False
2023-03-08,OKC,PHO,27:36,14,4,4,False
2023-03-11,OKC,NOP,N/A,N/A,N/A,N/A,False
2023-03-12,OKC,SAS,N/A,N/A,N/A,N/A,False
2023-03-14,OKC,BRK,N/A,N/A,N/A,N/A,False
2023-03-16,OKC,TOR,21:08,12,1,2,False
2023-03-19,OKC,PHO,5:59,0,0,0,False
2023-03-21,OKC,LAC,N/A,N/A,N/A,N/A,False
2023-03-23,OKC,LAC,8:53,5,2,2,False
2023-03-24,OKC,LAL,N/A,N/A,N/A,N/A,False
2023-03-26,OKC,POR,14:40,5,2,2,False
2023-03-28,OKC,CHO,17:34,7,2,2,False
2023-03-29,OKC,DET,9:23,3,0,1,False
2023-03-31,OKC,IND,N/A,N/A,N/A,N/A,False
2023-04-02,OKC,PHO,N/A,N/A,N/A,N/A,False
2023-04-04,OKC,GSW,2:44,2,0,0,False
2023-04-06,OKC,UTA,1:36,0,0,0,False
2023-04-09,OKC,MEM,46:44,24,12,12,True
