Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-18,GSW,LAL,7:35,5,0,1,False
2022-10-21,GSW,DEN,13:00,3,1,1,False
2022-10-23,GSW,SAC,18:09,3,0,1,False
2022-10-25,GSW,PHO,24:30,13,0,3,False
2022-10-27,GSW,MIA,17:22,6,1,4,False
2022-10-29,GSW,CHO,14:05,8,0,3,False
2022-10-30,GSW,DET,23:50,7,0,4,False
2022-11-01,GSW,MIA,14:45,6,2,0,False
2022-11-03,GSW,ORL,11:30,1,0,2,False
2022-11-04,GSW,NOP,32:03,14,1,4,True
2022-11-07,GSW,SAC,8:49,2,0,1,False
2022-11-11,GSW,CLE,N/A,N/A,N/A,N/A,False
2022-11-13,GSW,SAC,N/A,N/A,N/A,N/A,False
2022-11-14,GSW,SAS,26:43,11,4,2,False
2022-11-16,GSW,PHO,6:02,0,0,1,False
2022-11-18,GSW,NYK,2:39,0,0,0,False
2022-11-20,GSW,HOU,4:39,0,0,0,False
2022-11-21,GSW,NOP,32:52,10,1,4,False
2022-11-23,GSW,LAC,5:02,0,0,0,False
2022-11-25,GSW,UTA,N/A,N/A,N/A,N/A,False
2022-11-27,GSW,MIN,3:25,0,0,2,False
2022-11-29,GSW,DAL,N/A,N/A,N/A,N/A,False
2022-12-02,GSW,CHI,N/A,N/A,N/A,N/A,False
2022-12-03,GSW,HOU,17:00,11,1,1,False
2022-12-05,GSW,IND,8:10,0,1,2,False
2022-12-07,GSW,UTA,18:40,6,0,0,False
2022-12-10,GSW,BOS,11:56,2,0,5,False
2022-12-13,GSW,MIL,10:24,0,3,1,False
2022-12-14,GSW,IND,22:57,13,3,1,False
2022-12-16,GSW,PHI,15:47,3,2,2,False
2022-12-18,GSW,TOR,10:51,0,0,0,False
2022-12-20,GSW,NYK,31:41,11,1,3,True
2022-12-21,GSW,BRK,30:55,17,3,1,True
2022-12-25,GSW,MEM,17:21,10,0,2,False
2022-12-27,GSW,CHO,13:07,4,0,3,False
2022-12-28,GSW,UTA,12:56,4,1,0,False
2022-12-30,GSW,POR,8:28,0,0,0,False
2023-01-02,GSW,ATL,11:42,6,0,2,False
2023-01-04,GSW,DET,15:06,8,4,2,False
2023-01-07,GSW,ORL,9:08,0,1,2,False
2023-01-10,GSW,PHO,N/A,N/A,N/A,N/A,False
2023-01-13,GSW,SAS,18:03,12,3,2,False
2023-01-15,GSW,CHI,6:03,3,1,0,False
2023-01-16,GSW,WAS,5:23,0,0,0,False
2023-01-19,GSW,BOS,N/A,N/A,N/A,N/A,False
2023-01-20,GSW,CLE,14:15,3,2,5,False
2023-01-22,GSW,BRK,N/A,N/A,N/A,N/A,False
2023-01-25,GSW,MEM,N/A,N/A,N/A,N/A,False
2023-01-27,GSW,TOR,N/A,N/A,N/A,N/A,False
2023-01-30,GSW,OKC,N/A,N/A,N/A,N/A,False
2023-02-01,GSW,MIN,N/A,N/A,N/A,N/A,False
2023-02-02,GSW,DEN,15:52,0,1,2,False
2023-02-04,GSW,DAL,N/A,N/A,N/A,N/A,False
2023-02-06,GSW,OKC,10:35,4,1,0,False
2023-02-08,GSW,POR,N/A,N/A,N/A,N/A,False
2023-02-11,GSW,LAL,2:20,2,1,1,False
2023-02-13,GSW,WAS,8:15,1,0,2,False
2023-02-14,GSW,LAC,13:21,7,1,1,False
2023-02-23,GSW,LAL,10:01,8,1,2,False
2023-02-24,GSW,HOU,12:53,4,1,0,False
2023-02-26,GSW,MIN,4:18,0,0,1,False
2023-02-28,GSW,POR,2:39,0,0,0,False
2023-03-02,GSW,LAC,5:04,3,0,1,False
2023-03-03,GSW,NOP,5:53,0,0,1,False
2023-03-05,GSW,LAL,N/A,N/A,N/A,N/A,False
2023-03-07,GSW,OKC,N/A,N/A,N/A,N/A,False
2023-03-09,GSW,MEM,N/A,N/A,N/A,N/A,False
2023-03-11,GSW,MIL,6:27,2,0,4,False
2023-03-13,GSW,PHO,14:57,4,1,2,False
2023-03-15,GSW,LAC,10:24,3,2,1,False
2023-03-17,GSW,ATL,12:42,1,1,2,False
2023-03-18,GSW,MEM,11:59,9,0,2,False
2023-03-20,GSW,HOU,8:06,3,0,2,False
2023-03-22,GSW,DAL,6:52,2,0,1,False
2023-03-24,GSW,PHI,8:12,3,0,3,False
2023-03-26,GSW,MIN,N/A,N/A,N/A,N/A,False
2023-03-28,GSW,NOP,3:00,2,0,0,False
2023-03-31,GSW,SAS,1:28,2,0,0,False
2023-04-02,GSW,DEN,N/A,N/A,N/A,N/A,False
2023-04-04,GSW,OKC,25:52,13,1,5,False
2023-04-07,GSW,SAC,9:57,2,0,1,False
2023-04-09,GSW,POR,29:07,25,4,4,False
