Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,PHI,NOP,18:12,11,1,0,False
2021-10-22,PHI,BRK,13:28,5,0,0,False
2021-10-24,PHI,OKC,20:23,12,3,2,False
2021-10-26,PHI,NYK,22:03,13,1,3,False
2021-10-28,PHI,DET,15:41,8,1,2,False
2021-10-30,PHI,ATL,17:54,5,2,3,False
2021-11-01,PHI,POR,31:11,21,5,5,False
2021-11-03,PHI,CHI,31:48,18,1,3,False
2021-11-04,PHI,DET,31:36,14,2,7,False
2021-11-06,PHI,CHI,25:01,12,2,1,False
2021-11-08,PHI,NYK,24:53,15,0,1,False
2021-11-09,PHI,MIL,24:24,21,1,2,False
2021-11-11,PHI,TOR,21:18,7,4,1,False
2021-11-13,PHI,IND,26:03,6,1,3,False
2021-11-16,PHI,UTA,29:41,7,0,3,False
2021-11-18,PHI,DEN,34:45,11,3,5,True
2021-11-20,PHI,POR,34:49,15,2,4,True
2021-11-22,PHI,SAC,38:41,12,2,5,True
2021-11-24,PHI,GSW,25:33,9,2,4,True
2021-11-27,PHI,MIN,22:29,6,2,2,False
2021-11-29,PHI,ORL,15:03,8,1,2,False
2021-12-01,PHI,BOS,19:23,12,0,1,False
2021-12-03,PHI,ATL,29:09,13,3,4,True
2021-12-06,PHI,CHO,16:51,7,2,1,False
2021-12-08,PHI,CHO,15:12,5,0,0,False
2021-12-09,PHI,UTA,15:36,9,0,3,False
2021-12-11,PHI,GSW,13:56,3,0,1,False
2021-12-13,PHI,MEM,26:37,6,0,2,False
2021-12-15,PHI,MIA,N/A,N/A,N/A,N/A,False
2021-12-16,PHI,BRK,N/A,N/A,N/A,N/A,False
2021-12-20,PHI,BOS,N/A,N/A,N/A,N/A,False
2021-12-23,PHI,ATL,N/A,N/A,N/A,N/A,False
2021-12-26,PHI,WAS,17:22,6,0,5,False
2021-12-28,PHI,TOR,22:04,19,2,3,False
2021-12-30,PHI,BRK,18:56,9,0,4,False
2022-01-03,PHI,HOU,18:16,8,0,4,False
2022-01-05,PHI,ORL,29:27,8,1,6,False
2022-01-07,PHI,SAS,20:12,5,1,2,False
2022-01-10,PHI,HOU,19:25,8,1,0,False
2022-01-12,PHI,CHO,15:01,3,1,0,False
2022-01-14,PHI,BOS,17:49,5,1,1,False
2022-01-15,PHI,MIA,24:47,12,2,5,False
2022-01-17,PHI,WAS,24:29,7,2,4,False
2022-01-19,PHI,ORL,25:29,10,3,3,False
2022-01-21,PHI,LAC,30:13,7,1,4,False
2022-01-23,PHI,SAS,23:51,3,1,4,False
2022-01-25,PHI,NOP,21:21,6,6,1,False
2022-01-27,PHI,LAL,23:55,14,2,3,False
2022-01-29,PHI,SAC,28:07,3,3,1,False
2022-01-31,PHI,MEM,17:27,8,0,2,False
2022-02-02,PHI,WAS,23:54,12,0,3,False
2022-02-04,PHI,DAL,17:16,13,1,0,False
2022-02-06,PHI,CHI,27:35,9,4,3,False
2022-02-08,PHI,PHO,24:42,8,3,3,False
2022-02-11,PHI,OKC,19:19,6,2,2,False
2022-02-12,PHI,CLE,27:57,3,2,4,False
2022-02-15,PHI,BOS,22:09,9,0,4,False
2022-02-17,PHI,MIL,39:56,18,2,6,True
2022-02-25,PHI,MIN,15:31,3,1,0,False
2022-02-27,PHI,NYK,17:55,6,0,0,False
2022-03-02,PHI,NYK,19:29,6,0,4,False
2022-03-04,PHI,CLE,23:23,17,0,2,False
2022-03-05,PHI,MIA,23:54,9,3,2,False
2022-03-07,PHI,CHI,18:42,14,2,3,False
2022-03-10,PHI,BRK,22:41,11,0,5,False
2022-03-13,PHI,ORL,35:51,16,0,4,False
2022-03-14,PHI,DEN,25:15,8,1,4,False
2022-03-16,PHI,CLE,18:34,3,1,2,False
2022-03-18,PHI,DAL,27:17,12,1,5,False
2022-03-20,PHI,TOR,29:19,11,1,4,False
2022-03-21,PHI,MIA,32:38,15,4,4,True
2022-03-23,PHI,LAL,13:41,9,2,1,False
2022-03-25,PHI,LAC,17:16,0,2,5,False
2022-03-27,PHI,PHO,18:22,2,0,0,False
2022-03-29,PHI,MIL,19:55,9,0,2,False
2022-03-31,PHI,DET,15:29,3,0,0,False
2022-04-02,PHI,CHO,19:59,10,1,3,False
2022-04-03,PHI,CLE,22:01,8,1,5,False
2022-04-05,PHI,IND,17:31,9,0,0,False
2022-04-07,PHI,TOR,18:58,9,0,1,False
2022-04-09,PHI,IND,N/A,N/A,N/A,N/A,False
2022-04-10,PHI,DET,N/A,N/A,N/A,N/A,False
