Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,BRK,CLE,22:48,5,2,7,False
2023-10-27,BRK,DAL,34:07,11,3,10,False
2023-10-30,BRK,CHO,31:50,8,0,2,False
2023-11-01,BRK,MIA,38:35,6,5,7,True
2023-11-03,BRK,CHI,31:46,9,8,5,False
2023-11-04,BRK,BOS,36:56,6,3,4,True
2023-11-06,BRK,MIL,25:07,12,3,9,False
2023-11-08,BRK,LAC,33:47,12,2,10,True
2023-11-10,BRK,BOS,26:50,3,4,3,True
2023-11-12,BRK,WAS,30:33,10,4,6,False
2023-11-14,BRK,ORL,33:50,13,1,4,False
2023-11-16,BRK,MIA,20:06,5,4,0,False
2023-11-19,BRK,PHI,25:25,0,3,4,False
2023-11-22,BRK,ATL,20:44,0,1,3,False
2023-11-25,BRK,MIA,28:57,6,4,2,False
2023-11-26,BRK,CHI,35:57,20,4,9,True
2023-11-28,BRK,TOR,30:51,18,4,7,False
2023-11-30,BRK,CHO,N/A,N/A,N/A,N/A,False
2023-12-02,BRK,ORL,26:03,3,7,6,False
2023-12-06,BRK,ATL,20:36,6,2,3,False
2023-12-08,BRK,WAS,26:20,13,5,8,False
2023-12-11,BRK,SAC,19:08,5,1,4,False
2023-12-13,BRK,PHO,19:12,8,4,1,False
2023-12-14,BRK,DEN,14:29,2,1,1,False
2023-12-16,BRK,GSW,34:02,11,3,5,False
2023-12-18,BRK,UTA,23:14,6,1,1,False
2023-12-20,BRK,NYK,27:53,6,6,6,False
2023-12-22,BRK,DEN,22:19,13,3,6,False
2023-12-23,BRK,DET,18:59,5,5,6,False
2023-12-26,BRK,DET,15:17,8,2,2,False
2023-12-27,BRK,MIL,10:00,3,2,1,True
2023-12-29,BRK,WAS,17:35,7,2,3,False
2023-12-31,BRK,OKC,20:45,5,2,3,False
2024-01-02,BRK,NOP,27:54,0,5,8,False
2024-01-03,BRK,HOU,29:57,13,3,4,False
2024-01-05,BRK,OKC,16:18,5,2,4,False
2024-01-07,BRK,POR,18:07,8,1,3,False
2024-01-11,BRK,CLE,17:16,0,1,2,False
2024-01-15,BRK,MIA,30:10,15,5,9,False
2024-01-17,BRK,POR,20:26,2,3,3,False
2024-01-19,BRK,LAL,17:10,0,3,7,False
2024-01-21,BRK,LAC,15:21,4,0,1,False
2024-01-23,BRK,NYK,20:29,8,3,4,False
2024-01-25,BRK,MIN,17:51,3,2,4,False
2024-01-27,BRK,HOU,23:22,6,0,6,False
2024-01-29,BRK,UTA,18:14,11,2,4,False
2024-01-31,BRK,PHO,20:31,3,1,1,False
2024-02-03,BRK,PHI,26:16,8,2,4,False
2024-02-05,BRK,GSW,27:01,15,1,3,False
2024-02-06,BRK,DAL,31:44,18,2,6,False
2024-02-08,BRK,CLE,N/A,N/A,N/A,N/A,False
2024-02-10,PHO,GSW,11:17,3,1,4,False
2024-02-13,PHO,SAC,29:43,9,5,4,False
2024-02-14,PHO,DET,23:30,9,3,7,False
2024-02-22,PHO,DAL,29:54,10,2,9,False
2024-02-23,PHO,HOU,17:01,1,1,4,False
2024-02-25,PHO,LAL,37:08,20,4,9,True
2024-02-29,PHO,HOU,37:04,11,7,6,True
2024-03-02,PHO,HOU,27:28,20,2,10,False
2024-03-03,PHO,OKC,33:19,9,4,3,True
2024-03-05,PHO,DEN,39:02,8,6,5,True
2024-03-07,PHO,TOR,31:37,10,6,8,True
2024-03-09,PHO,BOS,37:15,3,2,5,True
2024-03-11,PHO,CLE,29:10,0,4,4,False
2024-03-14,PHO,BOS,27:02,0,4,5,False
2024-03-15,PHO,CHO,14:49,5,1,3,False
2024-03-17,PHO,MIL,26:11,16,3,5,False
2024-03-20,PHO,PHI,10:19,13,0,4,False
2024-03-21,PHO,ATL,15:16,14,2,5,False
2024-03-23,PHO,SAS,15:43,4,0,4,False
2024-03-25,PHO,SAS,25:45,12,2,5,False
2024-03-27,PHO,DEN,17:48,5,2,7,False
2024-03-29,PHO,OKC,21:44,5,3,2,False
2024-04-01,PHO,NOP,15:05,2,1,4,False
2024-04-03,PHO,CLE,34:33,17,2,6,True
2024-04-05,PHO,MIN,20:11,3,0,3,False
2024-04-07,PHO,NOP,14:03,0,1,2,False
2024-04-09,PHO,LAC,28:58,10,4,11,False
2024-04-10,PHO,LAC,33:16,15,5,7,True
2024-04-12,PHO,SAC,24:27,6,2,3,False
2024-04-14,PHO,MIN,23:17,4,3,2,False
