Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,PHO,DEN,33:37,15,10,4,True
2021-10-22,PHO,LAL,29:14,23,14,5,True
2021-10-23,PHO,POR,25:30,4,11,2,True
2021-10-27,PHO,SAC,29:44,6,8,6,True
2021-10-30,PHO,CLE,36:44,16,10,2,True
2021-11-02,PHO,NOP,36:04,14,18,7,True
2021-11-04,PHO,HOU,34:23,9,13,5,True
2021-11-06,PHO,ATL,35:27,16,13,6,True
2021-11-08,PHO,SAC,25:50,16,5,3,True
2021-11-10,PHO,POR,36:39,21,7,4,True
2021-11-12,PHO,MEM,27:39,15,12,4,True
2021-11-14,PHO,HOU,29:30,15,4,3,True
2021-11-15,PHO,MIN,33:36,21,8,3,True
2021-11-17,PHO,DAL,36:50,7,14,4,True
2021-11-19,PHO,DAL,33:32,18,14,5,True
2021-11-21,PHO,DEN,24:22,9,10,3,True
2021-11-22,PHO,SAS,30:36,12,4,2,True
2021-11-24,PHO,CLE,32:17,17,12,2,True
2021-11-26,PHO,NYK,30:14,14,10,4,True
2021-11-27,PHO,BRK,35:57,22,5,8,True
2021-11-30,PHO,GSW,39:25,15,11,6,True
2021-12-02,PHO,DET,33:19,12,12,1,True
2021-12-03,PHO,GSW,32:22,12,8,3,True
2021-12-06,PHO,SAS,35:27,21,10,3,True
2021-12-10,PHO,BOS,29:43,10,12,3,True
2021-12-13,PHO,LAC,33:18,9,8,2,True
2021-12-14,PHO,POR,41:06,24,14,8,True
2021-12-16,PHO,WAS,23:30,12,6,5,True
2021-12-19,PHO,CHO,24:05,14,9,2,True
2021-12-21,PHO,LAL,28:44,11,9,3,True
2021-12-23,PHO,OKC,31:41,16,7,5,True
2021-12-25,PHO,GSW,37:33,21,8,6,True
2021-12-27,PHO,MEM,35:24,13,13,6,True
2021-12-29,PHO,OKC,31:43,10,5,5,True
2021-12-31,PHO,BOS,33:47,14,8,5,True
2022-01-02,PHO,CHO,26:19,7,16,6,True
2022-01-04,PHO,NOP,35:13,11,15,5,True
2022-01-06,PHO,LAC,34:21,14,10,13,True
2022-01-08,PHO,MIA,32:13,9,7,2,True
2022-01-11,PHO,TOR,33:15,15,12,2,True
2022-01-14,PHO,IND,32:56,12,9,3,True
2022-01-16,PHO,DET,27:00,10,6,6,True
2022-01-17,PHO,SAS,32:22,15,12,2,True
2022-01-20,PHO,DAL,36:41,20,11,5,True
2022-01-22,PHO,IND,40:49,18,16,4,True
2022-01-24,PHO,UTA,40:22,27,13,9,True
2022-01-26,PHO,UTA,36:50,21,5,3,True
2022-01-28,PHO,MIN,37:10,21,14,10,True
2022-01-30,PHO,SAS,39:43,20,19,8,True
2022-02-01,PHO,BRK,38:54,20,14,4,True
2022-02-03,PHO,ATL,38:56,18,12,4,True
2022-02-05,PHO,WAS,30:33,14,9,4,True
2022-02-07,PHO,CHI,33:51,19,11,3,True
2022-02-08,PHO,PHI,41:45,16,12,4,True
2022-02-10,PHO,MIL,36:51,17,19,7,True
2022-02-12,PHO,ORL,26:21,10,15,5,True
2022-02-15,PHO,LAC,35:19,17,14,5,True
2022-02-16,PHO,HOU,19:29,11,6,0,True
2022-02-24,PHO,OKC,N/A,N/A,N/A,N/A,False
2022-02-25,PHO,NOP,N/A,N/A,N/A,N/A,False
2022-02-27,PHO,UTA,N/A,N/A,N/A,N/A,False
2022-03-02,PHO,POR,N/A,N/A,N/A,N/A,False
2022-03-04,PHO,NYK,N/A,N/A,N/A,N/A,False
2022-03-06,PHO,MIL,N/A,N/A,N/A,N/A,False
2022-03-08,PHO,ORL,N/A,N/A,N/A,N/A,False
2022-03-09,PHO,MIA,N/A,N/A,N/A,N/A,False
2022-03-11,PHO,TOR,N/A,N/A,N/A,N/A,False
2022-03-13,PHO,LAL,N/A,N/A,N/A,N/A,False
2022-03-15,PHO,NOP,N/A,N/A,N/A,N/A,False
2022-03-16,PHO,HOU,N/A,N/A,N/A,N/A,False
2022-03-18,PHO,CHI,N/A,N/A,N/A,N/A,False
2022-03-20,PHO,SAC,N/A,N/A,N/A,N/A,False
2022-03-23,PHO,MIN,N/A,N/A,N/A,N/A,False
2022-03-24,PHO,DEN,30:04,17,13,4,True
2022-03-27,PHO,PHI,36:09,19,14,4,True
2022-03-30,PHO,GSW,32:49,15,8,3,True
2022-04-01,PHO,MEM,31:48,8,11,1,True
2022-04-03,PHO,OKC,30:28,11,9,2,True
2022-04-05,PHO,LAL,23:51,6,12,4,True
2022-04-06,PHO,LAC,N/A,N/A,N/A,N/A,False
2022-04-08,PHO,UTA,37:37,16,16,6,True
2022-04-10,PHO,SAC,N/A,N/A,N/A,N/A,False
