Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,CHI,OKC,3:40,0,0,0,False
2023-10-27,CHI,TOR,N/A,N/A,N/A,N/A,False
2023-10-28,CHI,DET,1:11,0,0,0,False
2023-10-30,CHI,IND,N/A,N/A,N/A,N/A,False
2023-11-01,CHI,DAL,N/A,N/A,N/A,N/A,False
2023-11-03,CHI,BRK,N/A,N/A,N/A,N/A,False
2023-11-04,CHI,DEN,3:11,0,0,0,False
2023-11-06,CHI,UTA,1:55,0,0,1,False
2023-11-08,CHI,PHO,N/A,N/A,N/A,N/A,False
2023-11-12,CHI,DET,N/A,N/A,N/A,N/A,False
2023-11-13,CHI,MIL,N/A,N/A,N/A,N/A,False
2023-11-15,CHI,ORL,4:26,0,0,0,False
2023-11-17,CHI,ORL,N/A,N/A,N/A,N/A,False
2023-11-18,CHI,MIA,N/A,N/A,N/A,N/A,False
2023-11-20,CHI,MIA,2:28,2,0,1,False
2023-11-22,CHI,OKC,N/A,N/A,N/A,N/A,False
2023-11-24,CHI,TOR,4:27,2,0,0,False
2023-11-26,CHI,BRK,N/A,N/A,N/A,N/A,False
2023-11-28,CHI,BOS,9:50,1,1,2,False
2023-11-30,CHI,MIL,13:35,0,3,3,False
2023-12-02,CHI,NOP,3:43,2,0,0,False
2023-12-06,CHI,CHO,5:58,2,1,0,False
2023-12-08,CHI,SAS,4:12,2,0,2,False
2023-12-11,CHI,MIL,3:47,0,0,0,False
2023-12-12,CHI,DEN,6:42,0,1,1,False
2023-12-14,CHI,MIA,N/A,N/A,N/A,N/A,False
2023-12-16,CHI,MIA,0:02,0,0,0,False
2023-12-18,CHI,PHI,N/A,N/A,N/A,N/A,False
2023-12-20,CHI,LAL,0:53,0,0,0,False
2023-12-21,CHI,SAS,4:12,0,0,0,False
2023-12-23,CHI,CLE,N/A,N/A,N/A,N/A,False
2023-12-26,CHI,ATL,N/A,N/A,N/A,N/A,False
2023-12-28,CHI,IND,0:50,0,0,0,False
2023-12-30,CHI,PHI,1:08,0,0,0,False
2024-01-02,CHI,PHI,16:52,7,0,0,False
2024-01-03,CHI,NYK,1:43,0,0,1,False
2024-01-05,CHI,CHO,N/A,N/A,N/A,N/A,False
2024-01-08,CHI,CHO,N/A,N/A,N/A,N/A,False
2024-01-10,CHI,HOU,N/A,N/A,N/A,N/A,False
2024-01-12,CHI,GSW,N/A,N/A,N/A,N/A,False
2024-01-13,CHI,SAS,N/A,N/A,N/A,N/A,False
2024-01-15,CHI,CLE,N/A,N/A,N/A,N/A,False
2024-01-18,CHI,TOR,N/A,N/A,N/A,N/A,False
2024-01-20,CHI,MEM,4:19,0,1,0,False
2024-01-22,CHI,PHO,N/A,N/A,N/A,N/A,False
2024-01-25,CHI,LAL,N/A,N/A,N/A,N/A,False
2024-01-28,CHI,POR,23:26,11,1,2,False
2024-01-30,CHI,TOR,20:07,9,0,1,False
2024-01-31,CHI,CHO,11:24,4,0,1,False
2024-02-03,CHI,SAC,13:14,3,0,1,False
2024-02-06,CHI,MIN,9:11,2,0,2,False
2024-02-08,CHI,MEM,7:58,0,0,0,False
2024-02-10,CHI,ORL,7:03,0,0,1,False
2024-02-12,CHI,ATL,6:36,0,0,0,False
2024-02-14,CHI,CLE,N/A,N/A,N/A,N/A,False
2024-02-22,CHI,BOS,17:45,9,1,2,False
2024-02-25,CHI,NOP,1:43,0,0,0,False
2024-02-27,CHI,DET,N/A,N/A,N/A,N/A,False
2024-02-28,CHI,CLE,13:42,7,2,5,False
2024-03-01,CHI,MIL,13:15,0,2,1,False
2024-03-04,CHI,SAC,14:17,6,0,1,False
2024-03-06,CHI,UTA,14:58,6,0,4,False
2024-03-07,CHI,GSW,4:14,3,0,0,False
2024-03-09,CHI,LAC,5:27,0,0,0,False
2024-03-11,CHI,DAL,27:57,11,0,3,False
2024-03-13,CHI,IND,11:11,0,0,1,False
2024-03-14,CHI,LAC,N/A,N/A,N/A,N/A,False
2024-03-16,CHI,WAS,N/A,N/A,N/A,N/A,False
2024-03-18,CHI,POR,N/A,N/A,N/A,N/A,False
2024-03-21,CHI,HOU,N/A,N/A,N/A,N/A,False
2024-03-23,CHI,BOS,N/A,N/A,N/A,N/A,False
2024-03-25,CHI,WAS,N/A,N/A,N/A,N/A,False
2024-03-27,CHI,IND,N/A,N/A,N/A,N/A,False
2024-03-29,CHI,BRK,N/A,N/A,N/A,N/A,False
2024-03-31,CHI,MIN,N/A,N/A,N/A,N/A,False
2024-04-01,CHI,ATL,N/A,N/A,N/A,N/A,False
2024-04-05,CHI,NYK,N/A,N/A,N/A,N/A,False
2024-04-07,CHI,ORL,N/A,N/A,N/A,N/A,False
2024-04-09,CHI,NYK,N/A,N/A,N/A,N/A,False
2024-04-11,CHI,DET,N/A,N/A,N/A,N/A,False
2024-04-12,CHI,WAS,N/A,N/A,N/A,N/A,False
2024-04-14,CHI,NYK,N/A,N/A,N/A,N/A,False
