Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,LAC,POR,17:31,6,2,8,False
2023-10-27,LAC,UTA,11:55,3,0,4,False
2023-10-29,LAC,SAS,20:41,4,1,6,False
2023-10-31,LAC,ORL,22:20,10,2,7,False
2023-11-01,LAC,LAL,18:45,5,0,6,False
2023-11-06,LAC,NYK,10:50,2,1,2,False
2023-11-08,LAC,BRK,N/A,N/A,N/A,N/A,False
2023-11-10,LAC,DAL,N/A,N/A,N/A,N/A,False
2023-11-12,LAC,MEM,N/A,N/A,N/A,N/A,False
2023-11-14,LAC,DEN,N/A,N/A,N/A,N/A,False
2023-11-17,LAC,HOU,N/A,N/A,N/A,N/A,False
2023-11-20,LAC,SAS,N/A,N/A,N/A,N/A,False
2023-11-22,LAC,SAS,N/A,N/A,N/A,N/A,False
2023-11-24,LAC,NOP,N/A,N/A,N/A,N/A,False
2023-11-25,LAC,DAL,N/A,N/A,N/A,N/A,False
2023-11-27,LAC,DEN,N/A,N/A,N/A,N/A,False
2023-11-29,LAC,SAC,N/A,N/A,N/A,N/A,False
2023-11-30,LAC,GSW,N/A,N/A,N/A,N/A,False
2023-12-02,LAC,GSW,N/A,N/A,N/A,N/A,False
2023-12-06,LAC,DEN,N/A,N/A,N/A,N/A,False
2023-12-08,LAC,UTA,N/A,N/A,N/A,N/A,False
2023-12-11,LAC,POR,N/A,N/A,N/A,N/A,False
2023-12-12,LAC,SAC,N/A,N/A,N/A,N/A,False
2023-12-14,LAC,GSW,N/A,N/A,N/A,N/A,False
2023-12-16,LAC,NYK,N/A,N/A,N/A,N/A,False
2023-12-18,LAC,IND,N/A,N/A,N/A,N/A,False
2023-12-20,LAC,DAL,N/A,N/A,N/A,N/A,False
2023-12-21,LAC,OKC,N/A,N/A,N/A,N/A,False
2023-12-23,LAC,BOS,N/A,N/A,N/A,N/A,False
2023-12-26,LAC,CHO,N/A,N/A,N/A,N/A,False
2023-12-29,LAC,MEM,N/A,N/A,N/A,N/A,False
2024-01-01,LAC,MIA,N/A,N/A,N/A,N/A,False
2024-01-03,LAC,PHO,N/A,N/A,N/A,N/A,False
2024-01-05,LAC,NOP,7:11,8,0,2,False
2024-01-07,LAC,LAL,N/A,N/A,N/A,N/A,False
2024-01-08,LAC,PHO,4:38,1,3,2,False
2024-01-10,LAC,TOR,N/A,N/A,N/A,N/A,False
2024-01-12,LAC,MEM,N/A,N/A,N/A,N/A,False
2024-01-14,LAC,MIN,15:40,8,0,3,False
2024-01-16,LAC,OKC,28:10,14,2,5,True
2024-01-21,LAC,BRK,15:05,7,1,8,True
2024-01-23,LAC,LAL,19:05,0,2,2,True
2024-01-26,LAC,TOR,25:13,12,3,12,True
2024-01-27,LAC,BOS,21:09,8,0,7,True
2024-01-29,LAC,CLE,22:22,5,0,5,True
2024-01-31,LAC,WAS,19:21,5,1,11,True
2024-02-02,LAC,DET,25:53,12,2,9,True
2024-02-04,LAC,MIA,26:16,5,0,9,False
2024-02-05,LAC,ATL,20:51,8,3,9,True
2024-02-07,LAC,NOP,15:06,11,1,3,False
2024-02-10,LAC,DET,11:39,6,0,5,False
2024-02-12,LAC,MIN,8:55,2,2,3,False
2024-02-14,LAC,GSW,16:29,8,3,6,False
2024-02-22,LAC,OKC,7:59,2,1,4,False
2024-02-23,LAC,MEM,8:11,6,0,1,False
2024-02-25,LAC,SAC,N/A,N/A,N/A,N/A,False
2024-02-28,LAC,LAL,15:57,8,2,4,False
2024-03-01,LAC,WAS,19:45,4,1,10,False
2024-03-03,LAC,MIN,N/A,N/A,N/A,N/A,False
2024-03-04,LAC,MIL,N/A,N/A,N/A,N/A,False
2024-03-06,LAC,HOU,19:56,8,0,11,False
2024-03-09,LAC,CHI,N/A,N/A,N/A,N/A,False
2024-03-10,LAC,MIL,6:57,2,3,3,False
2024-03-12,LAC,MIN,4:08,0,2,3,False
2024-03-14,LAC,CHI,2:27,0,1,0,False
2024-03-15,LAC,NOP,6:13,3,0,2,False
2024-03-17,LAC,ATL,6:55,5,1,2,False
2024-03-20,LAC,POR,4:12,0,0,3,False
2024-03-22,LAC,POR,9:24,5,0,3,False
2024-03-24,LAC,PHI,12:29,8,1,5,False
2024-03-25,LAC,IND,N/A,N/A,N/A,N/A,False
2024-03-27,LAC,PHI,6:51,1,0,3,False
2024-03-29,LAC,ORL,12:37,8,0,4,False
2024-03-31,LAC,CHO,6:47,0,2,2,False
2024-04-02,LAC,SAC,N/A,N/A,N/A,N/A,False
2024-04-04,LAC,DEN,13:05,2,0,2,False
2024-04-05,LAC,UTA,7:09,0,0,4,False
2024-04-07,LAC,CLE,17:18,6,2,5,False
2024-04-09,LAC,PHO,7:47,2,0,0,False
2024-04-10,LAC,PHO,35:15,12,4,12,True
2024-04-12,LAC,UTA,13:37,3,2,4,False
2024-04-14,LAC,HOU,23:54,9,4,13,True
