Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,POR,LAC,N/A,N/A,N/A,N/A,False
2023-10-27,POR,ORL,N/A,N/A,N/A,N/A,False
2023-10-29,POR,PHI,N/A,N/A,N/A,N/A,False
2023-10-30,POR,TOR,N/A,N/A,N/A,N/A,False
2023-11-01,POR,DET,N/A,N/A,N/A,N/A,False
2023-11-03,POR,MEM,N/A,N/A,N/A,N/A,False
2023-11-05,POR,MEM,N/A,N/A,N/A,N/A,False
2023-11-08,POR,SAC,N/A,N/A,N/A,N/A,False
2023-11-12,POR,LAL,14:04,11,3,3,False
2023-11-14,POR,UTA,9:47,0,0,1,False
2023-11-15,POR,CLE,19:40,16,3,2,False
2023-11-17,POR,LAL,10:12,0,0,2,False
2023-11-19,POR,OKC,12:01,4,0,2,False
2023-11-21,POR,PHO,12:39,10,1,1,False
2023-11-22,POR,UTA,20:11,8,1,4,True
2023-11-26,POR,MIL,12:12,3,0,0,False
2023-11-27,POR,IND,9:49,4,1,2,False
2023-11-30,POR,CLE,18:19,13,2,2,False
2023-12-02,POR,UTA,14:00,9,1,1,False
2023-12-06,POR,GSW,22:00,10,2,6,True
2023-12-08,POR,DAL,21:03,10,1,6,True
2023-12-11,POR,LAC,26:23,10,4,3,True
2023-12-14,POR,UTA,12:41,15,0,5,False
2023-12-16,POR,DAL,15:07,11,1,5,False
2023-12-17,POR,GSW,N/A,N/A,N/A,N/A,False
2023-12-19,POR,PHO,4:06,3,0,2,False
2023-12-21,POR,WAS,9:39,10,0,5,False
2023-12-23,POR,GSW,9:06,0,0,1,False
2023-12-26,POR,SAC,32:04,25,0,9,False
2023-12-28,POR,SAS,N/A,N/A,N/A,N/A,False
2023-12-29,POR,SAS,N/A,N/A,N/A,N/A,False
2024-01-01,POR,PHO,N/A,N/A,N/A,N/A,False
2024-01-03,POR,DAL,6:04,2,1,2,False
2024-01-05,POR,DAL,26:53,16,2,7,True
2024-01-07,POR,BRK,40:46,15,1,13,True
2024-01-09,POR,NYK,20:45,7,0,6,True
2024-01-11,POR,OKC,24:19,8,2,7,True
2024-01-12,POR,MIN,23:53,14,0,6,True
2024-01-14,POR,PHO,38:59,17,1,6,True
2024-01-17,POR,BRK,25:20,17,3,7,True
2024-01-19,POR,IND,17:38,3,2,5,False
2024-01-21,POR,LAL,22:22,16,4,3,False
2024-01-23,POR,OKC,20:44,10,3,4,False
2024-01-24,POR,HOU,12:16,9,2,2,False
2024-01-26,POR,SAS,12:38,3,0,3,False
2024-01-28,POR,CHI,10:34,3,0,3,False
2024-01-29,POR,PHI,11:50,5,1,1,False
2024-01-31,POR,MIL,13:00,10,1,4,False
2024-02-02,POR,DEN,20:31,10,1,4,False
2024-02-04,POR,DEN,13:20,8,1,1,False
2024-02-08,POR,DET,N/A,N/A,N/A,N/A,False
2024-02-10,POR,NOP,N/A,N/A,N/A,N/A,False
2024-02-13,POR,MIN,12:33,6,0,3,False
2024-02-15,POR,MIN,16:46,6,0,3,False
2024-02-23,POR,DEN,12:57,8,1,6,False
2024-02-25,POR,CHO,12:56,7,0,1,False
2024-02-27,POR,MIA,12:35,0,0,3,False
2024-03-01,POR,MEM,23:09,18,1,5,True
2024-03-02,POR,MEM,24:04,12,1,6,True
2024-03-04,POR,MIN,38:55,26,1,3,True
2024-03-06,POR,OKC,30:37,16,1,5,True
2024-03-08,POR,HOU,32:00,16,3,6,True
2024-03-09,POR,TOR,13:03,4,0,1,False
2024-03-11,POR,BOS,13:00,8,0,1,False
2024-03-13,POR,ATL,7:30,1,0,0,False
2024-03-14,POR,NYK,11:14,0,0,3,False
2024-03-16,POR,NOP,8:18,0,0,0,False
2024-03-18,POR,CHI,16:57,14,0,1,False
2024-03-20,POR,LAC,16:06,8,1,2,False
2024-03-22,POR,LAC,26:41,13,2,3,True
2024-03-23,POR,DEN,26:20,24,2,8,True
2024-03-25,POR,HOU,23:59,8,0,4,True
2024-03-27,POR,ATL,30:13,13,5,5,True
2024-03-29,POR,MIA,14:06,6,0,2,False
2024-04-01,POR,ORL,16:30,2,0,3,False
2024-04-03,POR,CHO,10:46,7,0,3,False
2024-04-05,POR,WAS,10:35,5,2,2,False
2024-04-07,POR,BOS,15:38,0,1,5,False
2024-04-09,POR,NOP,12:13,12,1,5,False
2024-04-11,POR,GSW,14:13,8,0,5,False
2024-04-12,POR,HOU,19:06,10,0,4,False
2024-04-14,POR,SAC,24:09,14,0,6,False
