Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-12-26,DET,LAC,N/A,N/A,N/A,N/A,False
2022-12-28,DET,ORL,N/A,N/A,N/A,N/A,False
2022-12-30,DET,CHI,N/A,N/A,N/A,N/A,False
2022-12-31,DET,MIN,N/A,N/A,N/A,N/A,False
2023-01-02,DET,POR,N/A,N/A,N/A,N/A,False
2023-01-04,DET,GSW,N/A,N/A,N/A,N/A,False
2023-01-06,DET,SAS,N/A,N/A,N/A,N/A,False
2023-01-08,DET,PHI,N/A,N/A,N/A,N/A,False
2023-01-10,DET,PHI,12:00,2,0,1,False
2023-01-11,DET,MIN,N/A,N/A,N/A,N/A,False
2023-01-13,DET,NOP,N/A,N/A,N/A,N/A,False
2023-01-15,DET,NYK,N/A,N/A,N/A,N/A,False
2023-01-19,DET,CHI,N/A,N/A,N/A,N/A,False
2023-01-23,DET,MIL,N/A,N/A,N/A,N/A,False
2023-01-26,DET,BRK,N/A,N/A,N/A,N/A,False
2023-01-28,DET,HOU,N/A,N/A,N/A,N/A,False
2023-01-30,DET,DAL,N/A,N/A,N/A,N/A,False
2023-02-03,DET,CHO,N/A,N/A,N/A,N/A,False
2023-02-04,DET,PHO,N/A,N/A,N/A,N/A,False
2023-02-06,DET,BOS,N/A,N/A,N/A,N/A,False
2023-02-08,DET,CLE,N/A,N/A,N/A,N/A,False
2023-02-10,DET,SAS,N/A,N/A,N/A,N/A,False
2023-02-12,DET,TOR,N/A,N/A,N/A,N/A,False
2023-02-15,DET,BOS,N/A,N/A,N/A,N/A,False
2023-02-23,DET,ORL,N/A,N/A,N/A,N/A,False
2023-02-25,DET,TOR,N/A,N/A,N/A,N/A,False
2023-02-27,DET,CHO,N/A,N/A,N/A,N/A,False
2023-03-01,DET,CHI,N/A,N/A,N/A,N/A,False
2023-03-04,DET,CLE,9:03,2,0,3,False
2023-03-06,DET,POR,6:13,4,0,4,False
2023-03-07,DET,WAS,5:27,0,0,0,False
2023-03-09,DET,CHO,N/A,N/A,N/A,N/A,False
2023-03-11,DET,IND,N/A,N/A,N/A,N/A,False
2023-03-13,DET,IND,0:52,0,0,0,False
2023-03-14,DET,WAS,17:19,7,0,4,False
2023-03-16,DET,DEN,N/A,N/A,N/A,N/A,False
2023-03-19,DET,MIA,N/A,N/A,N/A,N/A,False
2023-03-21,DET,ATL,14:49,0,2,2,False
2023-03-24,DET,TOR,8:16,0,0,2,False
2023-03-27,DET,MIL,N/A,N/A,N/A,N/A,False
2023-03-29,DET,OKC,N/A,N/A,N/A,N/A,False
2023-03-31,DET,HOU,15:44,7,1,3,False
2023-04-02,DET,ORL,16:37,4,0,2,False
2023-04-04,DET,MIA,2:45,0,0,0,False
2023-04-05,DET,BRK,19:34,2,0,4,False
2023-04-07,DET,IND,34:08,10,1,6,False
2023-04-09,DET,CHI,35:04,7,0,6,False
