Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,NYK,BOS,22:06,2,1,6,True
2023-10-27,NYK,ATL,37:42,7,1,13,True
2023-10-28,NYK,NOP,28:57,8,0,15,True
2023-10-31,NYK,CLE,22:19,8,0,7,True
2023-11-01,NYK,CLE,32:04,6,0,16,True
2023-11-03,NYK,MIL,29:27,0,1,15,True
2023-11-06,NYK,LAC,34:48,13,0,15,True
2023-11-08,NYK,SAS,31:13,8,1,12,True
2023-11-12,NYK,CHO,23:55,10,0,9,True
2023-11-13,NYK,BOS,33:10,4,1,6,True
2023-11-15,NYK,ATL,30:40,6,0,15,True
2023-11-17,NYK,WAS,27:13,6,1,8,True
2023-11-18,NYK,CHO,33:18,4,1,14,True
2023-11-20,NYK,MIN,30:27,10,0,11,True
2023-11-24,NYK,MIA,20:05,5,0,7,True
2023-11-26,NYK,PHO,34:27,3,1,11,True
2023-11-28,NYK,CHO,32:44,6,0,10,True
2023-11-30,NYK,DET,30:56,6,1,9,True
2023-12-01,NYK,TOR,31:55,6,1,5,True
2023-12-05,NYK,MIL,27:12,2,3,4,True
2023-12-08,NYK,BOS,18:42,10,2,8,True
2023-12-11,NYK,TOR,N/A,N/A,N/A,N/A,False
2023-12-13,NYK,UTA,N/A,N/A,N/A,N/A,False
2023-12-15,NYK,PHO,N/A,N/A,N/A,N/A,False
2023-12-16,NYK,LAC,N/A,N/A,N/A,N/A,False
2023-12-18,NYK,LAL,N/A,N/A,N/A,N/A,False
2023-12-20,NYK,BRK,N/A,N/A,N/A,N/A,False
2023-12-23,NYK,MIL,N/A,N/A,N/A,N/A,False
2023-12-25,NYK,MIL,N/A,N/A,N/A,N/A,False
2023-12-27,NYK,OKC,N/A,N/A,N/A,N/A,False
2023-12-29,NYK,ORL,N/A,N/A,N/A,N/A,False
2023-12-30,NYK,IND,N/A,N/A,N/A,N/A,False
2024-01-01,NYK,MIN,N/A,N/A,N/A,N/A,False
2024-01-03,NYK,CHI,N/A,N/A,N/A,N/A,False
2024-01-05,NYK,PHI,N/A,N/A,N/A,N/A,False
2024-01-06,NYK,WAS,N/A,N/A,N/A,N/A,False
2024-01-09,NYK,POR,N/A,N/A,N/A,N/A,False
2024-01-11,NYK,DAL,N/A,N/A,N/A,N/A,False
2024-01-13,NYK,MEM,N/A,N/A,N/A,N/A,False
2024-01-15,NYK,ORL,N/A,N/A,N/A,N/A,False
2024-01-17,NYK,HOU,N/A,N/A,N/A,N/A,False
2024-01-18,NYK,WAS,N/A,N/A,N/A,N/A,False
2024-01-20,NYK,TOR,N/A,N/A,N/A,N/A,False
2024-01-23,NYK,BRK,N/A,N/A,N/A,N/A,False
2024-01-25,NYK,DEN,N/A,N/A,N/A,N/A,False
2024-01-27,NYK,MIA,N/A,N/A,N/A,N/A,False
2024-01-29,NYK,CHO,N/A,N/A,N/A,N/A,False
2024-01-30,NYK,UTA,N/A,N/A,N/A,N/A,False
2024-02-01,NYK,IND,N/A,N/A,N/A,N/A,False
2024-02-03,NYK,LAL,N/A,N/A,N/A,N/A,False
2024-02-06,NYK,MEM,N/A,N/A,N/A,N/A,False
2024-02-08,NYK,DAL,N/A,N/A,N/A,N/A,False
2024-02-10,NYK,IND,N/A,N/A,N/A,N/A,False
2024-02-12,NYK,HOU,N/A,N/A,N/A,N/A,False
2024-02-14,NYK,ORL,N/A,N/A,N/A,N/A,False
2024-02-22,NYK,PHI,N/A,N/A,N/A,N/A,False
2024-02-24,NYK,BOS,N/A,N/A,N/A,N/A,False
2024-02-26,NYK,DET,N/A,N/A,N/A,N/A,False
2024-02-27,NYK,NOP,N/A,N/A,N/A,N/A,False
2024-02-29,NYK,GSW,N/A,N/A,N/A,N/A,False
2024-03-03,NYK,CLE,N/A,N/A,N/A,N/A,False
2024-03-05,NYK,ATL,N/A,N/A,N/A,N/A,False
2024-03-08,NYK,ORL,N/A,N/A,N/A,N/A,False
2024-03-10,NYK,PHI,N/A,N/A,N/A,N/A,False
2024-03-12,NYK,PHI,N/A,N/A,N/A,N/A,False
2024-03-14,NYK,POR,N/A,N/A,N/A,N/A,False
2024-03-16,NYK,SAC,N/A,N/A,N/A,N/A,False
2024-03-18,NYK,GSW,N/A,N/A,N/A,N/A,False
2024-03-21,NYK,DEN,N/A,N/A,N/A,N/A,False
2024-03-23,NYK,BRK,N/A,N/A,N/A,N/A,False
2024-03-25,NYK,DET,N/A,N/A,N/A,N/A,False
2024-03-27,NYK,TOR,12:26,8,0,2,False
2024-03-29,NYK,SAS,19:39,7,0,12,False
2024-03-31,NYK,OKC,N/A,N/A,N/A,N/A,False
2024-04-02,NYK,MIA,10:08,0,0,1,False
2024-04-04,NYK,SAC,15:24,2,2,7,False
2024-04-05,NYK,CHI,11:06,5,1,5,False
2024-04-07,NYK,MIL,19:09,1,0,6,False
2024-04-09,NYK,CHI,19:39,0,0,1,False
2024-04-11,NYK,BOS,14:47,5,0,4,False
2024-04-12,NYK,BRK,25:02,15,0,8,False
2024-04-14,NYK,CHI,7:26,0,0,1,False
