Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,MIN,OKC,34:35,20,2,5,True
2022-10-21,MIN,UTA,39:26,23,7,5,True
2022-10-23,MIN,OKC,25:48,6,6,3,True
2022-10-24,MIN,SAS,31:23,25,7,5,True
2022-10-26,MIN,SAS,28:59,12,9,2,True
2022-10-28,MIN,LAL,30:48,11,7,4,True
2022-10-30,MIN,SAS,27:50,10,4,5,True
2022-11-01,MIN,PHO,22:38,5,4,4,True
2022-11-04,MIN,MIL,27:10,9,4,3,True
2022-11-05,MIN,HOU,26:38,13,4,6,True
2022-11-07,MIN,NYK,30:49,14,8,2,True
2022-11-09,MIN,PHO,33:18,20,6,2,True
2022-11-11,MIN,MEM,26:33,4,8,0,True
2022-11-13,MIN,CLE,35:09,30,11,2,True
2022-11-16,MIN,ORL,32:17,11,6,3,True
2022-11-19,MIN,PHI,33:33,19,7,2,True
2022-11-21,MIN,MIA,27:59,3,5,3,True
2022-11-23,MIN,IND,35:45,15,12,3,True
2022-11-25,MIN,CHO,35:45,20,10,4,True
2022-11-27,MIN,GSW,31:25,15,6,2,True
2022-11-28,MIN,WAS,32:33,17,5,4,True
2022-11-30,MIN,MEM,37:27,15,10,5,True
2022-12-03,MIN,OKC,36:25,27,6,3,True
2022-12-07,MIN,IND,27:48,28,4,0,True
2022-12-09,MIN,UTA,36:21,30,2,3,True
2022-12-10,MIN,POR,39:10,24,3,1,True
2022-12-12,MIN,POR,29:33,23,8,3,True
2022-12-14,MIN,LAC,N/A,N/A,N/A,N/A,False
2022-12-16,MIN,OKC,N/A,N/A,N/A,N/A,False
2022-12-18,MIN,CHI,36:59,28,8,2,True
2022-12-19,MIN,DAL,35:10,9,5,2,True
2022-12-21,MIN,DAL,37:48,8,8,6,True
2022-12-23,MIN,BOS,38:59,21,10,7,True
2022-12-26,MIN,MIA,36:14,13,8,3,True
2022-12-28,MIN,NOP,38:22,27,4,3,True
2022-12-30,MIN,MIL,35:12,15,7,5,True
2022-12-31,MIN,DET,33:53,25,5,0,True
2023-01-02,MIN,DEN,N/A,N/A,N/A,N/A,False
2023-01-04,MIN,POR,25:32,9,7,3,True
2023-01-06,MIN,LAC,32:51,25,4,5,True
2023-01-08,MIN,HOU,32:45,22,6,3,True
2023-01-11,MIN,DET,37:04,19,5,2,True
2023-01-13,MIN,PHO,34:18,17,4,2,True
2023-01-14,MIN,CLE,20:33,9,1,0,True
2023-01-16,MIN,UTA,30:58,21,7,1,True
2023-01-18,MIN,DEN,31:45,13,7,0,True
2023-01-19,MIN,TOR,33:48,25,6,1,True
2023-01-21,MIN,HOU,31:15,23,8,1,True
2023-01-23,MIN,HOU,42:25,30,7,3,True
2023-01-25,MIN,NOP,38:49,19,5,3,True
2023-01-27,MIN,MEM,37:14,19,7,8,True
2023-01-28,MIN,SAC,37:15,25,6,2,True
2023-01-30,MIN,SAC,40:09,10,7,4,True
2023-02-01,MIN,GSW,34:41,29,2,2,True
2023-02-03,MIN,ORL,37:38,29,6,10,True
2023-02-05,MIN,DEN,29:30,18,10,1,True
2023-02-07,MIN,DEN,19:49,10,3,2,True
2023-02-08,MIN,UTA,N/A,N/A,N/A,N/A,False
2023-02-09,LAL,MIL,N/A,N/A,N/A,N/A,False
2023-02-11,LAL,GSW,35:13,15,6,5,True
2023-02-13,LAL,POR,27:53,16,4,3,True
2023-02-15,LAL,NOP,27:31,21,7,2,True
2023-02-23,LAL,GSW,8:48,2,3,4,True
2023-02-26,LAL,DAL,N/A,N/A,N/A,N/A,False
2023-02-28,LAL,MEM,N/A,N/A,N/A,N/A,False
2023-03-01,LAL,OKC,N/A,N/A,N/A,N/A,False
2023-03-03,LAL,MIN,N/A,N/A,N/A,N/A,False
2023-03-05,LAL,GSW,N/A,N/A,N/A,N/A,False
2023-03-07,LAL,MEM,N/A,N/A,N/A,N/A,False
2023-03-10,LAL,TOR,31:01,28,9,5,True
2023-03-12,LAL,NYK,35:16,33,8,5,True
2023-03-14,LAL,NOP,32:47,17,3,5,True
2023-03-15,LAL,HOU,33:38,18,7,1,True
2023-03-17,LAL,DAL,35:56,11,11,2,True
2023-03-19,LAL,ORL,33:14,18,6,1,True
2023-03-22,LAL,PHO,34:05,26,6,1,True
2023-03-24,LAL,OKC,N/A,N/A,N/A,N/A,False
2023-03-26,LAL,CHI,N/A,N/A,N/A,N/A,False
2023-03-29,LAL,CHI,35:47,17,4,4,True
2023-03-31,LAL,MIN,33:49,12,10,1,True
2023-04-02,LAL,HOU,14:40,6,4,3,True
2023-04-04,LAL,UTA,N/A,N/A,N/A,N/A,False
2023-04-05,LAL,LAC,39:39,15,7,3,True
2023-04-07,LAL,PHO,33:23,24,3,3,True
2023-04-09,LAL,UTA,33:25,17,5,2,True
