Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,HOU,MIN,18:34,11,2,6,False
2021-10-22,HOU,OKC,17:47,6,1,4,False
2021-10-24,HOU,BOS,19:26,7,4,4,False
2021-10-26,HOU,DAL,14:25,5,2,1,False
2021-10-28,HOU,UTA,23:56,14,0,5,False
2021-10-31,HOU,LAL,20:15,11,2,7,False
2021-11-02,HOU,LAL,25:45,6,4,4,True
2021-11-04,HOU,PHO,22:33,10,5,4,True
2021-11-06,HOU,DEN,13:53,9,3,4,False
2021-11-07,HOU,GSW,16:26,12,1,5,False
2021-11-10,HOU,DET,N/A,N/A,N/A,N/A,False
2021-11-12,HOU,POR,18:40,12,0,4,False
2021-11-14,HOU,PHO,21:37,10,4,10,False
2021-11-15,HOU,MEM,17:44,9,1,5,False
2021-11-17,HOU,OKC,5:02,0,0,2,False
2021-11-20,HOU,NYK,23:34,10,3,6,False
2021-11-22,HOU,BOS,20:52,8,7,6,False
2021-11-24,HOU,CHI,16:11,13,2,4,False
2021-11-27,HOU,CHO,12:20,5,4,5,False
2021-11-29,HOU,OKC,17:06,4,3,5,False
2021-12-01,HOU,OKC,13:25,5,4,2,False
2021-12-03,HOU,ORL,18:33,13,5,3,False
2021-12-05,HOU,NOP,16:59,10,1,4,False
2021-12-08,HOU,BRK,14:22,6,1,2,False
2021-12-10,HOU,MIL,15:54,15,0,5,False
2021-12-11,HOU,MEM,22:36,15,6,6,False
2021-12-13,HOU,ATL,24:48,11,4,6,False
2021-12-15,HOU,CLE,27:34,19,5,11,False
2021-12-16,HOU,NYK,15:24,1,1,2,False
2021-12-18,HOU,DET,22:06,9,4,5,False
2021-12-20,HOU,CHI,19:17,8,2,5,False
2021-12-22,HOU,MIL,23:48,10,4,8,False
2021-12-23,HOU,IND,20:17,10,3,8,False
2021-12-27,HOU,CHO,21:10,5,3,6,False
2021-12-28,HOU,LAL,15:18,10,0,2,False
2021-12-31,HOU,MIA,6:37,6,1,1,False
2022-01-01,HOU,DEN,N/A,N/A,N/A,N/A,False
2022-01-03,HOU,PHI,N/A,N/A,N/A,N/A,False
2022-01-05,HOU,WAS,N/A,N/A,N/A,N/A,False
2022-01-07,HOU,DAL,N/A,N/A,N/A,N/A,False
2022-01-09,HOU,MIN,N/A,N/A,N/A,N/A,False
2022-01-10,HOU,PHI,N/A,N/A,N/A,N/A,False
2022-01-12,HOU,SAS,N/A,N/A,N/A,N/A,False
2022-01-14,HOU,SAC,13:45,9,2,4,False
2022-01-16,HOU,SAC,14:46,6,2,0,False
2022-01-19,HOU,UTA,15:56,7,2,2,False
2022-01-21,HOU,GSW,14:17,5,2,6,False
2022-01-25,HOU,SAS,23:40,14,1,5,False
2022-01-28,HOU,POR,11:26,4,0,3,False
2022-01-31,HOU,GSW,12:25,2,1,4,False
2022-02-02,HOU,CLE,24:32,9,3,8,False
2022-02-04,HOU,SAS,28:42,18,1,2,False
2022-02-06,HOU,NOP,25:28,5,4,6,True
2022-02-08,HOU,NOP,28:27,11,2,9,True
2022-02-10,HOU,TOR,20:35,0,4,4,False
2022-02-14,HOU,UTA,16:28,9,2,3,False
2022-02-16,HOU,PHO,28:18,19,3,14,True
2022-02-17,HOU,LAC,14:26,4,4,3,False
2022-02-25,HOU,ORL,18:21,6,4,6,False
2022-02-27,HOU,LAC,16:20,15,0,3,False
2022-03-01,HOU,LAC,21:39,13,1,9,False
2022-03-02,HOU,UTA,17:53,5,1,4,False
2022-03-04,HOU,DEN,22:14,11,1,10,False
2022-03-06,HOU,MEM,22:04,6,4,1,False
2022-03-07,HOU,MIA,30:03,13,3,8,True
2022-03-09,HOU,LAL,39:54,21,2,14,True
2022-03-11,HOU,DAL,19:48,6,1,6,True
2022-03-13,HOU,NOP,14:41,9,1,4,False
2022-03-16,HOU,PHO,25:41,5,3,3,False
2022-03-18,HOU,IND,21:20,15,0,4,False
2022-03-20,HOU,MEM,22:57,12,3,9,False
2022-03-21,HOU,WAS,24:58,7,3,7,False
2022-03-23,HOU,DAL,21:59,14,2,11,False
2022-03-25,HOU,POR,21:22,4,5,6,False
2022-03-26,HOU,POR,25:46,27,3,7,False
2022-03-28,HOU,SAS,28:54,12,3,7,True
2022-03-30,HOU,SAC,N/A,N/A,N/A,N/A,False
2022-04-01,HOU,SAC,N/A,N/A,N/A,N/A,False
2022-04-03,HOU,MIN,32:43,14,4,15,True
2022-04-05,HOU,BRK,36:01,14,5,11,True
2022-04-08,HOU,TOR,32:42,17,3,2,True
2022-04-10,HOU,ATL,34:34,9,8,6,True
