Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,HOU,ATL,32:54,17,1,7,True
2022-10-21,HOU,MEM,34:35,10,1,1,True
2022-10-22,HOU,MIL,27:36,13,1,11,True
2022-10-24,HOU,UTA,33:51,21,2,9,True
2022-10-26,HOU,UTA,32:13,10,0,9,True
2022-10-28,HOU,POR,32:13,12,1,2,True
2022-10-30,HOU,PHO,25:03,8,0,7,True
2022-10-31,HOU,LAC,30:19,4,1,5,True
2022-11-02,HOU,LAC,26:51,2,0,4,True
2022-11-05,HOU,MIN,N/A,N/A,N/A,N/A,False
2022-11-07,HOU,ORL,21:53,3,1,1,True
2022-11-09,HOU,TOR,30:44,15,0,10,True
2022-11-12,HOU,NOP,27:45,9,2,15,True
2022-11-14,HOU,LAC,28:31,7,1,6,True
2022-11-16,HOU,DAL,30:08,10,0,9,True
2022-11-18,HOU,IND,36:22,12,1,8,True
2022-11-20,HOU,GSW,32:23,22,1,7,True
2022-11-25,HOU,ATL,38:03,21,1,9,True
2022-11-26,HOU,OKC,31:25,15,0,13,True
2022-11-28,HOU,DEN,17:26,9,1,3,True
2022-11-30,HOU,DEN,31:00,13,2,4,True
2022-12-02,HOU,PHO,30:26,17,0,6,True
2022-12-03,HOU,GSW,22:53,6,0,5,True
2022-12-05,HOU,PHI,39:09,16,0,11,True
2022-12-08,HOU,SAS,34:10,23,0,4,True
2022-12-11,HOU,MIL,34:54,6,2,10,True
2022-12-13,HOU,PHO,29:15,14,0,8,True
2022-12-15,HOU,MIA,32:18,15,1,11,True
2022-12-17,HOU,POR,24:49,6,0,4,True
2022-12-19,HOU,SAS,30:26,9,1,8,True
2022-12-21,HOU,ORL,27:44,10,0,5,True
2022-12-23,HOU,DAL,33:43,24,3,10,True
2022-12-26,HOU,CHI,30:48,13,2,8,True
2022-12-27,HOU,BOS,28:51,6,2,9,True
2022-12-29,HOU,DAL,27:26,16,1,4,True
2022-12-31,HOU,NYK,19:33,10,1,2,True
2023-01-02,HOU,DAL,32:26,11,2,5,True
2023-01-04,HOU,NOP,30:59,14,1,13,True
2023-01-05,HOU,UTA,20:04,3,1,5,True
2023-01-08,HOU,MIN,31:52,9,2,6,True
2023-01-11,HOU,SAC,28:12,8,0,9,True
2023-01-13,HOU,SAC,34:18,27,1,8,True
2023-01-15,HOU,LAC,30:15,12,2,5,True
2023-01-16,HOU,LAL,28:28,14,4,4,True
2023-01-18,HOU,CHO,22:43,8,1,5,True
2023-01-21,HOU,MIN,N/A,N/A,N/A,N/A,False
2023-01-23,HOU,MIN,N/A,N/A,N/A,N/A,False
2023-01-25,HOU,WAS,29:26,6,2,7,True
2023-01-26,HOU,CLE,19:05,14,1,5,True
2023-01-28,HOU,DET,33:34,7,2,12,True
2023-02-01,HOU,OKC,26:36,9,0,7,True
2023-02-03,HOU,TOR,32:54,14,3,8,True
2023-02-04,HOU,OKC,31:27,11,2,3,True
2023-02-06,HOU,SAC,34:52,13,2,5,True
2023-02-08,HOU,SAC,31:56,9,4,6,True
2023-02-10,HOU,MIA,34:05,22,1,8,True
2023-02-13,HOU,PHI,36:17,10,2,12,True
2023-02-15,HOU,OKC,29:01,15,2,9,True
2023-02-24,HOU,GSW,34:04,13,1,9,True
2023-02-26,HOU,POR,37:38,9,4,8,True
2023-02-28,HOU,DEN,32:57,8,1,6,True
2023-03-01,HOU,MEM,20:59,4,1,6,True
2023-03-04,HOU,SAS,26:45,12,0,2,True
2023-03-05,HOU,SAS,26:49,11,2,4,True
2023-03-07,HOU,BRK,31:49,15,0,8,True
2023-03-09,HOU,IND,46:56,30,3,12,True
2023-03-11,HOU,CHI,36:02,20,2,10,True
2023-03-13,HOU,BOS,35:49,24,3,11,True
2023-03-15,HOU,LAL,36:32,18,1,6,True
2023-03-17,HOU,NOP,28:57,11,1,8,True
2023-03-19,HOU,NOP,38:08,8,0,4,True
2023-03-20,HOU,GSW,38:56,17,2,11,True
2023-03-22,HOU,MEM,31:19,16,2,5,True
2023-03-24,HOU,MEM,29:26,20,0,8,True
2023-03-26,HOU,CLE,32:02,12,1,4,True
2023-03-27,HOU,NYK,29:44,14,6,11,True
2023-03-29,HOU,BRK,39:54,12,2,12,True
2023-03-31,HOU,DET,36:47,13,1,11,True
2023-04-02,HOU,LAL,33:05,14,1,6,True
2023-04-04,HOU,DEN,35:36,16,1,13,True
2023-04-07,HOU,CHO,33:07,13,1,2,True
2023-04-09,HOU,WAS,31:01,20,0,5,True
