Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,BOS,NYK,38:39,34,4,11,True
2023-10-27,BOS,MIA,41:26,22,5,8,True
2023-10-30,BOS,WAS,27:36,33,3,6,True
2023-11-01,BOS,IND,26:34,30,4,12,True
2023-11-04,BOS,BRK,40:52,32,1,11,True
2023-11-06,BOS,MIN,42:58,32,2,5,True
2023-11-08,BOS,PHI,37:05,16,6,15,True
2023-11-10,BOS,BRK,33:18,23,3,10,True
2023-11-11,BOS,TOR,34:05,27,4,5,True
2023-11-13,BOS,NYK,39:28,35,7,6,True
2023-11-15,BOS,PHI,38:30,29,6,8,True
2023-11-17,BOS,TOR,37:25,17,2,7,True
2023-11-19,BOS,MEM,35:15,20,5,9,True
2023-11-20,BOS,CHO,43:54,45,6,13,True
2023-11-22,BOS,MIL,36:01,23,4,11,True
2023-11-24,BOS,ORL,38:55,26,3,5,True
2023-11-26,BOS,ATL,38:48,34,4,9,True
2023-11-28,BOS,CHI,35:33,21,4,7,True
2023-12-01,BOS,PHI,27:27,21,4,7,True
2023-12-04,BOS,IND,37:22,32,6,12,True
2023-12-08,BOS,NYK,38:36,25,5,6,True
2023-12-12,BOS,CLE,40:34,25,5,10,True
2023-12-14,BOS,CLE,36:26,27,3,11,True
2023-12-15,BOS,ORL,38:47,30,4,6,True
2023-12-17,BOS,ORL,30:52,23,3,8,True
2023-12-19,BOS,GSW,40:57,15,7,8,True
2023-12-20,BOS,SAC,N/A,N/A,N/A,N/A,False
2023-12-23,BOS,LAC,30:20,30,2,4,True
2023-12-25,BOS,LAL,41:14,25,7,8,True
2023-12-28,BOS,DET,43:19,31,10,7,True
2023-12-29,BOS,TOR,N/A,N/A,N/A,N/A,False
2023-12-31,BOS,SAS,30:50,25,2,6,True
2024-01-02,BOS,OKC,37:36,30,8,13,True
2024-01-05,BOS,UTA,24:38,30,5,9,True
2024-01-06,BOS,IND,37:36,38,6,13,True
2024-01-08,BOS,IND,N/A,N/A,N/A,N/A,False
2024-01-10,BOS,MIN,42:15,45,2,4,True
2024-01-11,BOS,MIL,15:45,7,3,1,True
2024-01-13,BOS,HOU,29:30,27,5,8,True
2024-01-15,BOS,TOR,37:28,19,6,14,True
2024-01-17,BOS,SAS,31:33,24,2,5,True
2024-01-19,BOS,DEN,38:55,22,5,8,True
2024-01-21,BOS,HOU,35:07,18,3,7,True
2024-01-22,BOS,DAL,40:55,39,5,11,True
2024-01-25,BOS,MIA,32:12,26,4,8,True
2024-01-27,BOS,LAC,30:02,21,1,11,True
2024-01-29,BOS,NOP,37:30,28,8,10,True
2024-01-30,BOS,IND,38:50,30,7,7,True
2024-02-01,BOS,LAL,36:37,23,3,7,True
2024-02-04,BOS,MEM,30:48,34,7,8,True
2024-02-07,BOS,ATL,35:36,20,7,9,True
2024-02-09,BOS,WAS,38:04,35,8,10,True
2024-02-11,BOS,MIA,38:41,26,9,10,True
2024-02-13,BOS,BRK,38:59,41,5,14,True
2024-02-14,BOS,BRK,28:23,20,9,7,True
2024-02-22,BOS,CHI,34:55,25,5,7,True
2024-02-24,BOS,NYK,43:22,19,6,6,True
2024-02-27,BOS,PHI,34:45,29,8,11,True
2024-03-01,BOS,DAL,37:10,32,3,8,True
2024-03-03,BOS,GSW,25:12,27,5,3,True
2024-03-05,BOS,CLE,37:31,26,2,13,True
2024-03-07,BOS,DEN,38:39,15,8,4,True
2024-03-09,BOS,PHO,42:16,29,7,10,True
2024-03-11,BOS,POR,35:40,26,8,5,True
2024-03-12,BOS,UTA,34:00,38,2,6,True
2024-03-14,BOS,PHO,33:05,26,5,5,True
2024-03-17,BOS,WAS,26:36,30,6,6,True
2024-03-18,BOS,DET,N/A,N/A,N/A,N/A,False
2024-03-20,BOS,MIL,39:20,31,4,8,True
2024-03-22,BOS,DET,N/A,N/A,N/A,N/A,False
2024-03-23,BOS,CHI,37:24,26,6,2,True
2024-03-25,BOS,ATL,39:23,37,5,8,True
2024-03-28,BOS,ATL,45:14,31,6,13,True
2024-03-30,BOS,NOP,35:30,23,4,9,True
2024-04-01,BOS,CHO,34:23,25,4,10,True
2024-04-03,BOS,OKC,28:54,24,3,7,True
2024-04-05,BOS,SAC,32:30,17,5,6,True
2024-04-07,BOS,POR,N/A,N/A,N/A,N/A,False
2024-04-09,BOS,MIL,37:26,22,6,5,True
2024-04-11,BOS,NYK,31:48,18,7,4,True
2024-04-12,BOS,CHO,N/A,N/A,N/A,N/A,False
2024-04-14,BOS,WAS,N/A,N/A,N/A,N/A,False
