Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,TOR,WAS,26:27,6,1,2,False
2021-10-22,TOR,BOS,31:33,20,1,3,True
2021-10-23,TOR,DAL,35:40,12,0,4,True
2021-10-25,TOR,CHI,36:08,18,1,5,True
2021-10-27,TOR,IND,34:39,12,2,4,True
2021-10-29,TOR,ORL,31:56,19,2,3,True
2021-10-30,TOR,IND,23:23,8,1,3,True
2021-11-01,TOR,NYK,42:56,26,2,2,True
2021-11-03,TOR,WAS,34:02,15,3,5,True
2021-11-05,TOR,CLE,37:01,17,1,2,True
2021-11-07,TOR,BRK,36:13,14,2,1,True
2021-11-10,TOR,BOS,34:56,14,0,4,True
2021-11-11,TOR,PHI,36:06,20,4,5,True
2021-11-13,TOR,DET,38:16,23,3,2,True
2021-11-15,TOR,POR,39:34,18,1,6,True
2021-11-18,TOR,UTA,33:01,31,3,2,True
2021-11-19,TOR,SAC,36:22,23,1,4,True
2021-11-21,TOR,GSW,28:39,11,0,2,True
2021-11-24,TOR,MEM,39:26,26,4,1,True
2021-11-26,TOR,IND,31:41,13,1,1,True
2021-11-28,TOR,BOS,N/A,N/A,N/A,N/A,False
2021-11-30,TOR,MEM,N/A,N/A,N/A,N/A,False
2021-12-02,TOR,MIL,34:54,8,3,8,True
2021-12-05,TOR,WAS,30:25,6,3,4,True
2021-12-08,TOR,OKC,38:43,24,3,4,True
2021-12-10,TOR,NYK,39:04,24,1,1,True
2021-12-13,TOR,SAC,30:57,10,4,2,True
2021-12-14,TOR,BRK,42:02,25,5,2,True
2021-12-18,TOR,GSW,28:45,10,2,0,True
2021-12-26,TOR,CLE,N/A,N/A,N/A,N/A,False
2021-12-28,TOR,PHI,41:16,19,7,1,True
2021-12-31,TOR,LAC,30:41,10,0,2,True
2022-01-02,TOR,NYK,19:39,5,2,4,True
2022-01-04,TOR,SAS,31:46,21,3,0,True
2022-01-05,TOR,MIL,31:05,22,2,5,True
2022-01-07,TOR,UTA,34:46,10,1,0,True
2022-01-09,TOR,NOP,N/A,N/A,N/A,N/A,False
2022-01-11,TOR,PHO,N/A,N/A,N/A,N/A,False
2022-01-14,TOR,DET,N/A,N/A,N/A,N/A,False
2022-01-15,TOR,MIL,N/A,N/A,N/A,N/A,False
2022-01-17,TOR,MIA,N/A,N/A,N/A,N/A,False
2022-01-19,TOR,DAL,N/A,N/A,N/A,N/A,False
2022-01-21,TOR,WAS,29:05,13,1,1,True
2022-01-23,TOR,POR,28:23,13,1,0,True
2022-01-25,TOR,CHO,34:49,32,2,2,True
2022-01-26,TOR,CHI,36:41,32,2,1,True
2022-01-29,TOR,MIA,55:39,33,1,5,True
2022-01-31,TOR,ATL,40:47,31,1,6,True
2022-02-01,TOR,MIA,40:35,33,1,2,True
2022-02-03,TOR,CHI,40:00,16,3,3,True
2022-02-04,TOR,ATL,35:54,19,1,1,True
2022-02-07,TOR,CHO,34:16,24,2,3,True
2022-02-09,TOR,OKC,34:22,16,2,1,True
2022-02-10,TOR,HOU,37:03,42,4,1,True
2022-02-12,TOR,DEN,37:53,11,0,3,True
2022-02-14,TOR,NOP,28:28,6,0,1,True
2022-02-16,TOR,MIN,39:29,30,2,4,True
2022-02-25,TOR,CHO,28:45,12,1,4,True
2022-02-26,TOR,ATL,30:46,9,1,3,True
2022-02-28,TOR,BRK,29:35,12,5,0,True
2022-03-01,TOR,BRK,39:03,24,7,2,True
2022-03-03,TOR,DET,38:44,14,4,2,True
2022-03-04,TOR,ORL,26:45,4,3,2,True
2022-03-06,TOR,CLE,38:14,19,1,3,True
2022-03-09,TOR,SAS,34:34,17,1,4,True
2022-03-11,TOR,PHO,40:23,42,1,8,True
2022-03-12,TOR,DEN,31:01,8,1,3,True
2022-03-14,TOR,LAL,36:06,28,3,5,True
2022-03-16,TOR,LAC,33:26,7,2,4,True
2022-03-18,TOR,LAL,41:27,23,3,3,True
2022-03-20,TOR,PHI,33:54,9,3,2,True
2022-03-21,TOR,CHI,N/A,N/A,N/A,N/A,False
2022-03-24,TOR,CLE,N/A,N/A,N/A,N/A,False
2022-03-26,TOR,IND,N/A,N/A,N/A,N/A,False
2022-03-28,TOR,BOS,36:40,12,2,2,True
2022-03-30,TOR,MIN,27:12,29,0,2,True
2022-04-01,TOR,ORL,39:58,17,3,1,True
2022-04-03,TOR,MIA,43:08,19,1,2,True
2022-04-05,TOR,ATL,32:22,14,2,4,True
2022-04-07,TOR,PHI,41:25,30,3,5,True
2022-04-08,TOR,HOU,38:03,26,0,1,True
2022-04-10,TOR,NYK,30:55,17,2,1,True
