Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,IND,CHO,25:49,9,1,7,True
2021-10-22,IND,WAS,43:36,40,0,10,True
2021-10-23,IND,MIA,16:12,4,0,4,True
2021-10-25,IND,MIL,14:05,5,1,4,True
2021-10-27,IND,TOR,22:30,10,0,7,True
2021-10-29,IND,BRK,31:50,9,2,9,True
2021-10-30,IND,TOR,35:48,10,4,11,True
2021-11-01,IND,SAS,24:17,19,0,8,True
2021-11-03,IND,NYK,28:55,25,2,13,True
2021-11-05,IND,POR,30:43,16,2,6,True
2021-11-07,IND,SAC,34:35,12,3,15,True
2021-11-10,IND,DEN,30:56,13,0,8,True
2021-11-11,IND,UTA,29:54,13,1,9,True
2021-11-13,IND,PHI,34:56,20,0,2,True
2021-11-15,IND,NYK,31:31,3,0,3,True
2021-11-17,IND,DET,30:51,6,0,4,True
2021-11-19,IND,CHO,19:06,4,1,4,True
2021-11-20,IND,NOP,25:33,11,1,9,True
2021-11-22,IND,CHI,25:41,12,1,10,True
2021-11-24,IND,LAL,35:42,12,2,6,True
2021-11-26,IND,TOR,31:19,17,1,10,True
2021-11-28,IND,MIL,22:38,2,1,8,True
2021-11-29,IND,MIN,N/A,N/A,N/A,N/A,False
2021-12-01,IND,ATL,34:07,17,0,9,True
2021-12-03,IND,MIA,34:19,20,1,4,True
2021-12-06,IND,WAS,29:46,5,1,7,True
2021-12-08,IND,NYK,32:27,22,0,4,True
2021-12-10,IND,DAL,36:42,17,0,10,True
2021-12-13,IND,GSW,35:36,6,1,10,True
2021-12-15,IND,MIL,30:02,13,3,5,True
2021-12-16,IND,DET,27:56,16,1,7,True
2021-12-21,IND,MIA,21:35,9,1,7,True
2021-12-23,IND,HOU,37:26,32,1,10,True
2021-12-26,IND,CHI,35:31,19,2,5,True
2021-12-29,IND,CHO,31:43,14,1,5,True
2021-12-31,IND,CHI,18:11,10,1,6,True
2022-01-02,IND,CLE,36:48,12,3,10,True
2022-01-04,IND,NYK,32:48,5,1,7,True
2022-01-05,IND,BRK,31:01,14,1,4,True
2022-01-08,IND,UTA,28:02,8,2,6,True
2022-01-10,IND,BOS,22:38,6,0,3,True
2022-01-12,IND,BOS,23:35,18,1,4,True
2022-01-14,IND,PHO,28:06,5,0,7,True
2022-01-17,IND,LAC,N/A,N/A,N/A,N/A,False
2022-01-19,IND,LAL,N/A,N/A,N/A,N/A,False
2022-01-20,IND,GSW,N/A,N/A,N/A,N/A,False
2022-01-22,IND,PHO,N/A,N/A,N/A,N/A,False
2022-01-24,IND,NOP,N/A,N/A,N/A,N/A,False
2022-01-26,IND,CHO,N/A,N/A,N/A,N/A,False
2022-01-28,IND,OKC,N/A,N/A,N/A,N/A,False
2022-01-29,IND,DAL,N/A,N/A,N/A,N/A,False
2022-01-31,IND,LAC,N/A,N/A,N/A,N/A,False
2022-02-02,IND,ORL,N/A,N/A,N/A,N/A,False
2022-02-04,IND,CHI,N/A,N/A,N/A,N/A,False
2022-02-06,IND,CLE,N/A,N/A,N/A,N/A,False
2022-02-08,IND,ATL,N/A,N/A,N/A,N/A,False
2022-02-11,IND,CLE,N/A,N/A,N/A,N/A,False
2022-02-13,IND,MIN,N/A,N/A,N/A,N/A,False
2022-02-15,IND,MIL,N/A,N/A,N/A,N/A,False
2022-02-16,IND,WAS,N/A,N/A,N/A,N/A,False
2022-02-25,IND,OKC,N/A,N/A,N/A,N/A,False
2022-02-27,IND,BOS,N/A,N/A,N/A,N/A,False
2022-02-28,IND,ORL,N/A,N/A,N/A,N/A,False
2022-03-02,IND,ORL,N/A,N/A,N/A,N/A,False
2022-03-04,IND,DET,N/A,N/A,N/A,N/A,False
2022-03-06,IND,WAS,N/A,N/A,N/A,N/A,False
2022-03-08,IND,CLE,N/A,N/A,N/A,N/A,False
2022-03-12,IND,SAS,N/A,N/A,N/A,N/A,False
2022-03-13,IND,ATL,N/A,N/A,N/A,N/A,False
2022-03-15,IND,MEM,N/A,N/A,N/A,N/A,False
2022-03-18,IND,HOU,N/A,N/A,N/A,N/A,False
2022-03-20,IND,POR,N/A,N/A,N/A,N/A,False
2022-03-23,IND,SAC,N/A,N/A,N/A,N/A,False
2022-03-24,IND,MEM,N/A,N/A,N/A,N/A,False
2022-03-26,IND,TOR,N/A,N/A,N/A,N/A,False
2022-03-28,IND,ATL,N/A,N/A,N/A,N/A,False
2022-03-30,IND,DEN,N/A,N/A,N/A,N/A,False
2022-04-01,IND,BOS,N/A,N/A,N/A,N/A,False
2022-04-03,IND,DET,N/A,N/A,N/A,N/A,False
2022-04-05,IND,PHI,N/A,N/A,N/A,N/A,False
2022-04-09,IND,PHI,N/A,N/A,N/A,N/A,False
2022-04-10,IND,BRK,N/A,N/A,N/A,N/A,False
