Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-21,MIA,MIL,12:27,7,2,2,False
2021-10-23,MIA,IND,24:33,2,3,3,True
2021-10-25,MIA,ORL,1:38,0,1,0,False
2021-10-27,MIA,BRK,0:51,0,0,0,False
2021-10-29,MIA,CHO,N/A,N/A,N/A,N/A,False
2021-10-30,MIA,MEM,4:59,0,2,0,False
2021-11-02,MIA,DAL,1:44,0,0,0,False
2021-11-04,MIA,BOS,3:44,0,3,2,False
2021-11-06,MIA,UTA,N/A,N/A,N/A,N/A,False
2021-11-08,MIA,DEN,2:43,2,0,1,False
2021-11-10,MIA,LAL,13:19,4,0,0,False
2021-11-11,MIA,LAC,23:24,4,6,0,False
2021-11-13,MIA,UTA,14:50,2,1,3,False
2021-11-15,MIA,OKC,19:54,5,3,4,False
2021-11-17,MIA,NOP,27:08,13,1,1,False
2021-11-18,MIA,WAS,25:15,18,3,2,False
2021-11-20,MIA,WAS,N/A,N/A,N/A,N/A,False
2021-11-23,MIA,DET,18:18,1,0,2,False
2021-11-24,MIA,MIN,17:44,14,2,3,False
2021-11-27,MIA,CHI,30:33,20,5,2,False
2021-11-29,MIA,DEN,29:15,14,3,1,False
2021-12-01,MIA,CLE,27:38,11,1,1,False
2021-12-03,MIA,IND,27:38,12,4,2,False
2021-12-04,MIA,MIL,28:49,11,5,1,False
2021-12-06,MIA,MEM,24:23,4,4,5,False
2021-12-08,MIA,MIL,15:17,3,3,1,False
2021-12-11,MIA,CHI,30:45,8,8,4,True
2021-12-13,MIA,CLE,33:40,10,4,3,True
2021-12-15,MIA,PHI,34:53,26,3,2,True
2021-12-17,MIA,ORL,36:14,27,4,2,True
2021-12-19,MIA,DET,31:25,8,5,3,True
2021-12-21,MIA,IND,32:15,13,2,3,True
2021-12-23,MIA,DET,33:26,15,7,4,True
2021-12-26,MIA,ORL,34:22,13,8,5,True
2021-12-28,MIA,WAS,34:47,9,1,5,True
2021-12-31,MIA,HOU,N/A,N/A,N/A,N/A,False
2022-01-02,MIA,SAC,N/A,N/A,N/A,N/A,False
2022-01-03,MIA,GSW,N/A,N/A,N/A,N/A,False
2022-01-05,MIA,POR,N/A,N/A,N/A,N/A,False
2022-01-08,MIA,PHO,N/A,N/A,N/A,N/A,False
2022-01-12,MIA,ATL,20:24,14,2,0,False
2022-01-14,MIA,ATL,6:04,0,0,0,False
2022-01-15,MIA,PHI,N/A,N/A,N/A,N/A,False
2022-01-17,MIA,TOR,26:38,15,0,0,True
2022-01-19,MIA,POR,36:52,11,7,2,True
2022-01-21,MIA,ATL,37:41,14,9,2,True
2022-01-23,MIA,LAL,31:59,11,6,1,True
2022-01-26,MIA,NYK,32:52,8,5,2,True
2022-01-28,MIA,LAC,32:56,23,3,4,True
2022-01-29,MIA,TOR,45:24,17,4,3,True
2022-01-31,MIA,BOS,28:58,10,9,3,True
2022-02-01,MIA,TOR,24:52,3,2,2,True
2022-02-03,MIA,SAS,24:48,8,3,3,False
2022-02-05,MIA,CHO,23:58,7,1,0,False
2022-02-07,MIA,WAS,28:07,16,8,4,False
2022-02-10,MIA,NOP,30:34,6,4,1,False
2022-02-12,MIA,BRK,24:10,11,1,3,False
2022-02-15,MIA,DAL,29:23,4,5,4,False
2022-02-17,MIA,CHO,18:31,4,5,1,False
2022-02-25,MIA,NYK,23:39,6,4,1,False
2022-02-26,MIA,SAS,27:56,12,3,2,False
2022-02-28,MIA,CHI,32:49,20,3,2,True
2022-03-02,MIA,MIL,31:39,21,6,3,True
2022-03-03,MIA,BRK,32:58,5,3,0,True
2022-03-05,MIA,PHI,29:17,16,2,1,True
2022-03-07,MIA,HOU,3:28,7,0,1,False
2022-03-09,MIA,PHO,29:41,5,2,1,True
2022-03-11,MIA,CLE,1:24,0,0,0,False
2022-03-12,MIA,MIN,25:22,2,3,1,True
2022-03-15,MIA,DET,13:06,0,0,3,False
2022-03-18,MIA,OKC,30:03,2,4,2,True
2022-03-21,MIA,PHI,N/A,N/A,N/A,N/A,False
2022-03-23,MIA,GSW,N/A,N/A,N/A,N/A,False
2022-03-25,MIA,NYK,N/A,N/A,N/A,N/A,False
2022-03-26,MIA,BRK,N/A,N/A,N/A,N/A,False
2022-03-28,MIA,SAC,19:31,5,2,0,False
2022-03-30,MIA,BOS,13:06,0,0,2,False
2022-04-02,MIA,CHI,20:38,13,3,1,False
2022-04-03,MIA,TOR,N/A,N/A,N/A,N/A,False
2022-04-05,MIA,CHO,22:55,2,5,1,True
2022-04-08,MIA,ATL,16:43,11,0,1,False
2022-04-10,MIA,ORL,12:29,6,2,2,False
