Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,POR,LAC,6:21,6,0,1,False
2023-10-27,POR,ORL,9:23,9,0,4,False
2023-10-29,POR,PHI,24:24,12,1,7,False
2023-10-30,POR,TOR,15:59,4,0,3,False
2023-11-01,POR,DET,9:56,1,0,2,False
2023-11-03,POR,MEM,9:16,0,0,4,False
2023-11-05,POR,MEM,16:15,5,1,5,False
2023-11-08,POR,SAC,14:41,2,1,2,False
2023-11-12,POR,LAL,17:34,8,1,4,False
2023-11-14,POR,UTA,21:27,12,0,8,False
2023-11-15,POR,CLE,22:51,12,1,3,False
2023-11-17,POR,LAL,18:10,7,1,5,False
2023-11-19,POR,OKC,22:23,13,2,7,False
2023-11-21,POR,PHO,14:08,8,0,3,False
2023-11-22,POR,UTA,27:57,19,2,10,False
2023-11-26,POR,MIL,15:48,4,0,3,False
2023-11-27,POR,IND,15:14,1,0,3,False
2023-11-30,POR,CLE,23:56,6,1,12,False
2023-12-02,POR,UTA,24:03,4,1,6,False
2023-12-06,POR,GSW,21:53,12,1,5,False
2023-12-08,POR,DAL,26:57,10,2,3,False
2023-12-11,POR,LAC,21:46,9,1,8,False
2023-12-14,POR,UTA,27:42,13,1,9,False
2023-12-16,POR,DAL,4:45,0,0,2,False
2023-12-17,POR,GSW,15:03,4,0,5,False
2023-12-19,POR,PHO,9:32,9,0,2,False
2023-12-21,POR,WAS,23:37,8,3,11,False
2023-12-23,POR,GSW,17:42,5,0,5,False
2023-12-26,POR,SAC,22:17,17,1,6,False
2023-12-28,POR,SAS,29:35,6,0,9,False
2023-12-29,POR,SAS,29:45,25,1,9,False
2024-01-01,POR,PHO,25:06,10,0,9,False
2024-01-03,POR,DAL,16:50,4,4,5,False
2024-01-05,POR,DAL,N/A,N/A,N/A,N/A,False
2024-01-07,POR,BRK,N/A,N/A,N/A,N/A,False
2024-01-09,POR,NYK,N/A,N/A,N/A,N/A,False
2024-01-11,POR,OKC,N/A,N/A,N/A,N/A,False
2024-01-12,POR,MIN,32:28,17,3,13,False
2024-01-14,POR,PHO,28:50,11,1,8,True
2024-01-17,POR,BRK,29:52,4,0,6,True
2024-01-19,POR,IND,41:07,13,3,12,True
2024-01-21,POR,LAL,22:21,12,0,7,True
2024-01-23,POR,OKC,33:47,14,0,13,True
2024-01-24,POR,HOU,23:46,9,1,7,True
2024-01-26,POR,SAS,36:51,3,2,9,True
2024-01-28,POR,CHI,24:18,7,0,6,True
2024-01-29,POR,PHI,30:49,8,0,12,True
2024-01-31,POR,MIL,16:27,8,2,5,True
2024-02-02,POR,DEN,21:15,7,0,8,True
2024-02-04,POR,DEN,29:31,4,0,7,True
2024-02-08,POR,DET,43:29,17,2,11,True
2024-02-10,POR,NOP,28:57,6,0,4,True
2024-02-13,POR,MIN,17:09,4,0,7,False
2024-02-15,POR,MIN,24:25,8,1,4,False
2024-02-23,POR,DEN,14:11,2,0,6,False
2024-02-25,POR,CHO,18:14,6,0,5,False
2024-02-27,POR,MIA,19:13,7,2,2,False
2024-03-01,POR,MEM,22:04,19,2,10,False
2024-03-02,POR,MEM,31:11,18,2,12,False
2024-03-04,POR,MIN,28:23,4,1,8,True
2024-03-06,POR,OKC,18:42,9,2,6,False
2024-03-08,POR,HOU,N/A,N/A,N/A,N/A,False
2024-03-09,POR,TOR,N/A,N/A,N/A,N/A,False
2024-03-11,POR,BOS,N/A,N/A,N/A,N/A,False
2024-03-13,POR,ATL,N/A,N/A,N/A,N/A,False
2024-03-14,POR,NYK,N/A,N/A,N/A,N/A,False
2024-03-16,POR,NOP,16:52,10,0,5,False
2024-03-18,POR,CHI,33:27,3,4,10,False
2024-03-20,POR,LAC,23:04,12,0,3,False
2024-03-22,POR,LAC,27:56,14,3,8,False
2024-03-23,POR,DEN,25:51,15,0,9,False
2024-03-25,POR,HOU,25:53,7,0,5,False
2024-03-27,POR,ATL,18:44,4,1,4,False
2024-03-29,POR,MIA,34:30,4,2,3,True
2024-04-01,POR,ORL,40:21,18,5,9,True
2024-04-03,POR,CHO,41:32,14,2,22,True
2024-04-05,POR,WAS,39:24,11,3,13,True
2024-04-07,POR,BOS,34:20,14,0,18,True
2024-04-09,POR,NOP,28:15,4,0,10,True
2024-04-11,POR,GSW,36:17,17,1,16,True
2024-04-12,POR,HOU,14:25,9,0,5,True
2024-04-14,POR,SAC,N/A,N/A,N/A,N/A,False
