Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-18,LAL,GSW,29:17,5,5,3,True
2022-10-20,LAL,LAC,36:34,26,3,3,True
2022-10-23,LAL,POR,32:25,15,1,4,True
2022-10-26,LAL,DEN,30:29,15,1,2,True
2022-10-28,LAL,MIN,24:09,6,3,3,True
2022-10-30,LAL,DEN,35:16,18,2,5,True
2022-11-02,LAL,NOP,40:22,28,1,3,True
2022-11-04,LAL,UTA,30:01,19,1,1,True
2022-11-06,LAL,CLE,19:25,6,1,1,True
2022-11-07,LAL,UTA,N/A,N/A,N/A,N/A,False
2022-11-09,LAL,LAC,N/A,N/A,N/A,N/A,False
2022-11-11,LAL,SAC,33:12,19,1,1,True
2022-11-13,LAL,BRK,30:22,25,0,1,True
2022-11-18,LAL,DET,34:04,17,3,1,True
2022-11-20,LAL,SAS,27:44,14,2,1,True
2022-11-22,LAL,PHO,38:01,24,2,0,True
2022-11-25,LAL,SAS,33:30,18,2,2,True
2022-11-26,LAL,SAS,38:47,19,2,5,True
2022-11-28,LAL,IND,21:57,9,2,4,True
2022-11-30,LAL,POR,N/A,N/A,N/A,N/A,False
2022-12-02,LAL,MIL,33:35,14,0,2,True
2022-12-04,LAL,WAS,24:50,20,1,2,True
2022-12-06,LAL,CLE,24:35,7,3,1,True
2022-12-07,LAL,TOR,25:32,12,0,3,True
2022-12-09,LAL,PHI,32:54,15,0,3,True
2022-12-11,LAL,DET,29:50,18,0,2,True
2022-12-13,LAL,BOS,23:28,7,0,3,True
2022-12-16,LAL,DEN,19:48,3,1,1,True
2022-12-18,LAL,WAS,34:26,21,1,3,True
2022-12-19,LAL,PHO,30:11,16,2,4,True
2022-12-21,LAL,SAC,36:25,19,1,5,True
2022-12-23,LAL,CHO,27:25,15,1,3,True
2022-12-25,LAL,DAL,28:39,9,0,0,True
2022-12-27,LAL,ORL,24:57,10,2,1,True
2022-12-28,LAL,MIA,20:52,0,1,2,True
2022-12-30,LAL,ATL,N/A,N/A,N/A,N/A,False
2023-01-02,LAL,CHO,N/A,N/A,N/A,N/A,False
2023-01-04,LAL,MIA,N/A,N/A,N/A,N/A,False
2023-01-06,LAL,ATL,N/A,N/A,N/A,N/A,False
2023-01-07,LAL,SAC,N/A,N/A,N/A,N/A,False
2023-01-09,LAL,DEN,N/A,N/A,N/A,N/A,False
2023-01-12,LAL,DAL,N/A,N/A,N/A,N/A,False
2023-01-15,LAL,PHI,N/A,N/A,N/A,N/A,False
2023-01-16,LAL,HOU,N/A,N/A,N/A,N/A,False
2023-01-18,LAL,SAC,N/A,N/A,N/A,N/A,False
2023-01-20,LAL,MEM,N/A,N/A,N/A,N/A,False
2023-01-22,LAL,POR,N/A,N/A,N/A,N/A,False
2023-01-24,LAL,LAC,N/A,N/A,N/A,N/A,False
2023-01-25,LAL,SAS,N/A,N/A,N/A,N/A,False
2023-01-28,LAL,BOS,17:57,13,1,3,False
2023-01-30,LAL,BRK,22:27,13,0,1,False
2023-01-31,LAL,NYK,13:22,2,0,1,False
2023-02-02,LAL,IND,17:59,6,0,1,False
2023-02-04,LAL,NOP,15:46,11,2,1,False
2023-02-07,LAL,OKC,18:54,8,3,1,False
2023-02-09,LAL,MIL,30:52,15,3,3,False
2023-02-11,LAL,GSW,14:40,4,2,0,False
2023-02-13,LAL,POR,14:41,8,0,3,False
2023-02-15,LAL,NOP,3:25,4,0,0,False
2023-02-23,LAL,GSW,8:06,10,1,0,False
2023-02-26,LAL,DAL,6:21,0,0,1,False
2023-02-28,LAL,MEM,22:30,21,1,4,False
2023-03-01,LAL,OKC,17:30,13,1,2,False
2023-03-03,LAL,MIN,26:10,10,1,5,False
2023-03-05,LAL,GSW,15:24,7,2,0,False
2023-03-07,LAL,MEM,16:23,6,1,2,False
2023-03-10,LAL,TOR,N/A,N/A,N/A,N/A,False
2023-03-12,LAL,NYK,N/A,N/A,N/A,N/A,False
2023-03-14,LAL,NOP,1:34,0,0,0,False
2023-03-15,LAL,HOU,11:18,4,0,0,False
2023-03-17,LAL,DAL,N/A,N/A,N/A,N/A,False
2023-03-19,LAL,ORL,N/A,N/A,N/A,N/A,False
2023-03-22,LAL,PHO,N/A,N/A,N/A,N/A,False
2023-03-24,LAL,OKC,23:41,20,0,4,False
2023-03-26,LAL,CHI,13:22,2,0,0,False
2023-03-29,LAL,CHI,1:18,0,0,0,False
2023-03-31,LAL,MIN,N/A,N/A,N/A,N/A,False
2023-04-02,LAL,HOU,3:53,5,1,1,False
2023-04-04,LAL,UTA,N/A,N/A,N/A,N/A,False
2023-04-05,LAL,LAC,N/A,N/A,N/A,N/A,False
2023-04-07,LAL,PHO,6:25,3,0,1,False
2023-04-09,LAL,UTA,N/A,N/A,N/A,N/A,False
