Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,OKC,CHI,19:02,13,1,2,False
2023-10-27,OKC,CLE,18:49,9,0,2,False
2023-10-29,OKC,DEN,21:56,7,1,3,False
2023-10-30,OKC,DET,21:53,4,2,4,False
2023-11-01,OKC,NOP,18:09,4,1,2,False
2023-11-03,OKC,GSW,36:19,13,1,2,True
2023-11-06,OKC,ATL,24:07,6,4,2,False
2023-11-08,OKC,CLE,23:48,14,2,3,False
2023-11-10,OKC,SAC,23:50,8,2,3,False
2023-11-12,OKC,PHO,16:36,0,1,0,False
2023-11-14,OKC,SAS,21:09,9,3,5,False
2023-11-16,OKC,GSW,25:35,10,4,2,False
2023-11-18,OKC,GSW,28:03,3,2,1,False
2023-11-19,OKC,POR,20:50,2,0,1,True
2023-11-22,OKC,CHI,23:38,5,0,3,True
2023-11-25,OKC,PHI,13:37,0,1,1,True
2023-11-28,OKC,MIN,16:40,10,0,0,False
2023-11-30,OKC,LAL,21:58,10,1,3,False
2023-12-02,OKC,DAL,20:17,15,0,6,False
2023-12-06,OKC,HOU,24:57,5,0,3,False
2023-12-08,OKC,GSW,23:54,10,0,1,False
2023-12-11,OKC,UTA,25:18,10,2,3,True
2023-12-14,OKC,SAC,18:57,3,4,0,False
2023-12-16,OKC,DEN,18:17,2,1,2,False
2023-12-18,OKC,MEM,16:49,7,2,2,False
2023-12-21,OKC,LAC,19:51,2,3,0,False
2023-12-23,OKC,LAL,24:11,5,4,3,True
2023-12-26,OKC,MIN,23:49,5,1,1,False
2023-12-27,OKC,NYK,21:52,4,0,1,False
2023-12-29,OKC,DEN,17:34,4,2,3,False
2023-12-31,OKC,BRK,22:31,10,1,3,False
2024-01-02,OKC,BOS,17:24,5,3,1,False
2024-01-03,OKC,ATL,19:55,15,2,1,False
2024-01-05,OKC,BRK,23:28,8,0,2,False
2024-01-08,OKC,WAS,24:00,5,2,2,False
2024-01-10,OKC,MIA,18:13,8,1,2,False
2024-01-11,OKC,POR,17:25,4,2,6,False
2024-01-13,OKC,ORL,19:45,1,0,3,False
2024-01-15,OKC,LAL,19:39,5,1,0,False
2024-01-16,OKC,LAC,14:55,5,1,2,False
2024-01-18,OKC,UTA,32:29,16,1,4,True
2024-01-20,OKC,MIN,12:33,0,0,3,False
2024-01-23,OKC,POR,12:11,3,0,4,False
2024-01-24,OKC,SAS,22:36,13,4,3,False
2024-01-26,OKC,NOP,20:40,12,1,2,False
2024-01-28,OKC,DET,21:16,4,1,4,False
2024-01-29,OKC,MIN,19:33,3,2,2,False
2024-01-31,OKC,DEN,20:10,5,1,2,False
2024-02-02,OKC,CHO,24:48,12,1,2,True
2024-02-04,OKC,TOR,18:03,8,2,1,True
2024-02-06,OKC,UTA,15:37,3,0,0,False
2024-02-10,OKC,DAL,25:27,15,0,2,False
2024-02-11,OKC,SAC,9:56,0,0,0,False
2024-02-13,OKC,ORL,15:59,8,1,2,False
2024-02-22,OKC,LAC,19:11,7,3,4,False
2024-02-23,OKC,WAS,22:00,13,1,5,False
2024-02-25,OKC,HOU,18:30,6,1,2,False
2024-02-27,OKC,HOU,14:16,2,1,2,False
2024-02-29,OKC,SAS,15:29,3,3,3,False
2024-03-03,OKC,PHO,17:42,5,1,2,False
2024-03-04,OKC,LAL,22:02,7,1,4,False
2024-03-06,OKC,POR,16:57,2,0,2,False
2024-03-08,OKC,MIA,14:13,3,1,0,False
2024-03-10,OKC,MEM,26:47,22,4,2,False
2024-03-12,OKC,IND,23:20,11,0,3,False
2024-03-14,OKC,DAL,18:07,3,3,2,False
2024-03-16,OKC,MEM,23:39,4,4,2,False
2024-03-20,OKC,UTA,22:28,5,2,4,False
2024-03-22,OKC,TOR,23:39,12,1,4,False
2024-03-24,OKC,MIL,24:22,5,0,2,False
2024-03-26,OKC,NOP,13:12,7,0,1,False
2024-03-27,OKC,HOU,24:31,4,1,2,True
2024-03-29,OKC,PHO,31:30,16,3,4,False
2024-03-31,OKC,NYK,15:35,6,0,2,False
2024-04-02,OKC,PHI,13:43,6,1,3,False
2024-04-03,OKC,BOS,28:15,12,5,1,True
2024-04-05,OKC,IND,20:46,2,1,1,False
2024-04-07,OKC,CHO,23:50,10,3,4,True
2024-04-09,OKC,SAC,18:24,3,2,2,False
2024-04-10,OKC,SAS,24:30,0,3,4,True
2024-04-12,OKC,MIL,19:14,6,2,1,False
2024-04-14,OKC,DAL,15:26,12,1,2,False
