Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,CHO,SAS,29:51,17,4,7,True
2022-10-21,CHO,NOP,29:21,10,2,3,True
2022-10-23,CHO,ATL,21:53,12,1,3,True
2022-10-26,CHO,NYK,37:50,17,1,5,True
2022-10-28,CHO,ORL,22:29,5,0,1,True
2022-10-29,CHO,GSW,40:07,31,1,7,True
2022-10-31,CHO,SAC,36:32,28,3,5,True
2022-11-02,CHO,CHI,31:22,8,3,7,True
2022-11-04,CHO,MEM,27:26,10,0,4,True
2022-11-05,CHO,BRK,34:01,18,2,3,True
2022-11-07,CHO,WAS,30:28,25,0,4,True
2022-11-09,CHO,POR,32:38,10,4,7,True
2022-11-10,CHO,MIA,34:45,9,0,5,True
2022-11-12,CHO,MIA,27:35,4,0,1,True
2022-11-14,CHO,ORL,36:13,14,5,6,True
2022-11-16,CHO,IND,36:05,24,4,4,True
2022-11-18,CHO,CLE,46:11,28,4,10,True
2022-11-20,CHO,WAS,34:18,13,1,5,True
2022-11-23,CHO,PHI,34:05,19,3,6,True
2022-11-25,CHO,MIN,20:02,16,0,3,True
2022-11-28,CHO,BOS,26:05,16,2,2,True
2022-12-02,CHO,WAS,37:43,21,5,3,True
2022-12-03,CHO,MIL,33:01,0,5,8,True
2022-12-05,CHO,LAC,34:15,26,4,4,True
2022-12-07,CHO,BRK,30:19,12,7,5,True
2022-12-09,CHO,NYK,22:03,10,1,5,True
2022-12-11,CHO,PHI,35:08,4,3,4,True
2022-12-14,CHO,DET,30:54,13,1,5,True
2022-12-16,CHO,ATL,N/A,N/A,N/A,N/A,False
2022-12-18,CHO,DEN,31:16,10,1,6,True
2022-12-19,CHO,SAC,29:03,3,2,9,True
2022-12-21,CHO,LAC,32:18,11,2,3,True
2022-12-23,CHO,LAL,31:03,24,4,5,True
2022-12-26,CHO,POR,32:32,22,1,6,True
2022-12-27,CHO,GSW,33:13,14,1,4,True
2022-12-29,CHO,OKC,31:29,25,3,5,True
2022-12-31,CHO,BRK,32:45,12,2,3,True
2023-01-02,CHO,LAL,35:25,12,4,5,True
2023-01-04,CHO,MEM,34:16,15,2,1,True
2023-01-06,CHO,MIL,28:05,23,2,2,True
2023-01-08,CHO,IND,36:18,22,3,5,True
2023-01-10,CHO,TOR,31:37,13,1,1,True
2023-01-12,CHO,TOR,35:02,11,1,6,True
2023-01-14,CHO,BOS,37:24,14,4,3,True
2023-01-16,CHO,BOS,36:53,17,3,4,True
2023-01-18,CHO,HOU,37:17,16,2,8,True
2023-01-21,CHO,ATL,37:25,23,5,6,True
2023-01-23,CHO,UTA,26:52,3,1,3,True
2023-01-24,CHO,PHO,32:42,9,2,2,True
2023-01-26,CHO,CHI,30:23,9,4,2,True
2023-01-29,CHO,MIA,35:32,27,5,6,True
2023-01-31,CHO,MIL,37:32,14,3,7,True
2023-02-02,CHO,CHI,38:44,6,2,4,True
2023-02-03,CHO,DET,37:10,7,3,2,True
2023-02-05,CHO,ORL,32:39,12,2,4,True
2023-02-08,CHO,WAS,36:02,20,4,5,True
2023-02-10,CHO,BOS,35:09,17,1,7,True
2023-02-11,CHO,DEN,33:11,22,1,4,True
2023-02-13,CHO,ATL,35:35,22,5,7,True
2023-02-15,CHO,SAS,32:26,22,1,10,True
2023-02-24,CHO,MIN,35:19,20,1,8,True
2023-02-25,CHO,MIA,N/A,N/A,N/A,N/A,False
2023-02-27,CHO,DET,N/A,N/A,N/A,N/A,False
2023-03-01,CHO,PHO,N/A,N/A,N/A,N/A,False
2023-03-03,CHO,ORL,N/A,N/A,N/A,N/A,False
2023-03-05,CHO,BRK,35:48,8,3,8,True
2023-03-07,CHO,NYK,29:57,13,2,7,True
2023-03-09,CHO,DET,27:53,20,1,5,True
2023-03-11,CHO,UTA,31:46,18,2,7,True
2023-03-12,CHO,CLE,32:11,19,1,5,True
2023-03-14,CHO,CLE,35:13,9,2,5,True
2023-03-17,CHO,PHI,30:34,12,1,6,True
2023-03-20,CHO,IND,36:11,10,3,2,True
2023-03-23,CHO,NOP,34:43,18,2,2,True
2023-03-24,CHO,DAL,29:48,28,3,6,True
2023-03-26,CHO,DAL,31:15,21,4,12,True
2023-03-28,CHO,OKC,37:27,43,5,6,True
2023-03-31,CHO,CHI,11:31,8,2,2,True
2023-04-02,CHO,TOR,N/A,N/A,N/A,N/A,False
2023-04-04,CHO,TOR,N/A,N/A,N/A,N/A,False
2023-04-07,CHO,HOU,N/A,N/A,N/A,N/A,False
2023-04-09,CHO,CLE,N/A,N/A,N/A,N/A,False
