Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,SAS,ORL,29:58,16,4,4,True
2021-10-22,SAS,DEN,36:44,16,8,2,True
2021-10-23,SAS,MIL,31:15,14,8,2,True
2021-10-26,SAS,LAL,31:45,7,6,5,True
2021-10-28,SAS,DAL,32:52,9,7,1,True
2021-10-30,SAS,MIL,33:27,17,4,2,True
2021-11-01,SAS,IND,26:32,13,7,2,True
2021-11-03,SAS,DAL,36:14,19,3,3,True
2021-11-05,SAS,ORL,33:11,12,4,10,True
2021-11-07,SAS,OKC,26:33,0,5,3,True
2021-11-10,SAS,SAC,29:41,2,6,4,True
2021-11-12,SAS,DAL,22:08,5,5,0,True
2021-11-14,SAS,LAL,29:20,10,5,3,True
2021-11-16,SAS,LAC,31:30,19,3,3,True
2021-11-18,SAS,MIN,22:54,4,4,2,True
2021-11-22,SAS,PHO,39:33,19,4,4,True
2021-11-24,SAS,ATL,29:59,7,3,2,True
2021-11-26,SAS,BOS,37:24,17,7,8,True
2021-11-29,SAS,WAS,32:59,24,5,5,True
2021-12-02,SAS,POR,30:06,12,5,7,True
2021-12-04,SAS,GSW,36:18,25,3,1,True
2021-12-06,SAS,PHO,25:32,12,4,3,True
2021-12-07,SAS,NYK,34:14,26,7,6,True
2021-12-09,SAS,DEN,35:10,23,4,6,True
2021-12-11,SAS,DEN,21:37,10,3,2,True
2021-12-12,SAS,NOP,34:22,24,9,8,True
2021-12-15,SAS,CHO,30:47,18,7,6,True
2021-12-17,SAS,UTA,32:50,22,3,2,True
2021-12-19,SAS,SAC,24:44,5,2,1,True
2021-12-20,SAS,LAC,30:17,15,4,4,True
2021-12-23,SAS,LAL,29:43,23,7,3,True
2021-12-26,SAS,DET,15:58,7,10,3,True
2021-12-27,SAS,UTA,35:15,21,8,2,True
2021-12-31,SAS,MEM,23:51,15,9,0,True
2022-01-01,SAS,DET,42:10,18,14,3,True
2022-01-04,SAS,TOR,22:00,12,3,4,True
2022-01-05,SAS,BOS,30:57,17,2,4,True
2022-01-07,SAS,PHI,N/A,N/A,N/A,N/A,False
2022-01-09,SAS,BRK,N/A,N/A,N/A,N/A,False
2022-01-10,SAS,NYK,N/A,N/A,N/A,N/A,False
2022-01-12,SAS,HOU,N/A,N/A,N/A,N/A,False
2022-01-14,SAS,CLE,N/A,N/A,N/A,N/A,False
2022-01-15,SAS,LAC,25:04,19,4,4,False
2022-01-17,SAS,PHO,29:53,14,7,0,True
2022-01-19,SAS,OKC,26:40,11,6,3,True
2022-01-21,SAS,BRK,33:45,17,7,6,True
2022-01-23,SAS,PHI,33:01,10,9,7,True
2022-01-25,SAS,HOU,23:15,5,6,2,True
2022-01-26,SAS,MEM,33:41,14,5,3,True
2022-01-28,SAS,CHI,32:47,14,9,4,True
2022-01-30,SAS,PHO,N/A,N/A,N/A,N/A,False
2022-02-01,SAS,GSW,35:00,16,7,3,True
2022-02-03,SAS,MIA,21:32,22,2,4,True
2022-02-04,SAS,HOU,28:56,12,7,3,True
2022-02-09,SAS,CLE,32:16,17,3,4,True
2022-02-11,BOS,DEN,28:26,15,2,6,False
2022-02-13,BOS,ATL,29:03,14,5,4,False
2022-02-15,BOS,PHI,27:30,11,2,1,False
2022-02-16,BOS,DET,36:17,9,6,6,True
2022-02-24,BOS,BRK,20:23,13,3,5,False
2022-02-26,BOS,DET,19:40,3,3,1,False
2022-02-27,BOS,IND,22:00,11,0,1,False
2022-03-01,BOS,ATL,27:48,18,5,2,False
2022-03-03,BOS,MEM,25:33,12,2,4,False
2022-03-06,BOS,BRK,19:49,6,0,3,False
2022-03-09,BOS,CHO,31:31,11,8,3,False
2022-03-11,BOS,DET,23:33,11,1,4,False
2022-03-13,BOS,DAL,22:15,5,1,4,False
2022-03-16,BOS,GSW,21:51,0,4,4,False
2022-03-18,BOS,SAC,30:39,7,5,2,False
2022-03-20,BOS,DEN,23:10,6,3,1,False
2022-03-21,BOS,OKC,34:28,18,5,5,True
2022-03-23,BOS,UTA,30:40,10,5,3,False
2022-03-27,BOS,MIN,30:14,15,6,2,False
2022-03-28,BOS,TOR,40:43,15,8,6,True
2022-03-30,BOS,MIA,31:54,9,3,2,False
2022-04-01,BOS,IND,30:03,13,3,2,False
2022-04-03,BOS,WAS,24:25,17,3,5,False
2022-04-06,BOS,CHI,23:02,10,3,1,False
2022-04-07,BOS,MIL,38:36,19,3,7,True
2022-04-10,BOS,MEM,19:32,8,3,4,False
