Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,MIA,ORL,34:41,25,4,11,True
2020-12-25,MIA,NOP,28:13,17,2,4,True
2020-12-29,MIA,MIL,25:01,12,4,6,True
2020-12-30,MIA,MIL,35:27,22,10,8,True
2021-01-01,MIA,DAL,36:29,19,2,11,True
2021-01-04,MIA,OKC,28:24,20,4,8,True
2021-01-06,MIA,BOS,33:45,15,10,8,True
2021-01-09,MIA,WAS,21:26,9,4,16,True
2021-01-12,MIA,PHI,N/A,N/A,N/A,N/A,False
2021-01-14,MIA,PHI,N/A,N/A,N/A,N/A,False
2021-01-16,MIA,DET,33:41,28,6,7,True
2021-01-18,MIA,DET,35:28,28,5,11,True
2021-01-20,MIA,TOR,33:35,14,7,13,True
2021-01-22,MIA,TOR,34:03,14,4,8,True
2021-01-23,MIA,BRK,37:52,41,9,5,True
2021-01-25,MIA,BRK,35:19,26,5,10,True
2021-01-27,MIA,DEN,33:31,15,6,7,True
2021-01-28,MIA,LAC,34:39,16,7,13,True
2021-01-30,MIA,SAC,35:47,18,4,13,True
2021-02-01,MIA,CHO,38:56,23,2,9,True
2021-02-03,MIA,WAS,34:55,17,6,11,True
2021-02-05,MIA,WAS,27:41,21,3,4,True
2021-02-07,MIA,NYK,38:44,24,5,11,True
2021-02-09,MIA,NYK,35:27,19,2,6,True
2021-02-11,MIA,HOU,33:32,10,8,13,True
2021-02-13,MIA,UTA,36:49,14,6,10,True
2021-02-15,MIA,LAC,35:54,27,7,12,True
2021-02-17,MIA,GSW,33:37,24,7,5,True
2021-02-18,MIA,SAC,35:32,16,10,12,True
2021-02-20,MIA,LAL,36:24,16,6,10,True
2021-02-22,MIA,OKC,37:05,19,5,13,True
2021-02-24,MIA,TOR,35:17,19,4,12,True
2021-02-26,MIA,UTA,34:13,19,7,11,True
2021-02-28,MIA,ATL,34:56,16,5,13,True
2021-03-02,MIA,ATL,32:58,11,3,2,True
2021-03-04,MIA,NOP,N/A,N/A,N/A,N/A,False
2021-03-11,MIA,ORL,N/A,N/A,N/A,N/A,False
2021-03-12,MIA,CHI,N/A,N/A,N/A,N/A,False
2021-03-14,MIA,ORL,N/A,N/A,N/A,N/A,False
2021-03-16,MIA,CLE,29:43,14,6,9,True
2021-03-17,MIA,MEM,35:14,15,6,12,True
2021-03-19,MIA,IND,26:19,20,5,8,True
2021-03-21,MIA,IND,36:20,29,2,10,True
2021-03-23,MIA,PHO,32:24,16,6,8,True
2021-03-25,MIA,POR,31:56,29,7,9,True
2021-03-26,MIA,CHO,35:00,17,2,8,True
2021-03-29,MIA,NYK,37:29,20,4,17,True
2021-03-31,MIA,IND,34:53,16,7,8,True
2021-04-01,MIA,GSW,30:28,19,6,8,True
2021-04-03,MIA,CLE,30:31,18,5,11,True
2021-04-06,MIA,MEM,33:20,18,10,10,True
2021-04-08,MIA,LAL,28:16,13,4,7,True
2021-04-11,MIA,POR,34:49,22,2,3,True
2021-04-13,MIA,PHO,33:08,11,5,10,True
2021-04-14,MIA,DEN,30:20,21,2,6,True
2021-04-16,MIA,MIN,33:16,17,4,4,True
2021-04-18,MIA,BRK,32:39,21,5,15,True
2021-04-19,MIA,HOU,N/A,N/A,N/A,N/A,False
2021-04-21,MIA,SAS,31:22,23,5,8,True
2021-04-23,MIA,ATL,36:25,16,5,3,True
2021-04-24,MIA,CHI,35:04,20,10,6,True
2021-04-26,MIA,CHI,36:53,23,2,6,True
2021-04-28,MIA,SAS,32:05,21,2,11,True
2021-05-01,MIA,CLE,33:00,13,6,10,True
2021-05-02,MIA,CHO,33:32,20,10,7,True
2021-05-04,MIA,DAL,30:22,11,11,9,True
2021-05-07,MIA,MIN,32:46,15,4,4,True
2021-05-09,MIA,BOS,33:15,20,3,6,True
2021-05-11,MIA,BOS,34:34,22,5,7,True
2021-05-13,MIA,PHI,34:36,18,8,12,True
2021-05-15,MIA,MIL,33:13,5,8,8,True
2021-05-16,MIA,DET,N/A,N/A,N/A,N/A,False
