Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,BRK,DET,30:09,17,0,10,True
2018-10-19,BRK,NYK,33:32,15,0,11,True
2018-10-20,BRK,IND,21:34,8,0,3,True
2018-10-24,BRK,CLE,27:09,10,3,8,True
2018-10-26,BRK,NOP,27:54,7,4,9,True
2018-10-28,BRK,GSW,28:51,11,4,3,True
2018-10-29,BRK,NYK,20:29,7,3,6,True
2018-10-31,BRK,DET,21:34,14,1,9,True
2018-11-02,BRK,HOU,26:52,10,0,8,True
2018-11-04,BRK,PHI,26:50,15,0,10,True
2018-11-06,BRK,PHO,24:20,10,5,9,True
2018-11-09,BRK,DEN,30:38,18,2,9,True
2018-11-10,BRK,GSW,22:42,6,1,7,True
2018-11-12,BRK,MIN,N/A,N/A,N/A,N/A,False
2018-11-14,BRK,MIA,N/A,N/A,N/A,N/A,False
2018-11-16,BRK,WAS,31:48,16,0,12,True
2018-11-17,BRK,LAC,28:17,24,2,11,True
2018-11-20,BRK,MIA,30:22,13,2,14,True
2018-11-21,BRK,DAL,26:12,6,1,6,True
2018-11-23,BRK,MIN,26:02,12,1,4,True
2018-11-25,BRK,PHI,35:35,17,0,10,True
2018-11-28,BRK,UTA,29:10,14,1,10,True
2018-11-30,BRK,MEM,38:37,15,5,12,True
2018-12-01,BRK,WAS,25:28,6,0,8,True
2018-12-03,BRK,CLE,32:24,9,1,3,True
2018-12-05,BRK,OKC,27:56,15,4,8,True
2018-12-07,BRK,TOR,32:22,12,2,10,True
2018-12-08,BRK,NYK,26:15,14,0,12,True
2018-12-12,BRK,PHI,16:22,8,2,5,True
2018-12-14,BRK,WAS,28:11,12,2,5,True
2018-12-16,BRK,ATL,14:35,11,0,4,True
2018-12-18,BRK,LAL,20:27,6,1,8,True
2018-12-19,BRK,CHI,30:52,16,3,12,True
2018-12-21,BRK,IND,29:26,10,2,5,True
2018-12-23,BRK,PHO,23:46,11,2,9,True
2018-12-26,BRK,CHO,23:43,7,1,9,True
2018-12-28,BRK,CHO,17:04,8,0,10,True
2018-12-29,BRK,MIL,20:42,8,1,4,True
2019-01-02,BRK,NOP,31:26,10,0,11,True
2019-01-04,BRK,MEM,26:06,12,0,12,True
2019-01-06,BRK,CHI,23:31,19,0,6,True
2019-01-07,BRK,BOS,23:59,6,2,8,True
2019-01-09,BRK,ATL,25:28,11,1,5,True
2019-01-11,BRK,TOR,22:20,9,0,12,True
2019-01-14,BRK,BOS,33:02,19,2,12,True
2019-01-16,BRK,HOU,43:03,20,2,24,True
2019-01-18,BRK,ORL,25:33,6,2,10,True
2019-01-21,BRK,SAC,23:12,8,1,12,True
2019-01-23,BRK,ORL,28:59,6,2,11,True
2019-01-25,BRK,NYK,19:52,2,0,6,True
2019-01-28,BRK,BOS,22:29,6,1,10,True
2019-01-29,BRK,CHI,29:10,7,3,8,True
2019-01-31,BRK,SAS,28:17,14,4,3,True
2019-02-02,BRK,ORL,25:47,6,4,8,True
2019-02-04,BRK,MIL,23:56,8,1,11,True
2019-02-06,BRK,DEN,23:31,15,1,5,True
2019-02-08,BRK,CHI,29:12,12,0,10,True
2019-02-11,BRK,TOR,29:15,15,2,3,True
2019-02-13,BRK,CLE,41:47,10,3,12,True
2019-02-21,BRK,POR,22:43,12,1,11,True
2019-02-23,BRK,CHO,31:28,11,2,11,True
2019-02-25,BRK,SAS,26:49,9,0,8,True
2019-02-27,BRK,WAS,22:26,12,0,6,True
2019-03-01,BRK,CHO,23:00,10,2,2,True
2019-03-02,BRK,MIA,18:02,6,0,3,True
2019-03-04,BRK,DAL,20:56,8,0,4,True
2019-03-06,BRK,CLE,26:53,15,3,11,True
2019-03-09,BRK,ATL,29:42,20,2,12,True
2019-03-11,BRK,DET,25:05,11,1,8,True
2019-03-13,BRK,OKC,30:28,8,1,5,True
2019-03-16,BRK,UTA,20:36,4,1,5,True
2019-03-17,BRK,LAC,29:38,13,0,11,True
2019-03-19,BRK,SAC,21:07,13,0,7,True
2019-03-22,BRK,LAL,27:54,13,0,11,True
2019-03-25,BRK,POR,25:42,10,2,8,True
2019-03-28,BRK,PHI,8:44,4,1,4,True
2019-03-30,BRK,BOS,29:50,10,3,7,True
2019-04-01,BRK,MIL,27:24,10,2,9,True
2019-04-03,BRK,TOR,27:03,12,0,9,True
2019-04-06,BRK,MIL,12:22,10,0,7,True
2019-04-07,BRK,IND,28:10,12,0,7,True
2019-04-10,BRK,MIA,21:55,1,2,14,True
