Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,MEM,MIA,20:50,4,0,8,False
2019-10-25,MEM,CHI,20:12,9,5,5,False
2019-10-27,MEM,BRK,23:41,13,1,4,False
2019-10-29,MEM,LAL,16:55,2,2,3,False
2019-11-02,MEM,PHO,19:33,8,2,4,False
2019-11-04,MEM,HOU,24:52,10,1,5,False
2019-11-06,MEM,MIN,18:57,7,4,3,False
2019-11-08,MEM,ORL,20:35,4,3,1,False
2019-11-09,MEM,DAL,26:28,12,3,5,False
2019-11-11,MEM,SAS,17:51,3,2,3,False
2019-11-13,MEM,CHO,17:24,5,4,7,False
2019-11-15,MEM,UTA,22:59,13,2,7,False
2019-11-17,MEM,DEN,23:15,7,4,4,False
2019-11-19,MEM,GSW,20:47,2,4,5,False
2019-11-23,MEM,LAL,24:38,11,4,6,False
2019-11-25,MEM,IND,15:08,4,1,3,False
2019-11-27,MEM,LAC,N/A,N/A,N/A,N/A,False
2019-11-29,MEM,UTA,14:21,0,2,2,False
2019-12-01,MEM,MIN,N/A,N/A,N/A,N/A,False
2019-12-02,MEM,IND,N/A,N/A,N/A,N/A,False
2019-12-04,MEM,CHI,N/A,N/A,N/A,N/A,False
2019-12-07,MEM,UTA,N/A,N/A,N/A,N/A,False
2019-12-09,MEM,GSW,N/A,N/A,N/A,N/A,False
2019-12-11,MEM,PHO,12:31,3,0,5,False
2019-12-13,MEM,MIL,18:31,5,1,6,False
2019-12-14,MEM,WAS,25:44,2,5,5,True
2019-12-16,MEM,MIA,14:03,3,1,3,False
2019-12-18,MEM,OKC,15:10,9,1,6,False
2019-12-20,MEM,CLE,6:45,3,1,1,False
2019-12-21,MEM,SAC,13:38,2,3,2,False
2019-12-23,MEM,SAS,9:12,0,0,0,False
2019-12-26,MEM,OKC,12:12,2,7,6,False
2019-12-28,MEM,DEN,12:42,3,2,4,False
2019-12-29,MEM,CHO,22:23,6,2,9,True
2020-01-02,MEM,SAC,9:21,2,2,3,False
2020-01-04,MEM,LAC,7:02,0,0,2,False
2020-01-05,MEM,PHO,13:31,4,2,1,False
2020-01-07,MEM,MIN,13:46,2,2,1,False
2020-01-10,MEM,SAS,11:54,7,0,1,False
2020-01-12,MEM,GSW,13:25,2,3,1,False
2020-01-14,MEM,HOU,17:26,0,0,4,True
2020-01-17,MEM,CLE,5:21,2,0,1,False
2020-01-20,MEM,NOP,14:06,6,1,4,False
2020-01-22,MEM,BOS,14:18,10,2,0,False
2020-01-24,MEM,DET,13:41,6,2,3,False
2020-01-26,MEM,PHO,28:43,6,2,12,True
2020-01-28,MEM,DEN,27:19,4,3,4,True
2020-01-29,MEM,NYK,17:00,2,2,4,False
2020-01-31,MEM,NOP,23:46,14,3,6,False
2020-02-03,MEM,DET,15:04,2,0,2,False
2020-02-05,MEM,DAL,26:00,6,6,5,True
2020-02-07,MEM,PHI,28:28,6,3,9,True
2020-02-09,MEM,WAS,29:48,16,2,5,True
2020-02-12,MEM,POR,26:23,6,1,9,True
2020-02-20,MEM,SAC,22:48,12,2,5,True
2020-02-21,MEM,LAL,22:17,7,3,6,True
2020-02-24,MEM,LAC,21:30,6,2,8,True
2020-02-26,MEM,HOU,18:22,7,4,7,True
2020-02-28,MEM,SAC,33:13,4,3,3,True
2020-02-29,MEM,LAL,31:27,8,3,3,True
2020-03-02,MEM,ATL,20:43,3,2,7,True
2020-03-04,MEM,BRK,21:35,12,0,5,True
2020-03-06,MEM,DAL,24:41,6,3,6,True
2020-03-07,MEM,ATL,29:29,12,5,4,True
2020-03-10,MEM,ORL,26:27,3,2,4,True
2020-07-31,MEM,POR,17:46,4,1,2,True
2020-08-02,MEM,SAS,24:46,8,8,2,True
2020-08-03,MEM,NOP,28:43,5,3,5,True
2020-08-05,MEM,UTA,30:08,12,4,3,True
2020-08-07,MEM,OKC,24:44,7,4,3,True
2020-08-09,MEM,TOR,11:44,3,2,3,True
2020-08-11,MEM,BOS,22:58,6,2,7,True
2020-08-13,MEM,MIL,28:53,10,6,3,True
