Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,MIL,BOS,N/A,N/A,N/A,N/A,False
2020-12-25,MIL,GSW,9:46,4,1,0,False
2020-12-27,MIL,NYK,4:59,0,0,2,False
2020-12-29,MIL,MIA,20:00,5,4,5,False
2020-12-30,MIL,MIA,10:47,4,0,2,False
2021-01-01,MIL,CHI,15:07,0,2,1,False
2021-01-04,MIL,DET,5:20,2,0,0,False
2021-01-06,MIL,DET,12:05,8,1,2,False
2021-01-08,MIL,UTA,13:20,2,0,5,False
2021-01-09,MIL,CLE,12:24,0,2,2,False
2021-01-11,MIL,ORL,10:35,2,2,5,False
2021-01-13,MIL,DET,4:12,0,0,0,False
2021-01-15,MIL,DAL,4:23,5,0,0,False
2021-01-18,MIL,BRK,N/A,N/A,N/A,N/A,False
2021-01-21,MIL,LAL,6:51,2,0,1,False
2021-01-24,MIL,ATL,N/A,N/A,N/A,N/A,False
2021-01-27,MIL,TOR,N/A,N/A,N/A,N/A,False
2021-01-29,MIL,NOP,N/A,N/A,N/A,N/A,False
2021-01-30,MIL,CHO,N/A,N/A,N/A,N/A,False
2021-02-01,MIL,POR,5:56,2,1,6,False
2021-02-03,MIL,IND,8:28,2,2,0,False
2021-02-05,MIL,CLE,N/A,N/A,N/A,N/A,False
2021-02-06,MIL,CLE,4:03,2,0,0,False
2021-02-08,MIL,DEN,N/A,N/A,N/A,N/A,False
2021-02-10,MIL,PHO,N/A,N/A,N/A,N/A,False
2021-02-12,MIL,UTA,0:43,0,0,0,False
2021-02-14,MIL,OKC,N/A,N/A,N/A,N/A,False
2021-02-16,MIL,TOR,0:11,0,0,0,False
2021-02-18,MIL,TOR,7:41,5,0,3,False
2021-02-19,MIL,OKC,14:32,3,0,5,False
2021-02-21,MIL,SAC,12:39,2,0,4,False
2021-02-23,MIL,MIN,18:35,6,2,8,False
2021-02-25,MIL,NOP,7:30,0,0,1,False
2021-02-28,MIL,LAC,4:56,0,0,1,False
2021-03-02,MIL,DEN,4:56,0,1,0,False
2021-03-04,MIL,MEM,6:49,4,0,2,False
2021-03-11,MIL,NYK,12:23,4,0,1,False
2021-03-13,MIL,WAS,1:46,0,0,1,False
2021-03-15,MIL,WAS,N/A,N/A,N/A,N/A,False
2021-03-17,MIL,PHI,4:09,0,0,0,False
2021-03-20,MIL,SAS,N/A,N/A,N/A,N/A,False
2021-03-22,MIL,IND,14:03,3,2,3,False
2021-03-24,MIL,BOS,2:00,2,0,1,False
2021-03-26,MIL,BOS,17:45,12,3,5,False
2021-03-27,MIL,NYK,36:54,23,5,10,True
2021-03-29,MIL,LAC,18:45,7,0,1,False
2021-03-31,MIL,LAL,12:28,8,0,1,False
2021-04-02,MIL,POR,7:38,0,0,2,False
2021-04-03,MIL,SAC,8:27,2,0,4,False
2021-04-06,MIL,GSW,19:43,10,1,5,False
2021-04-08,MIL,DAL,17:54,2,1,4,False
2021-04-09,MIL,CHO,26:46,12,3,4,True
2021-04-11,MIL,ORL,20:40,7,1,5,False
2021-04-14,MIL,MIN,22:23,1,3,6,False
2021-04-15,MIL,ATL,3:37,0,0,1,False
2021-04-17,MIL,MEM,3:02,0,0,2,False
2021-04-19,MIL,PHO,1:02,0,0,0,False
2021-04-22,MIL,PHI,1:06,0,0,0,False
2021-04-24,MIL,PHI,10:33,4,5,6,False
2021-04-25,MIL,ATL,4:10,0,0,1,False
2021-04-27,MIL,CHO,1:12,0,0,1,False
2021-04-29,MIL,HOU,2:27,0,0,0,False
2021-04-30,MIL,CHI,13:03,3,1,3,False
2021-05-02,MIL,BRK,N/A,N/A,N/A,N/A,False
2021-05-04,MIL,BRK,0:04,0,0,0,False
2021-05-05,MIL,WAS,15:31,3,1,1,False
2021-05-07,MIL,HOU,N/A,N/A,N/A,N/A,False
2021-05-10,MIL,SAS,7:00,3,0,0,False
2021-05-11,MIL,ORL,0:47,0,0,0,False
2021-05-13,MIL,IND,N/A,N/A,N/A,N/A,False
2021-05-15,MIL,MIA,1:46,0,1,0,False
2021-05-16,MIL,CHI,15:02,0,1,1,True
