Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,SAC,DEN,27:21,13,0,10,True
2020-12-26,SAC,PHO,20:42,13,1,11,True
2020-12-27,SAC,PHO,27:28,11,1,8,True
2020-12-29,SAC,DEN,23:12,18,1,2,True
2020-12-31,SAC,HOU,25:54,4,1,8,True
2021-01-02,SAC,HOU,25:11,12,2,9,True
2021-01-04,SAC,GSW,24:05,5,0,9,True
2021-01-06,SAC,CHI,29:04,21,0,12,True
2021-01-08,SAC,TOR,29:16,15,2,4,True
2021-01-09,SAC,POR,24:19,15,0,8,True
2021-01-11,SAC,IND,23:29,8,2,7,True
2021-01-13,SAC,POR,19:08,11,1,6,True
2021-01-15,SAC,LAC,31:06,20,2,5,True
2021-01-17,SAC,NOP,36:14,26,0,10,True
2021-01-20,SAC,LAC,29:14,10,1,8,True
2021-01-22,SAC,NYK,30:56,10,0,11,True
2021-01-27,SAC,ORL,21:51,16,2,12,True
2021-01-29,SAC,TOR,19:48,7,1,5,True
2021-01-30,SAC,MIA,25:46,17,1,4,True
2021-02-01,SAC,NOP,21:36,10,1,4,True
2021-02-03,SAC,BOS,19:11,9,0,6,True
2021-02-06,SAC,DEN,17:43,3,1,2,True
2021-02-07,SAC,LAC,20:54,9,1,10,True
2021-02-09,SAC,PHI,28:35,17,1,6,True
2021-02-12,SAC,ORL,N/A,N/A,N/A,N/A,False
2021-02-14,SAC,MEM,N/A,N/A,N/A,N/A,False
2021-02-15,SAC,BRK,21:04,19,0,7,True
2021-02-18,SAC,MIA,24:20,19,2,10,True
2021-02-20,SAC,CHI,35:16,26,2,11,True
2021-02-21,SAC,MIL,28:56,12,2,6,True
2021-02-23,SAC,BRK,30:13,12,0,10,True
2021-02-25,SAC,NYK,22:39,19,0,5,True
2021-02-26,SAC,DET,27:39,19,1,8,True
2021-02-28,SAC,CHO,34:56,24,1,10,True
2021-03-03,SAC,LAL,29:01,14,0,5,True
2021-03-04,SAC,POR,31:47,14,3,9,True
2021-03-11,SAC,HOU,23:29,11,1,7,True
2021-03-13,SAC,ATL,23:48,12,1,7,True
2021-03-15,SAC,CHO,15:55,12,0,3,True
2021-03-17,SAC,WAS,N/A,N/A,N/A,N/A,False
2021-03-19,SAC,BOS,N/A,N/A,N/A,N/A,False
2021-03-20,SAC,PHI,N/A,N/A,N/A,N/A,False
2021-03-22,SAC,CLE,N/A,N/A,N/A,N/A,False
2021-03-24,SAC,ATL,N/A,N/A,N/A,N/A,False
2021-03-25,SAC,GSW,N/A,N/A,N/A,N/A,False
2021-03-27,SAC,CLE,N/A,N/A,N/A,N/A,False
2021-03-29,SAC,SAS,N/A,N/A,N/A,N/A,False
2021-03-31,SAC,SAS,N/A,N/A,N/A,N/A,False
2021-04-02,SAC,LAL,N/A,N/A,N/A,N/A,False
2021-04-03,SAC,MIL,N/A,N/A,N/A,N/A,False
2021-04-05,SAC,MIN,N/A,N/A,N/A,N/A,False
2021-04-08,SAC,DET,N/A,N/A,N/A,N/A,False
2021-04-10,SAC,UTA,N/A,N/A,N/A,N/A,False
2021-04-12,SAC,NOP,N/A,N/A,N/A,N/A,False
2021-04-14,SAC,WAS,N/A,N/A,N/A,N/A,False
2021-04-15,SAC,PHO,N/A,N/A,N/A,N/A,False
2021-04-18,SAC,DAL,N/A,N/A,N/A,N/A,False
2021-04-20,SAC,MIN,N/A,N/A,N/A,N/A,False
2021-04-21,SAC,MIN,N/A,N/A,N/A,N/A,False
2021-04-25,SAC,GSW,N/A,N/A,N/A,N/A,False
2021-04-26,SAC,DAL,N/A,N/A,N/A,N/A,False
2021-04-28,SAC,UTA,N/A,N/A,N/A,N/A,False
2021-04-30,SAC,LAL,20:44,11,1,4,False
2021-05-02,SAC,DAL,34:03,23,3,9,True
2021-05-04,SAC,OKC,30:53,13,1,7,True
2021-05-05,SAC,IND,34:57,31,0,12,True
2021-05-07,SAC,SAS,18:53,4,1,2,True
2021-05-09,SAC,OKC,21:15,13,2,9,True
2021-05-11,SAC,OKC,N/A,N/A,N/A,N/A,False
2021-05-13,SAC,MEM,N/A,N/A,N/A,N/A,False
2021-05-14,SAC,MEM,N/A,N/A,N/A,N/A,False
2021-05-16,SAC,UTA,N/A,N/A,N/A,N/A,False
