Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,ORL,MIA,24:58,13,0,7,False
2018-10-19,ORL,CHO,18:37,0,2,5,False
2018-10-20,ORL,PHI,14:10,5,2,1,False
2018-10-22,ORL,BOS,19:14,0,1,5,False
2018-10-25,ORL,POR,20:05,8,2,7,False
2018-10-27,ORL,MIL,22:52,7,0,6,False
2018-10-30,ORL,SAC,24:26,7,1,7,False
2018-11-02,ORL,LAC,19:58,7,3,5,False
2018-11-04,ORL,SAS,15:32,12,1,11,False
2018-11-05,ORL,CLE,21:03,6,1,6,False
2018-11-07,ORL,DET,13:34,2,0,2,False
2018-11-09,ORL,WAS,17:22,15,3,2,False
2018-11-11,ORL,NYK,17:39,15,0,8,False
2018-11-12,ORL,WAS,11:07,0,1,0,False
2018-11-14,ORL,PHI,8:41,4,0,4,False
2018-11-17,ORL,LAL,14:54,8,1,1,False
2018-11-18,ORL,NYK,16:23,4,2,2,False
2018-11-20,ORL,TOR,14:25,7,1,5,False
2018-11-23,ORL,DEN,14:46,7,2,2,False
2018-11-25,ORL,LAL,11:59,5,0,4,False
2018-11-26,ORL,GSW,15:25,11,1,6,False
2018-11-28,ORL,POR,19:06,8,0,3,False
2018-11-30,ORL,PHO,16:06,2,1,5,False
2018-12-04,ORL,MIA,14:58,4,0,2,False
2018-12-05,ORL,DEN,15:59,11,2,6,False
2018-12-07,ORL,IND,18:14,4,1,7,False
2018-12-10,ORL,DAL,N/A,N/A,N/A,N/A,False
2018-12-13,ORL,CHI,15:13,8,2,6,False
2018-12-15,ORL,UTA,17:40,9,2,4,False
2018-12-19,ORL,SAS,25:40,7,2,8,True
2018-12-21,ORL,CHI,10:57,1,0,2,False
2018-12-23,ORL,MIA,14:47,7,1,5,False
2018-12-26,ORL,PHO,13:56,2,0,5,False
2018-12-28,ORL,TOR,11:16,7,0,4,False
2018-12-30,ORL,DET,13:44,4,0,6,False
2018-12-31,ORL,CHO,18:16,5,0,12,False
2019-01-02,ORL,CHI,19:30,10,0,5,False
2019-01-04,ORL,MIN,16:58,5,0,3,False
2019-01-06,ORL,LAC,13:59,8,0,10,False
2019-01-07,ORL,SAC,12:47,0,0,5,False
2019-01-09,ORL,UTA,N/A,N/A,N/A,N/A,False
2019-01-12,ORL,BOS,N/A,N/A,N/A,N/A,False
2019-01-13,ORL,HOU,N/A,N/A,N/A,N/A,False
2019-01-16,ORL,DET,N/A,N/A,N/A,N/A,False
2019-01-18,ORL,BRK,15:14,9,1,4,False
2019-01-19,ORL,MIL,18:12,5,1,6,False
2019-01-21,ORL,ATL,13:28,8,0,2,False
2019-01-23,ORL,BRK,14:49,7,0,6,False
2019-01-25,ORL,WAS,16:34,6,2,9,False
2019-01-27,ORL,HOU,14:14,0,0,0,False
2019-01-29,ORL,OKC,14:01,9,0,6,False
2019-01-31,ORL,IND,13:21,3,0,6,False
2019-02-02,ORL,BRK,N/A,N/A,N/A,N/A,False
2019-02-05,ORL,OKC,N/A,N/A,N/A,N/A,False
2019-02-07,ORL,MIN,N/A,N/A,N/A,N/A,False
2019-02-09,ORL,MIL,N/A,N/A,N/A,N/A,False
2019-02-10,ORL,ATL,N/A,N/A,N/A,N/A,False
2019-02-12,ORL,NOP,N/A,N/A,N/A,N/A,False
2019-02-14,ORL,CHO,N/A,N/A,N/A,N/A,False
2019-02-22,ORL,CHI,N/A,N/A,N/A,N/A,False
2019-02-24,ORL,TOR,N/A,N/A,N/A,N/A,False
2019-02-26,ORL,NYK,N/A,N/A,N/A,N/A,False
2019-02-28,ORL,GSW,N/A,N/A,N/A,N/A,False
2019-03-02,ORL,IND,N/A,N/A,N/A,N/A,False
2019-03-03,ORL,CLE,N/A,N/A,N/A,N/A,False
2019-03-05,ORL,PHI,N/A,N/A,N/A,N/A,False
2019-03-08,ORL,DAL,N/A,N/A,N/A,N/A,False
2019-03-10,ORL,MEM,N/A,N/A,N/A,N/A,False
2019-03-13,ORL,WAS,N/A,N/A,N/A,N/A,False
2019-03-14,ORL,CLE,N/A,N/A,N/A,N/A,False
2019-03-17,ORL,ATL,N/A,N/A,N/A,N/A,False
2019-03-20,ORL,NOP,N/A,N/A,N/A,N/A,False
2019-03-22,ORL,MEM,N/A,N/A,N/A,N/A,False
2019-03-25,ORL,PHI,N/A,N/A,N/A,N/A,False
2019-03-26,ORL,MIA,N/A,N/A,N/A,N/A,False
2019-03-28,ORL,DET,N/A,N/A,N/A,N/A,False
2019-03-30,ORL,IND,N/A,N/A,N/A,N/A,False
2019-04-01,ORL,TOR,N/A,N/A,N/A,N/A,False
2019-04-03,ORL,NYK,N/A,N/A,N/A,N/A,False
2019-04-05,ORL,ATL,N/A,N/A,N/A,N/A,False
2019-04-07,ORL,BOS,N/A,N/A,N/A,N/A,False
2019-04-10,ORL,CHO,N/A,N/A,N/A,N/A,False
