Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,SAC,PHO,30:10,12,1,6,True
2019-10-25,SAC,POR,33:29,13,1,5,True
2019-10-26,SAC,UTA,21:56,7,1,3,True
2019-10-28,SAC,DEN,32:20,12,0,8,True
2019-10-30,SAC,CHO,40:28,22,1,7,True
2019-11-01,SAC,UTA,31:29,13,3,6,True
2019-11-03,SAC,NYK,39:35,19,1,4,True
2019-11-06,SAC,TOR,38:32,26,3,4,True
2019-11-08,SAC,ATL,35:45,16,4,4,True
2019-11-12,SAC,POR,32:03,16,2,4,True
2019-11-15,SAC,LAL,37:24,9,6,8,True
2019-11-17,SAC,BOS,33:24,13,3,3,True
2019-11-19,SAC,PHO,37:10,15,2,2,True
2019-11-22,SAC,BRK,32:45,18,0,5,True
2019-11-24,SAC,WAS,34:57,26,1,4,True
2019-11-25,SAC,BOS,34:44,20,1,3,True
2019-11-27,SAC,PHI,39:26,14,6,9,True
2019-11-30,SAC,DEN,45:26,30,1,5,True
2019-12-02,SAC,CHI,36:21,16,1,3,True
2019-12-04,SAC,POR,34:50,8,3,4,True
2019-12-06,SAC,SAS,42:33,21,5,10,True
2019-12-08,SAC,DAL,37:35,13,5,7,True
2019-12-09,SAC,HOU,33:25,19,2,8,True
2019-12-11,SAC,OKC,34:17,5,3,5,True
2019-12-13,SAC,NYK,37:24,18,2,5,True
2019-12-15,SAC,GSW,33:50,15,3,5,True
2019-12-17,SAC,CHO,37:23,14,1,4,True
2019-12-20,SAC,IND,26:06,5,1,1,True
2019-12-21,SAC,MEM,36:58,25,5,4,True
2019-12-23,SAC,HOU,30:17,9,1,4,True
2019-12-26,SAC,MIN,41:44,11,1,10,True
2019-12-28,SAC,PHO,38:37,21,1,10,True
2019-12-29,SAC,DEN,29:16,6,0,3,True
2019-12-31,SAC,LAC,31:41,8,3,3,True
2020-01-02,SAC,MEM,35:48,17,3,1,True
2020-01-04,SAC,NOP,38:47,30,3,4,True
2020-01-06,SAC,GSW,33:27,18,2,4,True
2020-01-07,SAC,PHO,27:29,2,2,1,True
2020-01-10,SAC,MIL,36:16,19,3,1,True
2020-01-13,SAC,ORL,36:54,5,2,5,True
2020-01-15,SAC,DAL,38:31,25,2,8,True
2020-01-18,SAC,UTA,35:32,9,0,5,True
2020-01-20,SAC,MIA,32:40,11,1,5,True
2020-01-22,SAC,DET,34:36,8,0,8,True
2020-01-24,SAC,CHI,35:28,19,1,3,True
2020-01-27,SAC,MIN,38:59,12,2,4,True
2020-01-29,SAC,OKC,26:27,8,1,3,True
2020-01-30,SAC,LAC,31:40,6,3,3,True
2020-02-01,SAC,LAL,29:02,2,0,6,True
2020-02-03,SAC,MIN,34:13,14,7,5,True
2020-02-07,SAC,MIA,27:54,9,3,5,True
2020-02-08,SAC,SAS,38:03,25,4,7,True
2020-02-10,SAC,MIL,36:36,23,3,3,True
2020-02-12,SAC,DAL,28:47,6,4,7,True
2020-02-20,SAC,MEM,37:52,32,1,1,True
2020-02-22,SAC,LAC,38:53,13,6,4,True
2020-02-25,SAC,GSW,37:55,21,1,2,True
2020-02-27,SAC,OKC,38:07,21,5,3,True
2020-02-28,SAC,MEM,32:30,7,2,4,True
2020-03-01,SAC,DET,35:54,10,4,8,True
2020-03-03,SAC,WAS,31:57,10,4,4,True
2020-03-05,SAC,PHI,37:44,15,5,6,True
2020-03-07,SAC,POR,35:30,20,1,5,True
2020-03-08,SAC,TOR,33:58,9,3,5,True
2020-07-31,SAC,SAS,36:34,10,1,7,True
2020-08-02,SAC,ORL,24:23,12,0,6,True
2020-08-04,SAC,DAL,31:50,6,1,3,True
2020-08-06,SAC,NOP,33:36,22,2,6,True
2020-08-07,SAC,BRK,36:54,16,1,6,True
2020-08-09,SAC,HOU,25:36,11,0,10,True
2020-08-11,SAC,NOP,37:20,25,2,8,True
2020-08-13,SAC,LAL,24:33,3,0,3,True
