Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,WAS,DAL,31:45,19,9,6,True
2019-10-25,WAS,OKC,34:33,17,3,6,True
2019-10-26,WAS,SAS,38:26,25,11,5,True
2019-10-30,WAS,HOU,40:30,46,8,6,True
2019-11-02,WAS,MIN,27:53,30,1,0,True
2019-11-04,WAS,DET,32:22,22,6,5,True
2019-11-06,WAS,IND,41:27,30,5,5,True
2019-11-08,WAS,CLE,38:59,20,9,5,True
2019-11-13,WAS,BOS,39:00,44,6,5,True
2019-11-15,WAS,MIN,36:58,44,10,3,True
2019-11-17,WAS,ORL,39:36,34,8,6,True
2019-11-20,WAS,SAS,38:07,33,4,4,True
2019-11-22,WAS,CHO,42:13,30,12,5,True
2019-11-24,WAS,SAC,41:10,20,8,3,True
2019-11-26,WAS,DEN,29:39,14,6,4,True
2019-11-27,WAS,PHO,39:42,35,6,2,True
2019-11-29,WAS,LAL,30:23,18,9,3,True
2019-12-01,WAS,LAC,34:39,23,11,5,True
2019-12-03,WAS,ORL,41:51,42,4,6,True
2019-12-05,WAS,PHI,38:09,26,4,10,True
2019-12-06,WAS,MIA,39:15,23,8,4,True
2019-12-08,WAS,LAC,36:14,20,5,2,True
2019-12-10,WAS,CHO,36:46,16,9,4,True
2019-12-14,WAS,MEM,33:57,29,4,10,True
2019-12-16,WAS,DET,37:12,35,10,3,True
2019-12-18,WAS,CHI,40:41,22,7,7,True
2019-12-20,WAS,TOR,39:06,37,6,7,True
2019-12-21,WAS,PHI,38:19,36,6,8,True
2019-12-23,WAS,NYK,36:32,30,3,4,True
2019-12-26,WAS,DET,23:54,15,2,2,True
2019-12-28,WAS,NYK,N/A,N/A,N/A,N/A,False
2019-12-30,WAS,MIA,N/A,N/A,N/A,N/A,False
2020-01-01,WAS,ORL,30:17,27,5,4,True
2020-01-03,WAS,POR,N/A,N/A,N/A,N/A,False
2020-01-04,WAS,DEN,N/A,N/A,N/A,N/A,False
2020-01-06,WAS,BOS,N/A,N/A,N/A,N/A,False
2020-01-08,WAS,ORL,N/A,N/A,N/A,N/A,False
2020-01-10,WAS,ATL,N/A,N/A,N/A,N/A,False
2020-01-12,WAS,UTA,27:02,25,4,1,True
2020-01-15,WAS,CHI,27:24,23,4,4,True
2020-01-17,WAS,TOR,23:00,14,3,2,True
2020-01-20,WAS,DET,33:24,29,6,1,True
2020-01-22,WAS,MIA,38:15,38,5,9,True
2020-01-23,WAS,CLE,29:26,36,8,2,True
2020-01-26,WAS,ATL,38:28,40,6,3,True
2020-01-28,WAS,MIL,37:39,47,6,0,True
2020-01-30,WAS,CHO,34:56,34,9,9,True
2020-02-01,WAS,BRK,35:53,34,2,6,True
2020-02-03,WAS,GSW,39:18,43,6,2,True
2020-02-07,WAS,DAL,38:37,29,8,5,True
2020-02-09,WAS,MEM,34:02,26,3,4,True
2020-02-11,WAS,CHI,34:01,30,7,4,True
2020-02-12,WAS,NYK,33:51,30,3,2,True
2020-02-21,WAS,CLE,34:19,26,1,3,True
2020-02-23,WAS,CHI,39:22,53,4,5,True
2020-02-24,WAS,MIL,41:01,55,3,2,True
2020-02-26,WAS,BRK,38:50,30,5,5,True
2020-02-28,WAS,UTA,40:30,42,10,5,True
2020-03-01,WAS,GSW,35:09,34,8,2,True
2020-03-03,WAS,SAC,38:52,35,8,2,True
2020-03-04,WAS,POR,37:33,29,6,6,True
2020-03-06,WAS,ATL,38:18,35,4,3,True
2020-03-08,WAS,MIA,35:51,23,6,3,True
2020-03-10,WAS,NYK,38:30,39,7,3,True
