Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,MIN,DET,26:37,23,2,4,True
2020-12-26,MIN,UTA,38:42,18,0,6,True
2020-12-27,MIN,LAL,24:27,8,2,5,True
2020-12-29,MIN,LAC,28:05,19,0,4,True
2021-01-01,MIN,WAS,26:18,21,0,3,True
2021-01-03,MIN,DEN,38:04,25,5,7,True
2021-01-05,MIN,DEN,37:39,15,4,6,True
2021-01-07,MIN,POR,27:45,12,2,4,True
2021-01-09,MIN,SAS,40:00,29,2,4,True
2021-01-10,MIN,SAS,35:19,24,0,3,True
2021-01-13,MIN,MEM,33:56,28,5,6,True
2021-01-18,MIN,ATL,33:43,15,3,5,True
2021-01-20,MIN,ORL,33:33,13,5,7,True
2021-01-22,MIN,ATL,25:25,17,4,1,True
2021-01-23,MIN,NOP,31:24,16,3,6,True
2021-01-25,MIN,GSW,30:03,30,0,7,True
2021-01-27,MIN,GSW,30:28,25,1,5,True
2021-01-29,MIN,PHI,30:03,22,2,5,True
2021-01-31,MIN,CLE,28:13,23,2,3,True
2021-02-01,MIN,CLE,33:11,10,3,7,True
2021-02-03,MIN,SAS,31:42,29,1,6,True
2021-02-05,MIN,OKC,32:14,24,3,5,True
2021-02-06,MIN,OKC,33:52,17,5,6,True
2021-02-08,MIN,DAL,34:20,30,6,9,True
2021-02-10,MIN,LAC,34:19,21,2,5,True
2021-02-12,MIN,CHO,36:31,31,1,5,True
2021-02-14,MIN,TOR,37:14,20,6,3,True
2021-02-16,MIN,LAL,36:27,11,1,2,True
2021-02-17,MIN,IND,41:02,31,3,2,False
2021-02-19,MIN,TOR,33:16,13,1,5,True
2021-02-21,MIN,NYK,37:56,6,2,4,True
2021-02-23,MIN,MIL,33:41,26,4,1,True
2021-02-24,MIN,CHI,37:04,25,1,2,True
2021-02-27,MIN,WAS,N/A,N/A,N/A,N/A,False
2021-02-28,MIN,PHO,N/A,N/A,N/A,N/A,False
2021-03-03,MIN,CHO,N/A,N/A,N/A,N/A,False
2021-03-11,MIN,NOP,N/A,N/A,N/A,N/A,False
2021-03-13,MIN,POR,N/A,N/A,N/A,N/A,False
2021-03-14,MIN,POR,N/A,N/A,N/A,N/A,False
2021-03-16,MIN,LAL,N/A,N/A,N/A,N/A,False
2021-03-18,MIN,PHO,N/A,N/A,N/A,N/A,False
2021-03-19,MIN,PHO,N/A,N/A,N/A,N/A,False
2021-03-22,MIN,OKC,N/A,N/A,N/A,N/A,False
2021-03-24,MIN,DAL,N/A,N/A,N/A,N/A,False
2021-03-26,MIN,HOU,N/A,N/A,N/A,N/A,False
2021-03-27,MIN,HOU,29:42,13,3,4,True
2021-03-29,MIN,BRK,31:08,9,4,1,True
2021-03-31,MIN,NYK,32:01,20,0,1,True
2021-04-02,MIN,MEM,28:35,5,0,3,True
2021-04-03,MIN,PHI,N/A,N/A,N/A,N/A,False
2021-04-05,MIN,SAC,N/A,N/A,N/A,N/A,False
2021-04-07,MIN,IND,N/A,N/A,N/A,N/A,False
2021-04-09,MIN,BOS,N/A,N/A,N/A,N/A,False
2021-04-11,MIN,CHI,N/A,N/A,N/A,N/A,False
2021-04-13,MIN,BRK,N/A,N/A,N/A,N/A,False
2021-04-14,MIN,MIL,N/A,N/A,N/A,N/A,False
2021-04-16,MIN,MIA,N/A,N/A,N/A,N/A,False
2021-04-18,MIN,LAC,N/A,N/A,N/A,N/A,False
2021-04-20,MIN,SAC,N/A,N/A,N/A,N/A,False
2021-04-21,MIN,SAC,N/A,N/A,N/A,N/A,False
2021-04-24,MIN,UTA,N/A,N/A,N/A,N/A,False
2021-04-26,MIN,UTA,N/A,N/A,N/A,N/A,False
2021-04-27,MIN,HOU,N/A,N/A,N/A,N/A,False
2021-04-29,MIN,GSW,N/A,N/A,N/A,N/A,False
2021-05-01,MIN,NOP,N/A,N/A,N/A,N/A,False
2021-05-05,MIN,MEM,N/A,N/A,N/A,N/A,False
2021-05-07,MIN,MIA,N/A,N/A,N/A,N/A,False
2021-05-09,MIN,ORL,N/A,N/A,N/A,N/A,False
2021-05-11,MIN,DET,N/A,N/A,N/A,N/A,False
2021-05-13,MIN,DEN,N/A,N/A,N/A,N/A,False
2021-05-15,MIN,BOS,N/A,N/A,N/A,N/A,False
2021-05-16,MIN,DAL,N/A,N/A,N/A,N/A,False
