Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,LAC,DEN,19:31,0,6,4,True
2018-10-19,LAC,OKC,24:44,7,5,4,True
2018-10-21,LAC,HOU,23:30,4,2,4,True
2018-10-23,LAC,NOP,26:42,12,8,10,True
2018-10-26,LAC,HOU,16:42,3,2,2,True
2018-10-28,LAC,WAS,25:25,11,4,4,True
2018-10-30,LAC,OKC,25:56,4,6,7,True
2018-11-01,LAC,PHI,30:23,4,4,4,True
2018-11-02,LAC,ORL,23:13,6,2,2,True
2018-11-05,LAC,MIN,38:35,10,4,6,True
2018-11-08,LAC,POR,35:17,4,4,3,True
2018-11-10,LAC,MIL,30:24,21,3,5,True
2018-11-12,LAC,GSW,23:31,4,5,2,True
2018-11-15,LAC,SAS,25:20,10,4,7,True
2018-11-17,LAC,BRK,33:15,6,8,0,True
2018-11-19,LAC,ATL,19:07,4,4,4,True
2018-11-20,LAC,WAS,20:48,6,5,5,False
2018-11-23,LAC,MEM,25:03,9,4,2,False
2018-11-25,LAC,POR,20:36,7,0,3,False
2018-11-28,LAC,PHO,17:53,2,0,1,False
2018-11-29,LAC,SAC,15:53,6,0,1,False
2018-12-02,LAC,DAL,16:59,3,3,4,False
2018-12-03,LAC,NOP,21:03,8,5,2,False
2018-12-05,LAC,MEM,16:44,4,0,1,False
2018-12-08,LAC,MIA,24:08,9,3,7,False
2018-12-10,LAC,PHO,33:50,6,3,3,False
2018-12-11,LAC,TOR,20:20,2,2,3,False
2018-12-13,LAC,SAS,25:31,6,2,4,False
2018-12-15,LAC,OKC,29:46,9,2,3,False
2018-12-17,LAC,POR,30:54,10,11,4,False
2018-12-20,LAC,DAL,25:14,8,2,5,False
2018-12-22,LAC,DEN,18:43,12,1,4,False
2018-12-23,LAC,GSW,23:38,10,2,4,False
2018-12-26,LAC,SAC,24:51,5,2,5,False
2018-12-28,LAC,LAL,25:27,8,2,3,False
2018-12-29,LAC,SAS,22:22,8,3,2,False
2019-01-01,LAC,PHI,33:06,5,1,3,False
2019-01-04,LAC,PHO,29:24,16,5,4,False
2019-01-06,LAC,ORL,25:06,3,2,5,False
2019-01-08,LAC,CHO,21:34,6,2,5,False
2019-01-10,LAC,DEN,22:33,2,4,3,False
2019-01-12,LAC,DET,33:40,3,2,3,False
2019-01-14,LAC,NOP,24:40,3,7,11,False
2019-01-16,LAC,UTA,25:25,0,3,3,False
2019-01-18,LAC,GSW,25:41,4,1,7,False
2019-01-20,LAC,SAS,41:35,18,5,12,True
2019-01-22,LAC,DAL,35:16,16,3,9,True
2019-01-23,LAC,MIA,34:02,4,2,6,True
2019-01-25,LAC,CHI,37:05,2,5,6,True
2019-01-27,LAC,SAC,35:55,16,8,10,True
2019-01-28,LAC,ATL,38:01,10,6,10,True
2019-01-31,LAC,LAL,36:57,17,4,8,True
2019-02-02,LAC,DET,30:47,4,3,6,True
2019-02-03,LAC,TOR,29:38,12,2,2,True
2019-02-05,LAC,CHO,29:35,15,3,6,True
2019-02-07,LAC,IND,23:48,9,3,5,True
2019-02-09,LAC,BOS,31:13,12,7,9,True
2019-02-11,LAC,MIN,31:41,2,6,4,True
2019-02-13,LAC,PHO,21:29,2,1,4,True
2019-02-22,LAC,MEM,31:52,7,3,10,True
2019-02-24,LAC,DEN,25:33,2,4,6,True
2019-02-25,LAC,DAL,38:55,17,9,8,True
2019-02-27,LAC,UTA,36:13,12,3,10,True
2019-03-01,LAC,SAC,31:16,12,3,7,True
2019-03-03,LAC,NYK,25:13,3,5,10,True
2019-03-04,LAC,LAL,36:00,13,4,9,True
2019-03-08,LAC,OKC,27:06,0,6,7,True
2019-03-11,LAC,BOS,31:00,11,6,5,True
2019-03-12,LAC,POR,31:58,4,7,3,True
2019-03-15,LAC,CHI,33:39,13,7,8,True
2019-03-17,LAC,BRK,27:37,10,2,4,True
2019-03-19,LAC,IND,30:54,10,5,4,True
2019-03-22,LAC,CLE,32:24,9,5,4,True
2019-03-24,LAC,NYK,30:18,12,2,3,True
2019-03-26,LAC,MIN,18:17,11,5,2,True
2019-03-28,LAC,MIL,N/A,N/A,N/A,N/A,False
2019-03-30,LAC,CLE,22:58,4,6,3,True
2019-03-31,LAC,MEM,24:47,3,4,4,True
2019-04-03,LAC,HOU,N/A,N/A,N/A,N/A,False
2019-04-05,LAC,LAL,N/A,N/A,N/A,N/A,False
2019-04-07,LAC,GSW,N/A,N/A,N/A,N/A,False
2019-04-10,LAC,UTA,21:19,14,6,6,True
