Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,UTA,OKC,23:54,16,0,3,True
2019-10-25,UTA,LAL,N/A,N/A,N/A,N/A,False
2019-10-26,UTA,SAC,24:19,26,1,4,True
2019-10-28,UTA,PHO,37:19,29,2,5,True
2019-10-30,UTA,LAC,30:41,14,2,4,True
2019-11-01,UTA,SAC,35:44,17,2,6,True
2019-11-03,UTA,LAC,34:58,19,4,3,True
2019-11-06,UTA,PHI,35:27,20,5,6,True
2019-11-08,UTA,MIL,37:33,33,0,5,True
2019-11-11,UTA,GSW,30:24,12,2,2,True
2019-11-12,UTA,BRK,30:03,12,1,4,True
2019-11-15,UTA,MEM,34:48,20,0,1,True
2019-11-18,UTA,MIN,30:58,18,2,6,True
2019-11-20,UTA,MIN,36:06,30,3,4,True
2019-11-22,UTA,GSW,34:33,17,3,5,True
2019-11-23,UTA,NOP,36:29,28,5,5,True
2019-11-25,UTA,MIL,34:23,24,3,3,True
2019-11-27,UTA,IND,37:47,30,2,5,True
2019-11-29,UTA,MEM,34:29,33,2,8,True
2019-12-01,UTA,TOR,29:35,11,2,7,True
2019-12-02,UTA,PHI,32:46,9,0,2,True
2019-12-04,UTA,LAL,35:17,23,3,3,True
2019-12-07,UTA,MEM,31:12,19,2,6,True
2019-12-09,UTA,OKC,31:51,13,0,5,True
2019-12-11,UTA,MIN,34:45,14,3,3,True
2019-12-13,UTA,GSW,37:05,32,1,4,True
2019-12-17,UTA,ORL,36:40,30,5,5,True
2019-12-19,UTA,ATL,37:05,19,2,9,True
2019-12-21,UTA,CHO,36:26,26,3,3,True
2019-12-23,UTA,MIA,29:13,19,3,4,True
2019-12-26,UTA,POR,36:33,16,1,4,True
2019-12-28,UTA,LAC,34:10,17,3,5,True
2019-12-30,UTA,DET,34:48,17,2,4,True
2020-01-02,UTA,CHI,33:47,19,1,6,True
2020-01-04,UTA,ORL,29:52,14,0,5,True
2020-01-06,UTA,NOP,33:17,35,0,0,True
2020-01-08,UTA,NYK,26:00,20,3,3,True
2020-01-10,UTA,CHO,25:16,16,3,3,True
2020-01-12,UTA,WAS,36:18,31,3,3,True
2020-01-14,UTA,BRK,32:25,18,0,2,True
2020-01-16,UTA,NOP,40:14,26,4,3,True
2020-01-18,UTA,SAC,30:51,30,1,2,True
2020-01-20,UTA,IND,32:11,16,0,4,True
2020-01-22,UTA,GSW,28:54,18,3,4,True
2020-01-25,UTA,DAL,34:38,23,1,1,True
2020-01-27,UTA,HOU,34:48,30,2,1,True
2020-01-29,UTA,SAS,33:50,17,4,9,True
2020-01-30,UTA,DEN,35:17,18,1,6,True
2020-02-01,UTA,POR,28:57,22,1,2,True
2020-02-05,UTA,DEN,34:08,16,5,5,True
2020-02-07,UTA,POR,34:00,27,1,4,True
2020-02-09,UTA,HOU,32:16,8,4,2,True
2020-02-10,UTA,DAL,33:23,23,2,3,True
2020-02-12,UTA,MIA,35:00,22,4,7,True
2020-02-21,UTA,SAS,32:33,15,1,6,True
2020-02-22,UTA,HOU,36:03,12,0,6,True
2020-02-24,UTA,PHO,33:58,16,2,3,True
2020-02-26,UTA,BOS,33:32,3,1,4,True
2020-02-28,UTA,WAS,32:57,21,3,1,True
2020-03-02,UTA,CLE,33:31,28,6,7,True
2020-03-04,UTA,NYK,33:14,23,1,4,True
2020-03-06,UTA,BOS,25:49,8,1,4,True
2020-03-07,UTA,DET,34:25,32,2,5,True
2020-03-09,UTA,TOR,24:04,5,2,1,True
