Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,PHO,DAL,33:27,35,7,4,True
2018-10-20,PHO,DEN,36:27,25,7,2,True
2018-10-22,PHO,GSW,38:27,28,6,5,True
2018-10-24,PHO,LAL,29:05,23,7,7,True
2018-10-27,PHO,MEM,N/A,N/A,N/A,N/A,False
2018-10-28,PHO,OKC,N/A,N/A,N/A,N/A,False
2018-10-31,PHO,SAS,N/A,N/A,N/A,N/A,False
2018-11-02,PHO,TOR,35:33,18,6,4,True
2018-11-04,PHO,MEM,34:59,25,7,0,True
2018-11-06,PHO,BRK,36:23,20,2,8,True
2018-11-08,PHO,BOS,42:39,38,9,3,True
2018-11-10,PHO,NOP,34:32,12,7,1,True
2018-11-12,PHO,OKC,37:01,19,6,4,True
2018-11-14,PHO,SAS,37:10,13,12,4,True
2018-11-17,PHO,OKC,39:14,16,12,4,True
2018-11-19,PHO,PHI,36:27,37,8,3,True
2018-11-21,PHO,CHI,33:34,23,6,2,True
2018-11-23,PHO,MIL,39:20,29,7,4,True
2018-11-25,PHO,DET,37:22,37,5,4,True
2018-11-27,PHO,IND,36:21,20,8,4,True
2018-11-28,PHO,LAC,35:06,23,4,4,True
2018-11-30,PHO,ORL,N/A,N/A,N/A,N/A,False
2018-12-02,PHO,LAL,17:05,6,2,1,True
2018-12-04,PHO,SAC,N/A,N/A,N/A,N/A,False
2018-12-06,PHO,POR,N/A,N/A,N/A,N/A,False
2018-12-07,PHO,MIA,N/A,N/A,N/A,N/A,False
2018-12-10,PHO,LAC,N/A,N/A,N/A,N/A,False
2018-12-11,PHO,SAS,N/A,N/A,N/A,N/A,False
2018-12-13,PHO,DAL,N/A,N/A,N/A,N/A,False
2018-12-15,PHO,MIN,35:59,28,7,7,True
2018-12-17,PHO,NYK,37:16,38,2,7,True
2018-12-19,PHO,BOS,37:14,25,8,5,True
2018-12-22,PHO,WAS,54:36,33,14,4,True
2018-12-23,PHO,BRK,30:03,25,9,2,True
2018-12-26,PHO,ORL,39:52,35,8,7,True
2018-12-28,PHO,OKC,32:55,25,10,7,True
2018-12-29,PHO,DEN,36:11,27,8,1,True
2018-12-31,PHO,GSW,32:46,20,6,2,True
2019-01-02,PHO,PHI,35:21,37,8,2,True
2019-01-04,PHO,LAC,37:06,23,4,3,True
2019-01-06,PHO,CHO,12:16,7,3,0,True
2019-01-08,PHO,SAC,N/A,N/A,N/A,N/A,False
2019-01-09,PHO,DAL,N/A,N/A,N/A,N/A,False
2019-01-12,PHO,DEN,N/A,N/A,N/A,N/A,False
2019-01-15,PHO,IND,26:33,8,5,5,True
2019-01-17,PHO,TOR,35:11,30,8,2,True
2019-01-19,PHO,CHO,37:32,32,11,2,True
2019-01-20,PHO,MIN,32:57,18,6,6,True
2019-01-22,PHO,MIN,24:12,14,4,3,True
2019-01-24,PHO,POR,30:15,27,3,1,True
2019-01-25,PHO,DEN,30:02,35,2,4,True
2019-01-27,PHO,LAL,36:18,21,6,2,True
2019-01-29,PHO,SAS,40:17,38,7,5,True
2019-02-02,PHO,ATL,42:44,32,10,8,True
2019-02-04,PHO,HOU,32:38,19,5,7,True
2019-02-06,PHO,UTA,N/A,N/A,N/A,N/A,False
2019-02-08,PHO,GSW,N/A,N/A,N/A,N/A,False
2019-02-10,PHO,SAC,35:22,27,6,8,True
2019-02-13,PHO,LAC,32:48,10,5,6,True
2019-02-21,PHO,CLE,37:57,30,7,1,True
2019-02-23,PHO,ATL,36:06,26,8,7,True
2019-02-25,PHO,MIA,32:49,20,9,4,True
2019-03-01,PHO,NOP,33:33,26,7,6,True
2019-03-02,PHO,LAL,39:46,25,4,4,True
2019-03-04,PHO,MIL,39:13,22,7,5,True
2019-03-06,PHO,NYK,33:56,41,4,5,True
2019-03-09,PHO,POR,30:35,23,5,2,True
2019-03-10,PHO,GSW,40:36,37,11,8,True
2019-03-13,PHO,UTA,35:36,27,6,4,True
2019-03-15,PHO,HOU,37:09,29,7,5,True
2019-03-16,PHO,NOP,41:09,40,13,5,True
2019-03-18,PHO,CHI,40:24,25,7,8,True
2019-03-21,PHO,DET,32:20,26,2,5,True
2019-03-23,PHO,SAC,39:02,32,10,2,True
2019-03-25,PHO,UTA,41:06,59,4,4,True
2019-03-27,PHO,WAS,36:54,50,4,10,True
2019-03-30,PHO,MEM,42:44,48,11,3,True
2019-04-01,PHO,CLE,35:05,25,13,3,True
2019-04-03,PHO,UTA,7:32,8,1,0,True
2019-04-05,PHO,NOP,N/A,N/A,N/A,N/A,False
2019-04-07,PHO,HOU,N/A,N/A,N/A,N/A,False
2019-04-09,PHO,DAL,N/A,N/A,N/A,N/A,False
