Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,TOR,CLE,N/A,N/A,N/A,N/A,False
2018-10-19,TOR,BOS,N/A,N/A,N/A,N/A,False
2018-10-20,TOR,WAS,N/A,N/A,N/A,N/A,False
2018-10-22,TOR,CHO,N/A,N/A,N/A,N/A,False
2018-10-24,TOR,MIN,N/A,N/A,N/A,N/A,False
2018-10-26,TOR,DAL,N/A,N/A,N/A,N/A,False
2018-10-29,TOR,MIL,2:17,6,0,2,False
2018-10-30,TOR,PHI,N/A,N/A,N/A,N/A,False
2018-11-02,TOR,PHO,N/A,N/A,N/A,N/A,False
2018-11-04,TOR,LAL,N/A,N/A,N/A,N/A,False
2018-11-05,TOR,UTA,N/A,N/A,N/A,N/A,False
2018-11-07,TOR,SAC,N/A,N/A,N/A,N/A,False
2018-11-10,TOR,NYK,N/A,N/A,N/A,N/A,False
2018-11-12,TOR,NOP,N/A,N/A,N/A,N/A,False
2018-11-14,TOR,DET,N/A,N/A,N/A,N/A,False
2018-11-16,TOR,BOS,N/A,N/A,N/A,N/A,False
2018-11-17,TOR,CHI,6:38,2,0,3,False
2018-11-20,TOR,ORL,N/A,N/A,N/A,N/A,False
2018-11-21,TOR,ATL,3:03,5,0,2,False
2018-11-23,TOR,WAS,N/A,N/A,N/A,N/A,False
2018-11-25,TOR,MIA,N/A,N/A,N/A,N/A,False
2018-11-27,TOR,MEM,N/A,N/A,N/A,N/A,False
2018-11-29,TOR,GSW,N/A,N/A,N/A,N/A,False
2018-12-01,TOR,CLE,N/A,N/A,N/A,N/A,False
2018-12-03,TOR,DEN,N/A,N/A,N/A,N/A,False
2018-12-05,TOR,PHI,N/A,N/A,N/A,N/A,False
2018-12-07,TOR,BRK,N/A,N/A,N/A,N/A,False
2018-12-09,TOR,MIL,N/A,N/A,N/A,N/A,False
2018-12-11,TOR,LAC,N/A,N/A,N/A,N/A,False
2018-12-12,TOR,GSW,N/A,N/A,N/A,N/A,False
2018-12-14,TOR,POR,N/A,N/A,N/A,N/A,False
2018-12-16,TOR,DEN,1:37,0,0,0,False
2018-12-19,TOR,IND,9:43,5,0,2,False
2018-12-21,TOR,CLE,2:01,2,0,1,False
2018-12-22,TOR,PHI,5:47,0,0,2,False
2018-12-26,TOR,MIA,N/A,N/A,N/A,N/A,False
2018-12-28,TOR,ORL,9:10,9,0,1,False
2018-12-30,TOR,CHI,5:24,3,0,1,False
2019-01-01,TOR,UTA,N/A,N/A,N/A,N/A,False
2019-01-03,TOR,SAS,4:43,3,0,2,False
2019-01-05,TOR,MIL,N/A,N/A,N/A,N/A,False
2019-01-06,TOR,IND,1:44,3,0,0,False
2019-01-08,TOR,ATL,N/A,N/A,N/A,N/A,False
2019-01-11,TOR,BRK,4:53,2,0,2,False
2019-01-13,TOR,WAS,N/A,N/A,N/A,N/A,False
2019-01-16,TOR,BOS,N/A,N/A,N/A,N/A,False
2019-01-17,TOR,PHO,5:18,3,0,0,False
2019-01-19,TOR,MEM,9:04,3,0,3,False
2019-01-22,TOR,SAC,11:39,8,0,3,False
2019-01-23,TOR,IND,N/A,N/A,N/A,N/A,False
2019-01-25,TOR,HOU,N/A,N/A,N/A,N/A,False
2019-01-27,TOR,DAL,N/A,N/A,N/A,N/A,False
2019-01-31,TOR,MIL,N/A,N/A,N/A,N/A,False
2019-02-03,TOR,LAC,6:15,8,0,4,False
2019-02-05,TOR,PHI,N/A,N/A,N/A,N/A,False
2019-02-07,TOR,ATL,N/A,N/A,N/A,N/A,False
2019-02-09,TOR,NYK,N/A,N/A,N/A,N/A,False
2019-02-11,TOR,BRK,N/A,N/A,N/A,N/A,False
2019-02-13,TOR,WAS,3:28,3,0,0,False
2019-02-22,TOR,SAS,N/A,N/A,N/A,N/A,False
2019-02-24,TOR,ORL,2:59,0,0,0,False
2019-02-26,TOR,BOS,4:39,2,0,2,False
2019-03-01,TOR,POR,N/A,N/A,N/A,N/A,False
2019-03-03,TOR,DET,N/A,N/A,N/A,N/A,False
2019-03-05,TOR,HOU,N/A,N/A,N/A,N/A,False
2019-03-08,TOR,NOP,3:34,0,0,2,False
2019-03-10,TOR,MIA,3:43,0,0,1,False
2019-03-11,TOR,CLE,3:48,2,0,2,False
2019-03-14,TOR,LAL,7:55,2,0,3,False
2019-03-17,TOR,DET,N/A,N/A,N/A,N/A,False
2019-03-18,TOR,NYK,6:20,2,0,2,False
2019-03-20,TOR,OKC,N/A,N/A,N/A,N/A,False
2019-03-22,TOR,OKC,N/A,N/A,N/A,N/A,False
2019-03-24,TOR,CHO,N/A,N/A,N/A,N/A,False
2019-03-26,TOR,CHI,N/A,N/A,N/A,N/A,False
2019-03-28,TOR,NYK,5:00,3,0,1,False
2019-03-30,TOR,CHI,3:42,0,0,1,False
2019-04-01,TOR,ORL,4:07,2,0,1,False
2019-04-03,TOR,BRK,N/A,N/A,N/A,N/A,False
2019-04-05,TOR,CHO,N/A,N/A,N/A,N/A,False
2019-04-07,TOR,MIA,N/A,N/A,N/A,N/A,False
2019-04-09,TOR,MIN,24:37,15,2,13,False
