Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,CHO,MIL,14:30,1,1,0,False
2018-10-19,CHO,ORL,14:24,15,2,8,False
2018-10-20,CHO,MIA,N/A,N/A,N/A,N/A,False
2018-10-22,CHO,TOR,18:35,6,2,3,False
2018-10-24,CHO,CHI,12:55,5,0,2,False
2018-10-26,CHO,CHI,25:35,15,2,5,False
2018-10-27,CHO,PHI,30:20,14,0,2,False
2018-10-30,CHO,MIA,16:20,0,1,3,False
2018-11-01,CHO,OKC,19:21,4,2,5,False
2018-11-03,CHO,CLE,22:52,12,0,3,False
2018-11-06,CHO,ATL,19:52,9,1,3,False
2018-11-09,CHO,PHI,28:25,5,1,9,False
2018-11-11,CHO,DET,23:45,8,2,8,False
2018-11-13,CHO,CLE,15:40,5,0,2,False
2018-11-17,CHO,PHI,26:15,9,1,4,False
2018-11-19,CHO,BOS,22:57,7,0,5,False
2018-11-21,CHO,IND,24:50,8,0,5,False
2018-11-23,CHO,OKC,19:52,4,0,7,False
2018-11-25,CHO,ATL,19:01,4,2,1,False
2018-11-26,CHO,MIL,11:19,5,0,1,False
2018-11-28,CHO,ATL,20:49,9,2,3,False
2018-11-30,CHO,UTA,15:54,12,2,4,False
2018-12-02,CHO,NOP,29:10,16,1,8,False
2018-12-05,CHO,MIN,20:55,10,1,2,False
2018-12-07,CHO,DEN,16:13,7,2,2,False
2018-12-09,CHO,NYK,22:40,4,1,4,False
2018-12-12,CHO,DET,17:31,2,0,3,False
2018-12-14,CHO,NYK,10:45,6,1,2,False
2018-12-15,CHO,LAL,28:20,17,0,3,False
2018-12-19,CHO,CLE,13:33,2,1,4,False
2018-12-21,CHO,DET,23:49,7,1,4,False
2018-12-23,CHO,BOS,26:43,3,3,7,False
2018-12-26,CHO,BRK,14:03,3,0,1,False
2018-12-28,CHO,BRK,3:22,0,0,0,False
2018-12-29,CHO,WAS,N/A,N/A,N/A,N/A,False
2018-12-31,CHO,ORL,20:36,6,1,2,False
2019-01-02,CHO,DAL,24:21,8,2,5,False
2019-01-05,CHO,DEN,12:07,2,0,1,False
2019-01-06,CHO,PHO,12:42,1,0,2,False
2019-01-08,CHO,LAC,13:49,0,2,5,False
2019-01-11,CHO,POR,23:25,4,2,1,False
2019-01-12,CHO,SAC,15:27,2,1,6,False
2019-01-14,CHO,SAS,18:40,8,1,6,False
2019-01-17,CHO,SAC,22:20,15,1,4,False
2019-01-19,CHO,PHO,17:49,10,2,2,False
2019-01-20,CHO,IND,14:31,8,0,3,False
2019-01-23,CHO,MEM,4:02,2,1,0,False
2019-01-25,CHO,MIL,18:46,4,2,6,False
2019-01-28,CHO,NYK,24:24,11,3,7,False
2019-01-30,CHO,BOS,21:53,2,1,3,False
2019-02-01,CHO,MEM,11:05,0,0,4,False
2019-02-02,CHO,CHI,26:33,13,1,1,False
2019-02-05,CHO,LAC,18:52,8,1,2,False
2019-02-06,CHO,DAL,21:09,4,0,1,False
2019-02-09,CHO,ATL,16:28,6,0,5,False
2019-02-11,CHO,IND,11:01,3,1,0,False
2019-02-14,CHO,ORL,21:42,6,0,2,False
2019-02-22,CHO,WAS,29:13,14,0,6,True
2019-02-23,CHO,BRK,12:23,4,0,4,True
2019-02-25,CHO,GSW,25:19,7,0,5,True
2019-02-27,CHO,HOU,23:26,9,1,6,True
2019-03-01,CHO,BRK,17:56,7,1,1,True
2019-03-03,CHO,POR,16:46,10,0,5,True
2019-03-06,CHO,MIA,18:17,3,0,5,True
2019-03-08,CHO,WAS,12:32,3,0,1,True
2019-03-09,CHO,MIL,25:53,15,2,6,True
2019-03-11,CHO,HOU,29:38,12,0,6,True
2019-03-15,CHO,WAS,13:07,2,0,5,True
2019-03-17,CHO,MIA,9:54,2,0,3,True
2019-03-19,CHO,PHI,29:17,8,2,10,True
2019-03-21,CHO,MIN,30:29,11,4,12,True
2019-03-23,CHO,BOS,34:17,20,3,7,True
2019-03-24,CHO,TOR,33:13,16,1,6,True
2019-03-26,CHO,SAS,34:56,10,3,5,True
2019-03-29,CHO,LAL,33:11,17,5,3,True
2019-03-31,CHO,GSW,29:48,9,0,4,True
2019-04-01,CHO,UTA,26:20,0,0,5,True
2019-04-03,CHO,NOP,33:31,8,2,6,True
2019-04-05,CHO,TOR,30:08,7,5,4,True
2019-04-07,CHO,DET,35:38,10,5,5,True
2019-04-09,CHO,CLE,27:35,18,4,7,True
2019-04-10,CHO,ORL,41:15,18,3,5,True
