Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-18,BOS,PHI,23:52,16,4,2,False
2022-10-21,BOS,MIA,24:51,7,3,5,False
2022-10-22,BOS,ORL,20:40,13,4,2,False
2022-10-24,BOS,CHI,22:10,12,2,6,False
2022-10-28,BOS,CLE,22:16,9,5,2,False
2022-10-30,BOS,WAS,23:19,23,4,2,False
2022-11-02,BOS,CLE,24:25,15,3,4,False
2022-11-04,BOS,CHI,28:50,25,4,2,False
2022-11-05,BOS,NYK,28:19,14,5,5,False
2022-11-07,BOS,MEM,19:28,8,4,10,False
2022-11-09,BOS,DET,14:23,9,1,2,False
2022-11-11,BOS,DEN,N/A,N/A,N/A,N/A,False
2022-11-12,BOS,DET,N/A,N/A,N/A,N/A,False
2022-11-14,BOS,OKC,N/A,N/A,N/A,N/A,False
2022-11-16,BOS,ATL,N/A,N/A,N/A,N/A,False
2022-11-18,BOS,NOP,18:15,5,4,4,False
2022-11-21,BOS,CHI,25:09,23,6,1,False
2022-11-23,BOS,DAL,23:36,13,2,6,False
2022-11-25,BOS,SAC,20:49,8,4,3,False
2022-11-27,BOS,WAS,22:38,17,4,6,False
2022-11-28,BOS,CHO,22:30,21,6,5,False
2022-11-30,BOS,MIA,26:02,21,1,6,False
2022-12-02,BOS,MIA,21:12,6,0,2,False
2022-12-04,BOS,BRK,32:09,13,8,8,False
2022-12-05,BOS,TOR,N/A,N/A,N/A,N/A,False
2022-12-07,BOS,PHO,19:13,16,5,3,False
2022-12-10,BOS,GSW,22:48,16,4,5,False
2022-12-12,BOS,LAC,31:28,18,6,4,False
2022-12-13,BOS,LAL,21:07,5,6,2,False
2022-12-16,BOS,ORL,29:45,15,0,3,False
2022-12-18,BOS,ORL,31:03,12,1,6,False
2022-12-21,BOS,IND,29:42,18,7,4,False
2022-12-23,BOS,MIN,16:58,6,2,4,False
2022-12-25,BOS,MIL,16:49,9,1,2,False
2022-12-27,BOS,HOU,20:48,6,8,6,False
2022-12-29,BOS,LAC,N/A,N/A,N/A,N/A,False
2023-01-01,BOS,DEN,19:35,4,4,2,False
2023-01-03,BOS,OKC,25:45,17,3,9,False
2023-01-05,BOS,DAL,24:45,15,4,3,False
2023-01-07,BOS,SAS,28:26,23,7,2,False
2023-01-09,BOS,CHI,21:56,11,3,7,False
2023-01-11,BOS,NOP,25:32,20,4,4,False
2023-01-12,BOS,BRK,20:25,16,2,5,False
2023-01-14,BOS,CHO,31:23,30,3,3,False
2023-01-16,BOS,CHO,27:28,16,2,4,False
2023-01-19,BOS,GSW,35:46,14,2,7,False
2023-01-21,BOS,TOR,34:40,23,2,7,False
2023-01-23,BOS,ORL,N/A,N/A,N/A,N/A,False
2023-01-24,BOS,MIA,N/A,N/A,N/A,N/A,False
2023-01-26,BOS,NYK,34:30,10,6,5,False
2023-01-28,BOS,LAL,39:19,26,4,6,False
2023-02-01,BOS,BRK,21:30,10,4,2,False
2023-02-03,BOS,PHO,21:42,12,1,4,False
2023-02-06,BOS,DET,25:40,16,4,1,False
2023-02-08,BOS,PHI,35:23,19,3,5,False
2023-02-10,BOS,CHO,17:44,3,4,3,False
2023-02-12,BOS,MEM,N/A,N/A,N/A,N/A,False
2023-02-14,BOS,MIL,39:00,26,4,4,False
2023-02-15,BOS,DET,28:51,25,6,3,False
2023-02-23,BOS,IND,36:50,24,7,5,False
2023-02-25,BOS,PHI,20:33,5,1,7,False
2023-02-27,BOS,NYK,27:31,22,2,2,False
2023-03-01,BOS,CLE,22:38,2,2,2,False
2023-03-03,BOS,BRK,N/A,N/A,N/A,N/A,False
2023-03-05,BOS,NYK,N/A,N/A,N/A,N/A,False
2023-03-06,BOS,CLE,36:28,24,5,4,False
2023-03-08,BOS,POR,27:57,5,2,9,False
2023-03-11,BOS,ATL,25:22,18,5,4,False
2023-03-13,BOS,HOU,28:36,20,1,2,False
2023-03-15,BOS,MIN,31:03,12,2,6,False
2023-03-17,BOS,POR,N/A,N/A,N/A,N/A,False
2023-03-18,BOS,UTA,30:36,16,4,5,False
2023-03-21,BOS,SAC,21:53,4,2,3,False
2023-03-24,BOS,IND,N/A,N/A,N/A,N/A,False
2023-03-26,BOS,SAS,26:01,20,9,5,False
2023-03-28,BOS,WAS,23:05,13,2,3,False
2023-03-30,BOS,MIL,27:13,14,5,3,False
2023-03-31,BOS,UTA,31:48,19,7,3,False
2023-04-04,BOS,PHI,27:43,18,3,4,False
2023-04-05,BOS,TOR,34:35,29,3,5,False
2023-04-07,BOS,TOR,N/A,N/A,N/A,N/A,False
2023-04-09,BOS,ATL,N/A,N/A,N/A,N/A,False
