Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,MEM,MIA,18:10,7,1,5,True
2019-10-25,MEM,CHI,29:40,6,1,3,True
2019-10-27,MEM,BRK,37:31,21,2,2,True
2019-10-29,MEM,LAL,22:36,8,4,3,True
2019-11-02,MEM,PHO,23:44,16,1,2,True
2019-11-04,MEM,HOU,31:43,17,1,9,True
2019-11-06,MEM,MIN,30:21,31,2,4,True
2019-11-08,MEM,ORL,22:15,3,1,4,True
2019-11-09,MEM,DAL,19:49,5,4,5,True
2019-11-11,MEM,SAS,35:25,21,3,2,True
2019-11-13,MEM,CHO,28:24,15,4,3,True
2019-11-15,MEM,UTA,30:39,20,2,2,True
2019-11-17,MEM,DEN,18:24,4,1,0,True
2019-11-19,MEM,GSW,32:20,18,0,3,True
2019-11-23,MEM,LAL,26:35,12,3,3,True
2019-11-25,MEM,IND,31:41,9,3,7,True
2019-11-27,MEM,LAC,25:48,4,2,1,True
2019-11-29,MEM,UTA,27:23,11,2,6,True
2019-12-01,MEM,MIN,31:54,26,3,2,True
2019-12-02,MEM,IND,30:06,19,2,7,True
2019-12-04,MEM,CHI,24:02,5,1,3,True
2019-12-07,MEM,UTA,22:37,10,0,1,True
2019-12-09,MEM,GSW,30:44,17,2,3,True
2019-12-11,MEM,PHO,27:15,27,1,3,True
2019-12-13,MEM,MIL,34:45,19,3,2,True
2019-12-14,MEM,WAS,26:21,27,3,2,True
2019-12-16,MEM,MIA,22:53,9,2,2,True
2019-12-18,MEM,OKC,33:16,15,2,6,True
2019-12-20,MEM,CLE,32:44,16,4,7,True
2019-12-21,MEM,SAC,29:52,16,3,6,True
2019-12-23,MEM,SAS,25:05,14,2,2,True
2019-12-26,MEM,OKC,25:15,8,0,2,True
2019-12-28,MEM,DEN,29:19,7,1,4,True
2019-12-29,MEM,CHO,23:18,20,2,0,True
2020-01-02,MEM,SAC,27:45,15,3,0,True
2020-01-04,MEM,LAC,28:21,22,3,3,True
2020-01-05,MEM,PHO,29:31,19,2,4,True
2020-01-07,MEM,MIN,31:05,28,0,3,True
2020-01-10,MEM,SAS,30:34,22,6,4,True
2020-01-12,MEM,GSW,26:09,7,0,2,True
2020-01-14,MEM,HOU,31:08,24,3,4,True
2020-01-17,MEM,CLE,28:28,26,1,2,True
2020-01-20,MEM,NOP,35:22,31,4,9,True
2020-01-22,MEM,BOS,18:59,6,0,3,True
2020-01-24,MEM,DET,28:52,27,1,3,True
2020-01-26,MEM,PHO,36:08,20,4,5,True
2020-01-28,MEM,DEN,32:40,24,3,1,True
2020-01-29,MEM,NYK,31:26,27,0,2,True
2020-01-31,MEM,NOP,26:50,10,2,3,True
2020-02-03,MEM,DET,30:20,15,5,4,True
2020-02-05,MEM,DAL,33:18,13,2,6,True
2020-02-07,MEM,PHI,26:31,9,1,4,True
2020-02-09,MEM,WAS,30:18,9,1,3,True
2020-02-12,MEM,POR,22:49,11,0,2,True
2020-02-20,MEM,SAC,30:11,9,2,4,True
2020-02-21,MEM,LAL,26:08,7,2,2,True
2020-02-24,MEM,LAC,24:45,4,5,2,True
2020-02-26,MEM,HOU,30:09,22,3,1,True
2020-02-28,MEM,SAC,39:44,32,1,2,True
2020-02-29,MEM,LAL,34:47,24,0,5,True
2020-03-02,MEM,ATL,24:27,13,0,5,True
2020-03-04,MEM,BRK,21:49,12,1,0,True
2020-03-06,MEM,DAL,30:09,15,2,5,True
2020-03-07,MEM,ATL,27:03,13,2,4,True
2020-03-10,MEM,ORL,33:44,21,1,0,True
2020-07-31,MEM,POR,35:27,15,4,4,True
2020-08-02,MEM,SAS,35:54,16,3,2,True
2020-08-03,MEM,NOP,31:19,15,3,5,True
2020-08-05,MEM,UTA,31:35,23,1,3,True
2020-08-07,MEM,OKC,26:22,22,4,6,True
2020-08-09,MEM,TOR,34:51,25,2,6,True
2020-08-11,MEM,BOS,32:30,14,3,2,True
2020-08-13,MEM,MIL,32:36,31,2,2,True
