Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,BOS,PHI,20:52,8,0,7,True
2019-10-25,BOS,TOR,38:04,25,4,9,True
2019-10-26,BOS,NYK,27:06,19,2,4,True
2019-10-30,BOS,MIL,N/A,N/A,N/A,N/A,False
2019-11-01,BOS,NYK,N/A,N/A,N/A,N/A,False
2019-11-05,BOS,CLE,N/A,N/A,N/A,N/A,False
2019-11-07,BOS,CHO,32:07,12,1,5,True
2019-11-09,BOS,SAS,32:04,30,3,7,True
2019-11-11,BOS,DAL,38:09,25,3,11,True
2019-11-13,BOS,WAS,34:59,22,4,5,True
2019-11-15,BOS,GSW,34:47,22,3,8,True
2019-11-17,BOS,SAC,35:23,18,0,8,True
2019-11-18,BOS,PHO,29:36,14,3,9,True
2019-11-20,BOS,LAC,39:11,9,1,6,True
2019-11-22,BOS,DEN,36:16,22,4,10,True
2019-11-25,BOS,SAC,34:05,24,0,4,True
2019-11-27,BOS,BRK,32:54,22,2,10,True
2019-11-29,BOS,BRK,34:00,8,1,6,True
2019-12-01,BOS,NYK,34:56,28,1,5,True
2019-12-04,BOS,MIA,34:14,31,1,4,True
2019-12-06,BOS,DEN,32:48,21,2,7,True
2019-12-09,BOS,CLE,32:09,20,2,7,True
2019-12-11,BOS,IND,34:04,18,8,8,True
2019-12-12,BOS,PHI,40:59,8,2,5,True
2019-12-18,BOS,DAL,35:14,26,0,9,True
2019-12-20,BOS,DET,29:01,26,5,5,True
2019-12-22,BOS,CHO,32:17,16,5,9,True
2019-12-25,BOS,TOR,34:53,30,4,6,True
2019-12-27,BOS,CLE,29:11,34,2,9,True
2019-12-28,BOS,TOR,36:33,17,1,5,True
2019-12-31,BOS,CHO,N/A,N/A,N/A,N/A,False
2020-01-03,BOS,ATL,35:19,24,2,10,True
2020-01-04,BOS,CHI,34:40,19,3,7,True
2020-01-06,BOS,WAS,33:28,23,1,12,True
2020-01-08,BOS,SAS,28:42,16,0,3,True
2020-01-09,BOS,PHI,33:47,6,2,5,True
2020-01-11,BOS,NOP,30:28,13,2,0,True
2020-01-13,BOS,CHI,30:15,19,3,3,True
2020-01-15,BOS,DET,36:51,24,2,12,True
2020-01-16,BOS,MIL,N/A,N/A,N/A,N/A,False
2020-01-18,BOS,PHO,N/A,N/A,N/A,N/A,False
2020-01-20,BOS,LAL,32:27,20,6,4,True
2020-01-22,BOS,MEM,N/A,N/A,N/A,N/A,False
2020-01-24,BOS,ORL,N/A,N/A,N/A,N/A,False
2020-01-26,BOS,NOP,36:14,20,1,2,True
2020-01-28,BOS,MIA,40:47,25,5,3,True
2020-01-30,BOS,GSW,26:39,18,2,7,True
2020-02-01,BOS,PHI,36:21,32,1,9,True
2020-02-03,BOS,ATL,32:35,21,0,5,True
2020-02-05,BOS,ORL,38:16,18,0,5,True
2020-02-07,BOS,ATL,N/A,N/A,N/A,N/A,False
2020-02-09,BOS,OKC,34:23,17,2,3,True
2020-02-11,BOS,HOU,32:39,19,1,3,True
2020-02-13,BOS,LAC,N/A,N/A,N/A,N/A,False
2020-02-21,BOS,MIN,33:17,25,0,8,True
2020-02-23,BOS,LAL,38:55,20,2,6,True
2020-02-25,BOS,POR,34:14,24,2,7,True
2020-02-26,BOS,UTA,36:55,20,2,6,True
2020-02-29,BOS,HOU,44:08,22,3,5,True
2020-03-03,BOS,BRK,34:46,22,3,5,True
2020-03-04,BOS,CLE,N/A,N/A,N/A,N/A,False
2020-03-06,BOS,UTA,N/A,N/A,N/A,N/A,False
2020-03-08,BOS,OKC,N/A,N/A,N/A,N/A,False
2020-03-10,BOS,IND,N/A,N/A,N/A,N/A,False
2020-07-31,BOS,MIL,33:55,22,1,4,True
2020-08-02,BOS,POR,36:33,30,1,6,True
2020-08-04,BOS,MIA,38:36,18,0,10,True
2020-08-05,BOS,BRK,23:57,21,2,4,True
2020-08-07,BOS,TOR,31:42,20,2,6,True
2020-08-09,BOS,ORL,38:45,19,1,12,True
2020-08-11,BOS,MEM,28:14,7,2,4,True
2020-08-13,BOS,WAS,N/A,N/A,N/A,N/A,False
