Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,DAL,PHO,19:07,3,1,1,False
2018-10-20,DAL,MIN,20:03,7,1,0,False
2018-10-22,DAL,CHI,14:33,6,2,1,False
2018-10-24,DAL,ATL,18:33,6,1,5,False
2018-10-26,DAL,TOR,29:41,8,4,3,True
2018-10-28,DAL,UTA,12:15,2,1,0,False
2018-10-29,DAL,SAS,14:01,6,1,0,False
2018-10-31,DAL,LAL,11:07,4,1,1,False
2018-11-02,DAL,NYK,3:27,0,0,1,False
2018-11-06,DAL,WAS,1:16,0,0,0,False
2018-11-07,DAL,UTA,15:47,11,2,2,False
2018-11-10,DAL,OKC,1:38,0,1,0,False
2018-11-12,DAL,CHI,12:54,2,0,3,False
2018-11-14,DAL,UTA,8:32,9,4,2,False
2018-11-17,DAL,GSW,N/A,N/A,N/A,N/A,False
2018-11-19,DAL,MEM,24:57,8,4,4,False
2018-11-21,DAL,BRK,N/A,N/A,N/A,N/A,False
2018-11-24,DAL,BOS,8:36,2,0,0,False
2018-11-28,DAL,HOU,4:42,0,0,0,False
2018-11-30,DAL,LAL,2:36,2,1,1,False
2018-12-02,DAL,LAC,5:22,0,0,0,False
2018-12-04,DAL,POR,N/A,N/A,N/A,N/A,False
2018-12-05,DAL,NOP,25:03,11,7,2,False
2018-12-08,DAL,HOU,30:10,14,3,0,True
2018-12-10,DAL,ORL,31:38,17,4,3,True
2018-12-12,DAL,ATL,22:54,5,2,0,True
2018-12-13,DAL,PHO,20:44,13,1,1,False
2018-12-16,DAL,SAC,30:11,12,3,4,True
2018-12-18,DAL,DEN,24:33,8,1,0,True
2018-12-20,DAL,LAC,20:52,7,2,3,True
2018-12-22,DAL,GSW,24:27,10,3,2,True
2018-12-23,DAL,POR,32:45,11,3,6,True
2018-12-26,DAL,NOP,N/A,N/A,N/A,N/A,False
2018-12-28,DAL,NOP,N/A,N/A,N/A,N/A,False
2018-12-30,DAL,OKC,N/A,N/A,N/A,N/A,False
2018-12-31,DAL,OKC,9:40,2,3,0,False
2019-01-02,DAL,CHO,12:00,2,4,0,False
2019-01-04,DAL,BOS,2:24,0,1,0,False
2019-01-05,DAL,PHI,25:45,13,8,11,False
2019-01-07,DAL,LAL,N/A,N/A,N/A,N/A,False
2019-01-09,DAL,PHO,14:45,7,1,0,False
2019-01-11,DAL,MIN,16:12,9,2,0,False
2019-01-13,DAL,GSW,29:49,12,1,4,False
2019-01-16,DAL,SAS,20:04,6,3,1,False
2019-01-19,DAL,IND,21:50,12,4,3,False
2019-01-21,DAL,MIL,29:46,16,5,3,True
2019-01-22,DAL,LAC,3:47,0,0,0,False
2019-01-25,DAL,DET,N/A,N/A,N/A,N/A,False
2019-01-27,DAL,TOR,5:59,4,1,1,False
2019-01-30,DAL,NYK,10:03,3,3,3,False
2019-01-31,DAL,DET,32:40,9,6,2,True
2019-02-02,DAL,CLE,32:43,15,4,6,True
2019-02-06,DAL,CHO,30:24,8,5,7,True
2019-02-08,DAL,MIL,24:03,5,3,3,True
2019-02-10,DAL,POR,23:31,5,7,2,True
2019-02-11,DAL,HOU,25:58,13,1,5,True
2019-02-13,DAL,MIA,23:24,6,4,4,False
2019-02-22,DAL,DEN,30:29,22,5,2,True
2019-02-23,DAL,UTA,24:54,13,2,5,True
2019-02-25,DAL,LAC,20:47,8,3,1,False
2019-02-27,DAL,IND,33:56,24,5,3,True
2019-03-02,DAL,MEM,28:20,2,2,4,True
2019-03-04,DAL,BRK,19:45,10,1,3,True
2019-03-06,DAL,WAS,36:13,11,8,1,True
2019-03-08,DAL,ORL,30:29,18,9,2,True
2019-03-10,DAL,HOU,34:30,18,4,7,True
2019-03-12,DAL,SAS,36:31,34,4,5,True
2019-03-14,DAL,DEN,39:23,20,4,5,True
2019-03-16,DAL,CLE,26:25,16,7,2,True
2019-03-18,DAL,NOP,39:09,14,4,3,True
2019-03-20,DAL,POR,26:09,16,3,2,True
2019-03-21,DAL,SAC,27:41,10,2,3,True
2019-03-23,DAL,GSW,23:37,11,5,4,True
2019-03-26,DAL,SAC,29:41,15,3,0,True
2019-03-28,DAL,MIA,31:40,13,4,3,True
2019-03-31,DAL,OKC,30:25,18,4,2,True
2019-04-01,DAL,PHI,18:55,13,7,0,True
2019-04-03,DAL,MIN,31:45,9,3,3,True
2019-04-05,DAL,MEM,N/A,N/A,N/A,N/A,False
2019-04-07,DAL,MEM,23:40,12,10,2,True
2019-04-09,DAL,PHO,29:24,9,2,4,False
2019-04-10,DAL,SAS,30:15,11,10,3,True
