Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,UTA,SAC,17:59,13,4,3,False
2018-10-19,UTA,GSW,11:43,5,0,0,False
2018-10-22,UTA,MEM,5:54,0,0,0,False
2018-10-24,UTA,HOU,4:40,5,0,2,False
2018-10-27,UTA,NOP,14:51,7,1,2,False
2018-10-28,UTA,DAL,N/A,N/A,N/A,N/A,False
2018-10-31,UTA,MIN,N/A,N/A,N/A,N/A,False
2018-11-02,UTA,MEM,N/A,N/A,N/A,N/A,False
2018-11-03,UTA,DEN,N/A,N/A,N/A,N/A,False
2018-11-05,UTA,TOR,26:30,22,3,0,False
2018-11-07,UTA,DAL,15:02,18,0,0,False
2018-11-09,UTA,BOS,21:12,5,1,0,False
2018-11-12,UTA,MEM,22:49,10,2,4,False
2018-11-14,UTA,DAL,16:39,5,2,2,False
2018-11-16,UTA,PHI,11:26,4,2,1,False
2018-11-17,UTA,BOS,12:30,2,0,0,False
2018-11-19,UTA,IND,11:25,4,1,0,False
2018-11-21,UTA,SAC,16:34,7,0,2,False
2018-11-23,UTA,LAL,22:20,17,0,5,False
2018-11-25,UTA,SAC,21:29,14,3,4,False
2018-11-26,UTA,IND,16:17,5,1,2,False
2018-11-28,UTA,BRK,N/A,N/A,N/A,N/A,False
2018-11-30,CLE,BOS,26:25,15,4,6,False
2018-12-01,CLE,TOR,23:57,13,0,6,False
2018-12-03,CLE,BRK,28:57,13,1,7,False
2018-12-05,CLE,GSW,22:44,9,1,2,False
2018-12-07,CLE,SAC,37:56,22,9,7,False
2018-12-08,CLE,WAS,34:15,14,4,7,True
2018-12-10,CLE,MIL,29:04,3,3,1,True
2018-12-12,CLE,NYK,26:08,1,2,7,True
2018-12-14,CLE,MIL,27:18,12,1,9,True
2018-12-16,CLE,PHI,26:05,5,0,2,True
2018-12-18,CLE,IND,26:23,14,1,5,False
2018-12-19,CLE,CHO,25:04,8,6,4,False
2018-12-21,CLE,TOR,28:35,9,2,6,False
2018-12-23,CLE,CHI,28:11,12,3,6,True
2018-12-26,CLE,MEM,28:53,7,2,5,True
2018-12-28,CLE,MIA,29:30,17,5,6,True
2018-12-29,CLE,ATL,40:01,17,5,5,True
2019-01-02,CLE,MIA,27:24,9,0,3,True
2019-01-04,CLE,UTA,29:36,17,2,3,False
2019-01-05,CLE,NOP,35:36,8,6,3,True
2019-01-08,CLE,IND,29:52,19,0,7,True
2019-01-09,CLE,NOP,26:38,17,2,0,True
2019-01-11,CLE,HOU,27:19,13,4,7,True
2019-01-13,CLE,LAL,32:52,17,4,13,True
2019-01-16,CLE,POR,23:46,7,0,3,True
2019-01-18,CLE,UTA,23:48,6,2,6,True
2019-01-19,CLE,DEN,21:40,8,2,4,False
2019-01-21,CLE,CHI,17:12,3,0,5,True
2019-01-23,CLE,BOS,25:33,10,6,9,True
2019-01-25,CLE,MIA,29:56,13,3,7,True
2019-01-27,CLE,CHI,32:20,18,2,8,True
2019-01-29,CLE,WAS,35:10,8,9,5,True
2019-02-02,CLE,DAL,33:37,11,5,8,True
2019-02-05,CLE,BOS,37:19,21,2,4,True
2019-02-08,SAC,MIA,14:41,9,1,4,False
2019-02-10,SAC,PHO,21:08,0,0,3,False
2019-02-13,SAC,DEN,7:00,0,2,2,False
2019-02-21,SAC,GSW,5:19,0,0,2,False
2019-02-23,SAC,OKC,15:50,4,0,1,False
2019-02-25,SAC,MIN,7:33,1,1,0,False
2019-02-27,SAC,MIL,N/A,N/A,N/A,N/A,False
2019-03-01,SAC,LAC,13:30,4,0,3,False
2019-03-04,SAC,NYK,N/A,N/A,N/A,N/A,False
2019-03-06,SAC,BOS,3:47,0,0,0,False
2019-03-09,SAC,NYK,N/A,N/A,N/A,N/A,False
2019-03-11,SAC,WAS,4:34,4,1,0,False
2019-03-14,SAC,BOS,10:33,0,1,1,False
2019-03-15,SAC,PHI,N/A,N/A,N/A,N/A,False
2019-03-17,SAC,CHI,9:31,0,2,2,False
2019-03-19,SAC,BRK,N/A,N/A,N/A,N/A,False
2019-03-21,SAC,DAL,N/A,N/A,N/A,N/A,False
2019-03-23,SAC,PHO,N/A,N/A,N/A,N/A,False
2019-03-24,SAC,LAL,N/A,N/A,N/A,N/A,False
2019-03-26,SAC,DAL,N/A,N/A,N/A,N/A,False
2019-03-28,SAC,NOP,N/A,N/A,N/A,N/A,False
2019-03-30,SAC,HOU,6:57,0,1,2,False
2019-03-31,SAC,SAS,N/A,N/A,N/A,N/A,False
2019-04-02,SAC,HOU,6:08,0,1,2,False
2019-04-04,SAC,CLE,N/A,N/A,N/A,N/A,False
2019-04-05,SAC,UTA,N/A,N/A,N/A,N/A,False
2019-04-07,SAC,NOP,N/A,N/A,N/A,N/A,False
2019-04-10,SAC,POR,N/A,N/A,N/A,N/A,False
