Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,MIA,MEM,N/A,N/A,N/A,N/A,False
2019-10-26,MIA,MIL,N/A,N/A,N/A,N/A,False
2019-10-27,MIA,MIN,N/A,N/A,N/A,N/A,False
2019-10-29,MIA,ATL,30:40,21,2,5,True
2019-10-31,MIA,ATL,35:11,5,11,9,True
2019-11-03,MIA,HOU,27:27,18,9,7,True
2019-11-05,MIA,DEN,29:18,16,4,7,True
2019-11-07,MIA,PHO,33:59,34,4,5,True
2019-11-08,MIA,LAL,38:06,22,3,6,True
2019-11-12,MIA,DET,38:57,20,13,3,True
2019-11-14,MIA,CLE,38:49,14,6,2,True
2019-11-16,MIA,NOP,37:41,16,13,8,True
2019-11-20,MIA,CLE,32:26,21,5,5,True
2019-11-22,MIA,CHI,34:25,27,7,5,True
2019-11-23,MIA,PHI,30:04,11,3,5,True
2019-11-25,MIA,CHO,31:05,21,7,3,True
2019-11-27,MIA,HOU,N/A,N/A,N/A,N/A,False
2019-11-29,MIA,GSW,27:46,16,6,6,True
2019-12-01,MIA,BRK,35:15,20,2,7,True
2019-12-03,MIA,TOR,41:08,22,12,13,True
2019-12-04,MIA,BOS,37:14,37,4,6,True
2019-12-06,MIA,WAS,36:27,28,11,11,True
2019-12-08,MIA,CHI,44:11,23,7,6,True
2019-12-10,MIA,ATL,41:44,20,10,18,True
2019-12-13,MIA,LAL,37:09,23,3,3,True
2019-12-14,MIA,DAL,43:01,27,7,4,True
2019-12-16,MIA,MEM,38:54,25,8,4,True
2019-12-18,MIA,PHI,33:46,14,5,7,True
2019-12-20,MIA,NYK,27:53,9,8,5,True
2019-12-23,MIA,UTA,34:03,20,2,8,True
2019-12-27,MIA,IND,32:55,20,6,9,True
2019-12-28,MIA,PHI,41:34,25,9,9,True
2019-12-30,MIA,WAS,36:39,27,4,6,True
2020-01-02,MIA,TOR,33:56,8,7,12,True
2020-01-03,MIA,ORL,34:41,23,7,10,True
2020-01-05,MIA,POR,N/A,N/A,N/A,N/A,False
2020-01-08,MIA,IND,28:09,14,7,6,True
2020-01-10,MIA,BRK,35:44,33,2,9,True
2020-01-12,MIA,NYK,34:55,25,6,11,True
2020-01-15,MIA,SAS,33:44,12,4,3,True
2020-01-17,MIA,OKC,34:18,14,7,10,True
2020-01-19,MIA,SAS,33:13,16,6,5,True
2020-01-20,MIA,SAC,N/A,N/A,N/A,N/A,False
2020-01-22,MIA,WAS,33:56,24,10,7,True
2020-01-24,MIA,LAC,29:50,20,7,8,True
2020-01-27,MIA,ORL,30:26,19,7,3,True
2020-01-28,MIA,BOS,36:29,20,2,6,True
2020-02-01,MIA,ORL,34:07,24,3,3,True
2020-02-03,MIA,PHI,28:39,38,2,7,True
2020-02-05,MIA,LAC,25:43,11,7,5,True
2020-02-07,MIA,SAC,N/A,N/A,N/A,N/A,False
2020-02-09,MIA,POR,N/A,N/A,N/A,N/A,False
2020-02-10,MIA,GSW,33:04,21,5,10,True
2020-02-12,MIA,UTA,33:07,25,1,8,True
2020-02-20,MIA,ATL,34:21,17,9,8,True
2020-02-22,MIA,CLE,N/A,N/A,N/A,N/A,False
2020-02-24,MIA,CLE,N/A,N/A,N/A,N/A,False
2020-02-26,MIA,MIN,35:12,18,9,4,True
2020-02-28,MIA,DAL,33:10,26,3,5,True
2020-02-29,MIA,BRK,36:22,16,8,6,True
2020-03-02,MIA,MIL,34:59,18,7,6,True
2020-03-04,MIA,ORL,33:42,12,8,7,True
2020-03-06,MIA,NOP,37:20,28,6,8,True
2020-03-08,MIA,WAS,24:27,9,0,0,True
2020-03-11,MIA,CHO,N/A,N/A,N/A,N/A,False
2020-08-01,MIA,DEN,29:59,22,7,4,True
2020-08-03,MIA,TOR,33:14,16,5,7,True
2020-08-04,MIA,BOS,N/A,N/A,N/A,N/A,False
2020-08-06,MIA,MIL,N/A,N/A,N/A,N/A,False
2020-08-08,MIA,PHO,N/A,N/A,N/A,N/A,False
2020-08-10,MIA,IND,28:49,19,5,11,True
2020-08-12,MIA,OKC,15:50,7,2,5,True
2020-08-14,MIA,IND,N/A,N/A,N/A,N/A,False
