Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-18,LAL,POR,27:18,5,0,2,True
2018-10-20,LAL,HOU,18:08,5,1,3,True
2018-10-22,LAL,SAS,19:03,4,0,2,True
2018-10-24,LAL,PHO,32:43,14,1,2,False
2018-10-25,LAL,DEN,22:01,8,0,2,False
2018-10-27,LAL,SAS,16:04,2,1,1,False
2018-10-29,LAL,MIN,6:45,0,0,1,False
2018-10-31,LAL,DAL,20:54,9,0,2,False
2018-11-03,LAL,POR,15:05,7,0,1,False
2018-11-04,LAL,TOR,16:58,2,0,2,False
2018-11-07,LAL,MIN,12:57,5,0,1,False
2018-11-10,LAL,SAC,17:40,11,1,2,False
2018-11-11,LAL,ATL,15:58,11,2,2,False
2018-11-14,LAL,POR,17:22,13,2,4,False
2018-11-17,LAL,ORL,28:19,10,0,4,False
2018-11-18,LAL,MIA,28:00,19,0,4,False
2018-11-21,LAL,CLE,24:31,13,1,5,False
2018-11-23,LAL,UTA,26:50,5,1,2,False
2018-11-25,LAL,ORL,27:16,5,1,2,False
2018-11-27,LAL,DEN,23:33,3,0,1,False
2018-11-29,LAL,IND,17:47,11,1,2,False
2018-11-30,LAL,DAL,24:13,13,1,3,False
2018-12-02,LAL,PHO,21:53,6,0,3,False
2018-12-05,LAL,SAS,28:18,12,0,7,False
2018-12-07,LAL,SAS,26:46,12,0,0,False
2018-12-08,LAL,MEM,21:29,16,1,1,False
2018-12-10,LAL,MIA,23:48,11,3,2,False
2018-12-13,LAL,HOU,22:01,8,3,1,False
2018-12-15,LAL,CHO,21:11,11,0,2,False
2018-12-16,LAL,WAS,27:29,25,5,6,False
2018-12-18,LAL,BRK,37:30,6,2,5,False
2018-12-21,LAL,NOP,15:17,5,0,2,False
2018-12-23,LAL,MEM,19:07,10,1,1,False
2018-12-25,LAL,GSW,25:44,9,1,3,False
2018-12-27,LAL,SAC,27:58,4,2,3,False
2018-12-28,LAL,LAC,26:03,14,1,4,False
2018-12-30,LAL,SAC,28:28,26,1,3,False
2019-01-02,LAL,OKC,34:08,25,2,3,False
2019-01-04,LAL,NYK,36:09,19,3,6,True
2019-01-06,LAL,MIN,22:22,9,1,0,False
2019-01-07,LAL,DAL,21:13,3,3,1,False
2019-01-09,LAL,DET,26:16,15,4,6,False
2019-01-11,LAL,UTA,26:41,12,0,5,False
2019-01-13,LAL,CLE,26:06,4,4,4,False
2019-01-15,LAL,CHI,31:08,17,1,4,True
2019-01-17,LAL,OKC,23:22,13,1,2,True
2019-01-19,LAL,HOU,39:47,8,0,4,True
2019-01-21,LAL,GSW,21:40,4,2,2,True
2019-01-24,LAL,MIN,27:23,13,3,2,True
2019-01-27,LAL,PHO,36:15,24,0,6,True
2019-01-29,LAL,PHI,25:39,12,2,2,True
2019-01-31,LAL,LAC,11:07,8,0,3,False
2019-02-02,LAL,GSW,27:12,12,0,6,True
2019-02-05,LAL,IND,23:28,2,2,3,False
2019-02-07,LAL,BOS,23:16,17,1,0,False
2019-02-10,LAL,PHI,27:13,6,1,3,False
2019-02-12,LAL,ATL,25:06,13,0,2,False
2019-02-21,LAL,HOU,21:19,6,0,3,False
2019-02-23,LAL,NOP,15:52,7,1,0,False
2019-02-25,LAL,MEM,17:48,2,1,3,False
2019-02-27,LAL,NOP,7:21,2,1,0,False
2019-03-01,LAL,MIL,22:31,7,2,3,False
2019-03-02,LAL,PHO,15:27,4,1,0,False
2019-03-04,LAL,LAC,20:04,4,1,1,False
2019-03-06,LAL,DEN,6:58,0,0,1,False
2019-03-09,LAL,BOS,16:13,2,0,0,True
2019-03-12,LAL,CHI,31:24,24,1,6,False
2019-03-14,LAL,TOR,22:19,9,2,5,False
2019-03-15,LAL,DET,29:41,17,1,2,False
2019-03-17,LAL,NYK,27:37,11,0,4,False
2019-03-19,LAL,MIL,34:10,35,1,3,False
2019-03-22,LAL,BRK,33:01,7,1,4,False
2019-03-24,LAL,SAC,33:09,16,4,8,True
2019-03-26,LAL,WAS,35:35,29,1,5,True
2019-03-27,LAL,UTA,27:33,7,0,4,True
2019-03-29,LAL,CHO,33:16,25,4,4,True
2019-03-31,LAL,NOP,28:50,19,0,1,True
2019-04-02,LAL,OKC,39:47,23,4,5,True
2019-04-04,LAL,GSW,21:21,7,3,2,True
2019-04-05,LAL,LAC,40:11,25,4,6,True
2019-04-07,LAL,UTA,41:38,32,6,6,True
2019-04-09,LAL,POR,43:57,32,8,5,True
