Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,CHI,ATL,25:46,6,2,6,True
2020-12-26,CHI,IND,27:21,9,2,6,True
2020-12-27,CHI,GSW,31:28,22,4,13,True
2020-12-29,CHI,WAS,34:11,10,3,12,True
2020-12-31,CHI,WAS,22:58,16,1,5,True
2021-01-01,CHI,MIL,25:08,12,3,5,True
2021-01-03,CHI,DAL,22:50,7,1,7,True
2021-01-05,CHI,POR,25:14,13,5,3,True
2021-01-06,CHI,SAC,29:57,11,4,17,True
2021-01-08,CHI,LAL,25:15,23,3,7,True
2021-01-10,CHI,LAC,26:48,12,2,5,True
2021-01-15,CHI,OKC,32:54,16,2,11,True
2021-01-17,CHI,DAL,26:33,12,1,7,True
2021-01-18,CHI,HOU,20:47,10,1,8,True
2021-01-22,CHI,CHO,N/A,N/A,N/A,N/A,False
2021-01-23,CHI,LAL,N/A,N/A,N/A,N/A,False
2021-01-25,CHI,BOS,N/A,N/A,N/A,N/A,False
2021-01-30,CHI,POR,N/A,N/A,N/A,N/A,False
2021-02-01,CHI,NYK,N/A,N/A,N/A,N/A,False
2021-02-03,CHI,NYK,N/A,N/A,N/A,N/A,False
2021-02-05,CHI,ORL,N/A,N/A,N/A,N/A,False
2021-02-06,CHI,ORL,N/A,N/A,N/A,N/A,False
2021-02-08,CHI,WAS,N/A,N/A,N/A,N/A,False
2021-02-10,CHI,NOP,N/A,N/A,N/A,N/A,False
2021-02-12,CHI,LAC,N/A,N/A,N/A,N/A,False
2021-02-15,CHI,IND,20:59,11,1,9,True
2021-02-17,CHI,DET,26:44,18,0,3,True
2021-02-19,CHI,PHI,24:56,15,1,4,True
2021-02-20,CHI,SAC,33:08,7,5,5,True
2021-02-22,CHI,HOU,28:49,18,1,13,True
2021-02-24,CHI,MIN,31:39,17,2,10,True
2021-02-26,CHI,PHO,24:34,2,2,5,True
2021-03-01,CHI,DEN,22:42,8,2,3,True
2021-03-03,CHI,NOP,27:27,7,4,15,True
2021-03-11,CHI,PHI,15:06,8,1,9,True
2021-03-12,CHI,MIA,22:27,4,3,10,True
2021-03-14,CHI,TOR,18:51,12,1,11,False
2021-03-16,CHI,OKC,22:45,9,2,9,False
2021-03-17,CHI,SAS,17:16,10,2,6,False
2021-03-19,CHI,DEN,23:26,6,5,6,False
2021-03-21,CHI,DET,13:37,4,0,3,False
2021-03-22,CHI,UTA,17:52,6,2,8,False
2021-03-24,CHI,CLE,22:23,7,1,9,False
2021-03-26,ORL,POR,N/A,N/A,N/A,N/A,False
2021-03-28,ORL,LAL,20:15,8,0,8,False
2021-03-30,ORL,LAC,18:03,11,3,6,False
2021-04-01,ORL,NOP,30:59,21,2,12,False
2021-04-03,ORL,UTA,34:11,19,1,12,True
2021-04-04,ORL,DEN,34:47,16,4,9,True
2021-04-07,ORL,WAS,23:13,15,1,4,True
2021-04-09,ORL,IND,25:48,8,0,9,True
2021-04-11,ORL,MIL,27:10,8,2,7,True
2021-04-12,ORL,SAS,29:56,15,4,8,True
2021-04-14,ORL,CHI,31:14,19,4,12,True
2021-04-16,ORL,TOR,31:33,20,1,9,True
2021-04-18,ORL,HOU,31:35,11,1,10,True
2021-04-20,ORL,ATL,25:50,17,0,9,True
2021-04-22,ORL,NOP,N/A,N/A,N/A,N/A,False
2021-04-25,ORL,IND,20:44,10,1,13,True
2021-04-26,ORL,LAL,28:57,10,0,8,True
2021-04-28,ORL,CLE,21:06,5,2,7,True
2021-04-30,ORL,MEM,22:02,8,2,8,True
2021-05-01,ORL,MEM,26:57,6,1,4,True
2021-05-03,ORL,DET,19:23,11,1,5,True
2021-05-05,ORL,BOS,N/A,N/A,N/A,N/A,False
2021-05-07,ORL,CHO,N/A,N/A,N/A,N/A,False
2021-05-09,ORL,MIN,N/A,N/A,N/A,N/A,False
2021-05-11,ORL,MIL,30:57,8,4,14,True
2021-05-13,ORL,ATL,27:20,12,0,11,True
2021-05-14,ORL,PHI,21:29,0,1,8,True
2021-05-16,ORL,PHI,N/A,N/A,N/A,N/A,False
