Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,TOR,CLE,N/A,N/A,N/A,N/A,False
2022-10-21,TOR,BRK,N/A,N/A,N/A,N/A,False
2022-10-22,TOR,MIA,N/A,N/A,N/A,N/A,False
2022-10-24,TOR,MIA,N/A,N/A,N/A,N/A,False
2022-10-26,TOR,PHI,N/A,N/A,N/A,N/A,False
2022-10-28,TOR,PHI,3:14,2,0,1,False
2022-10-31,TOR,ATL,5:22,4,0,2,False
2022-11-02,TOR,SAS,N/A,N/A,N/A,N/A,False
2022-11-04,TOR,DAL,N/A,N/A,N/A,N/A,False
2022-11-06,TOR,CHI,N/A,N/A,N/A,N/A,False
2022-11-07,TOR,CHI,N/A,N/A,N/A,N/A,False
2022-11-09,TOR,HOU,N/A,N/A,N/A,N/A,False
2022-11-11,TOR,OKC,N/A,N/A,N/A,N/A,False
2022-11-12,TOR,IND,N/A,N/A,N/A,N/A,False
2022-11-14,TOR,DET,N/A,N/A,N/A,N/A,False
2022-11-16,TOR,MIA,N/A,N/A,N/A,N/A,False
2022-11-19,TOR,ATL,N/A,N/A,N/A,N/A,False
2022-11-23,TOR,BRK,N/A,N/A,N/A,N/A,False
2022-11-26,TOR,DAL,N/A,N/A,N/A,N/A,False
2022-11-28,TOR,CLE,N/A,N/A,N/A,N/A,False
2022-11-30,TOR,NOP,N/A,N/A,N/A,N/A,False
2022-12-02,TOR,BRK,N/A,N/A,N/A,N/A,False
2022-12-03,TOR,ORL,N/A,N/A,N/A,N/A,False
2022-12-05,TOR,BOS,N/A,N/A,N/A,N/A,False
2022-12-07,TOR,LAL,2:19,0,1,1,False
2022-12-09,TOR,ORL,N/A,N/A,N/A,N/A,False
2022-12-11,TOR,ORL,N/A,N/A,N/A,N/A,False
2022-12-14,TOR,SAC,N/A,N/A,N/A,N/A,False
2022-12-16,TOR,BRK,N/A,N/A,N/A,N/A,False
2022-12-18,TOR,GSW,N/A,N/A,N/A,N/A,False
2022-12-19,TOR,PHI,N/A,N/A,N/A,N/A,False
2022-12-21,TOR,NYK,N/A,N/A,N/A,N/A,False
2022-12-23,TOR,CLE,N/A,N/A,N/A,N/A,False
2022-12-27,TOR,LAC,N/A,N/A,N/A,N/A,False
2022-12-29,TOR,MEM,N/A,N/A,N/A,N/A,False
2023-04-07,BOS,TOR,3:32,0,0,0,False
2023-04-09,BOS,ATL,19:50,5,3,4,False
