Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,CLE,TOR,23:09,15,0,3,False
2018-10-19,CLE,MIN,23:42,19,1,4,False
2018-10-21,CLE,ATL,23:02,19,2,3,False
2018-10-24,CLE,BRK,22:35,14,3,5,False
2018-10-25,CLE,DET,20:40,18,0,1,False
2018-10-27,CLE,IND,19:34,12,1,1,False
2018-10-30,CLE,ATL,27:15,15,1,2,False
2018-11-01,CLE,DEN,19:43,17,0,4,False
2018-11-03,CLE,CHO,21:24,13,0,0,False
2018-11-05,CLE,ORL,25:34,14,1,0,False
2018-11-07,CLE,OKC,32:55,11,8,9,False
2018-11-10,CLE,CHI,24:59,15,4,5,False
2018-11-13,CLE,CHO,27:32,24,2,5,False
2018-11-14,CLE,WAS,27:21,9,1,2,False
2018-11-19,CLE,DET,25:28,16,4,4,False
2018-11-21,CLE,LAL,26:30,20,5,2,False
2018-11-23,CLE,PHI,20:07,19,0,3,False
2018-11-24,CLE,HOU,27:54,20,4,5,False
2018-11-26,CLE,MIN,21:36,4,2,2,False
2018-11-28,CLE,OKC,31:39,25,2,3,False
2018-11-30,CLE,BOS,21:44,16,0,1,False
2018-12-01,CLE,TOR,29:01,18,2,2,False
2018-12-03,CLE,BRK,28:03,20,4,11,False
2018-12-05,CLE,GSW,30:02,17,3,1,False
2018-12-07,CLE,SAC,29:53,26,1,4,False
2018-12-08,CLE,WAS,22:39,7,2,2,False
2018-12-10,CLE,MIL,20:16,9,3,5,False
2018-12-12,CLE,NYK,34:02,28,2,5,False
2018-12-14,CLE,MIL,32:46,23,4,5,False
2018-12-16,CLE,PHI,27:37,18,4,6,False
2018-12-18,CLE,IND,N/A,N/A,N/A,N/A,False
2018-12-19,CLE,CHO,35:16,20,2,3,False
2018-12-21,CLE,TOR,32:42,20,4,4,False
2018-12-23,CLE,CHI,30:52,17,1,1,False
2018-12-26,CLE,MEM,30:52,24,2,5,False
2018-12-28,CLE,MIA,31:13,18,4,5,False
2018-12-29,CLE,ATL,28:50,15,2,2,False
2019-01-02,CLE,MIA,24:41,11,5,0,False
2019-01-04,CLE,UTA,19:09,12,1,0,False
2019-01-05,CLE,NOP,24:10,23,3,4,False
2019-01-08,CLE,IND,32:09,26,1,2,False
2019-01-09,CLE,NOP,29:51,21,2,4,False
2019-01-11,CLE,HOU,25:06,12,1,3,False
2019-01-13,CLE,LAL,27:33,9,2,2,False
2019-01-16,CLE,POR,29:10,22,3,0,False
2019-01-18,CLE,UTA,31:19,13,2,2,False
2019-01-19,CLE,DEN,23:27,13,1,4,False
2019-01-21,CLE,CHI,19:51,12,4,5,False
2019-01-23,CLE,BOS,22:25,14,1,0,False
2019-01-25,CLE,MIA,27:18,6,4,5,False
2019-01-27,CLE,CHI,21:55,18,6,7,False
2019-01-29,CLE,WAS,29:15,28,2,5,False
2019-02-02,CLE,DAL,30:41,19,2,3,False
2019-02-05,CLE,BOS,26:38,7,3,4,False
2019-02-08,CLE,WAS,31:41,24,3,6,False
2019-02-09,CLE,IND,31:16,18,6,2,False
2019-02-11,CLE,NYK,27:59,15,1,6,False
2019-02-13,CLE,BRK,47:32,42,5,8,False
2019-02-21,CLE,PHO,23:46,15,5,4,False
2019-02-23,CLE,MEM,21:47,5,1,1,False
2019-02-25,CLE,POR,28:29,19,2,5,False
2019-02-28,CLE,NYK,28:57,22,1,2,False
2019-03-02,CLE,DET,23:12,11,3,3,False
2019-03-03,CLE,ORL,26:37,18,2,1,False
2019-03-06,CLE,BRK,26:06,14,1,7,False
2019-03-08,CLE,MIA,28:46,21,1,2,False
2019-03-11,CLE,TOR,30:46,14,3,2,False
2019-03-12,CLE,PHI,30:14,13,2,5,False
2019-03-14,CLE,ORL,26:45,15,2,4,False
2019-03-16,CLE,DAL,30:25,17,2,2,False
2019-03-18,CLE,DET,27:22,14,1,2,False
2019-03-20,CLE,MIL,32:03,23,2,5,False
2019-03-22,CLE,LAC,33:22,20,2,5,False
2019-03-24,CLE,MIL,34:31,19,4,3,False
2019-03-26,CLE,BOS,29:54,18,5,2,False
2019-03-28,CLE,SAS,21:00,10,3,6,False
2019-03-30,CLE,LAC,24:07,26,2,0,False
2019-04-01,CLE,PHO,32:34,20,3,6,False
2019-04-04,CLE,SAC,31:28,22,3,2,False
2019-04-05,CLE,GSW,32:24,10,4,2,False
2019-04-07,CLE,SAS,25:18,2,0,0,False
2019-04-09,CLE,CHO,23:01,16,3,2,False
