Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-24,ATL,DET,30:14,18,1,10,True
2019-10-26,ATL,ORL,33:04,9,1,12,True
2019-10-28,ATL,PHI,28:54,16,1,8,True
2019-10-29,ATL,MIA,35:33,30,4,7,True
2019-10-31,ATL,MIA,33:04,12,1,7,True
2019-11-05,ATL,SAS,N/A,N/A,N/A,N/A,False
2019-11-06,ATL,CHI,N/A,N/A,N/A,N/A,False
2019-11-08,ATL,SAC,N/A,N/A,N/A,N/A,False
2019-11-10,ATL,POR,N/A,N/A,N/A,N/A,False
2019-11-12,ATL,DEN,N/A,N/A,N/A,N/A,False
2019-11-14,ATL,PHO,N/A,N/A,N/A,N/A,False
2019-11-16,ATL,LAC,N/A,N/A,N/A,N/A,False
2019-11-17,ATL,LAL,N/A,N/A,N/A,N/A,False
2019-11-20,ATL,MIL,N/A,N/A,N/A,N/A,False
2019-11-22,ATL,DET,N/A,N/A,N/A,N/A,False
2019-11-23,ATL,TOR,N/A,N/A,N/A,N/A,False
2019-11-25,ATL,MIN,N/A,N/A,N/A,N/A,False
2019-11-27,ATL,MIL,N/A,N/A,N/A,N/A,False
2019-11-29,ATL,IND,N/A,N/A,N/A,N/A,False
2019-11-30,ATL,HOU,N/A,N/A,N/A,N/A,False
2019-12-02,ATL,GSW,N/A,N/A,N/A,N/A,False
2019-12-04,ATL,BRK,N/A,N/A,N/A,N/A,False
2019-12-08,ATL,CHO,N/A,N/A,N/A,N/A,False
2019-12-10,ATL,MIA,N/A,N/A,N/A,N/A,False
2019-12-11,ATL,CHI,N/A,N/A,N/A,N/A,False
2019-12-13,ATL,IND,N/A,N/A,N/A,N/A,False
2019-12-15,ATL,LAL,N/A,N/A,N/A,N/A,False
2019-12-17,ATL,NYK,N/A,N/A,N/A,N/A,False
2019-12-19,ATL,UTA,N/A,N/A,N/A,N/A,False
2019-12-21,ATL,BRK,N/A,N/A,N/A,N/A,False
2019-12-23,ATL,CLE,34:50,27,0,10,True
2019-12-27,ATL,MIL,26:03,9,2,16,True
2019-12-28,ATL,CHI,32:59,34,2,8,True
2019-12-30,ATL,ORL,32:05,10,3,11,True
2020-01-03,ATL,BOS,22:06,16,1,8,True
2020-01-04,ATL,IND,N/A,N/A,N/A,N/A,False
2020-01-06,ATL,DEN,29:33,17,3,5,True
2020-01-08,ATL,HOU,32:40,17,0,14,True
2020-01-10,ATL,WAS,27:58,15,1,15,True
2020-01-12,ATL,BRK,28:12,8,3,5,True
2020-01-14,ATL,PHO,29:15,22,0,10,True
2020-01-17,ATL,SAS,26:29,18,0,10,True
2020-01-18,ATL,DET,27:11,20,0,5,True
2020-01-20,ATL,TOR,37:02,17,0,11,True
2020-01-22,ATL,LAC,35:43,33,2,16,True
2020-01-24,ATL,OKC,27:22,28,0,6,True
2020-01-26,ATL,WAS,22:29,16,2,8,True
2020-01-28,ATL,TOR,33:00,28,0,12,True
2020-01-30,ATL,PHI,33:51,17,0,20,True
2020-02-01,ATL,DAL,33:03,26,0,11,True
2020-02-03,ATL,BOS,38:07,22,3,11,True
2020-02-05,ATL,MIN,40:50,27,2,12,True
2020-02-07,ATL,BOS,38:23,30,1,10,True
2020-02-09,ATL,NYK,49:53,32,3,16,True
2020-02-10,ATL,ORL,33:11,22,2,8,True
2020-02-12,ATL,CLE,34:06,23,3,4,True
2020-02-20,ATL,MIA,30:24,12,1,7,True
2020-02-22,ATL,DAL,37:04,35,2,17,True
2020-02-24,ATL,PHI,39:07,21,1,9,True
2020-02-26,ATL,ORL,35:11,26,4,7,True
2020-02-28,ATL,BRK,32:05,33,2,13,True
2020-02-29,ATL,POR,36:08,24,4,10,True
2020-03-02,ATL,MEM,31:07,12,1,3,True
2020-03-06,ATL,WAS,29:05,26,1,10,True
2020-03-07,ATL,MEM,39:03,27,3,8,True
2020-03-09,ATL,CHO,45:37,28,0,11,True
2020-03-11,ATL,NYK,41:07,22,0,15,True
