Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-18,POR,LAL,26:19,6,2,6,False
2018-10-20,POR,SAS,15:23,11,0,5,False
2018-10-22,POR,WAS,19:16,7,0,5,False
2018-10-25,POR,ORL,17:40,17,2,6,False
2018-10-27,POR,MIA,23:48,13,0,4,False
2018-10-29,POR,IND,26:56,17,3,3,False
2018-10-30,POR,HOU,23:53,7,3,4,False
2018-11-01,POR,NOP,17:17,9,1,1,False
2018-11-03,POR,LAL,17:51,10,1,1,False
2018-11-04,POR,MIN,18:27,11,0,2,False
2018-11-06,POR,MIL,24:10,9,0,5,False
2018-11-08,POR,LAC,26:34,10,0,9,False
2018-11-11,POR,BOS,20:09,6,1,8,False
2018-11-14,POR,LAL,15:58,5,0,0,False
2018-11-16,POR,MIN,23:31,5,0,8,False
2018-11-18,POR,WAS,12:57,7,3,3,False
2018-11-20,POR,NYK,13:10,2,1,1,False
2018-11-21,POR,MIL,18:16,8,0,4,False
2018-11-23,POR,GSW,18:06,0,2,9,False
2018-11-25,POR,LAC,19:10,9,2,3,False
2018-11-28,POR,ORL,21:05,7,0,7,False
2018-11-30,POR,DEN,11:23,5,1,5,False
2018-12-02,POR,SAS,11:23,4,1,1,False
2018-12-04,POR,DAL,16:33,2,0,1,False
2018-12-06,POR,PHO,26:28,10,1,5,False
2018-12-08,POR,MIN,21:32,4,0,3,False
2018-12-11,POR,HOU,11:55,5,0,5,False
2018-12-12,POR,MEM,14:58,0,0,3,False
2018-12-14,POR,TOR,21:05,16,1,4,False
2018-12-17,POR,LAC,16:37,6,1,4,False
2018-12-19,POR,MEM,26:03,10,1,7,False
2018-12-21,POR,UTA,21:20,4,1,5,False
2018-12-23,POR,DAL,17:49,5,0,6,False
2018-12-25,POR,UTA,15:14,10,2,3,False
2018-12-27,POR,GSW,17:04,1,0,4,False
2018-12-29,POR,GSW,5:52,0,0,1,False
2018-12-30,POR,PHI,25:40,7,4,6,False
2019-01-01,POR,SAC,15:00,4,1,4,False
2019-01-04,POR,OKC,15:12,6,0,4,False
2019-01-05,POR,HOU,13:16,7,0,3,False
2019-01-07,POR,NYK,21:47,7,0,6,False
2019-01-09,POR,CHI,26:24,16,4,9,False
2019-01-11,POR,CHO,19:16,7,1,4,False
2019-01-13,POR,DEN,14:06,8,1,3,False
2019-01-14,POR,SAC,21:38,2,0,4,False
2019-01-16,POR,CLE,17:01,11,0,1,False
2019-01-18,POR,NOP,19:29,8,4,4,False
2019-01-21,POR,UTA,10:50,0,1,1,False
2019-01-22,POR,OKC,12:07,4,1,6,False
2019-01-24,POR,PHO,24:12,7,2,8,False
2019-01-26,POR,ATL,15:07,7,2,3,False
2019-01-30,POR,UTA,23:10,12,1,9,False
2019-02-05,POR,MIA,8:28,0,1,1,False
2019-02-07,POR,SAS,6:44,0,0,2,False
2019-02-10,POR,DAL,18:13,7,1,9,False
2019-02-11,POR,OKC,10:09,5,0,2,False
2019-02-13,POR,GSW,21:50,4,0,5,False
2019-02-21,POR,BRK,N/A,N/A,N/A,N/A,False
2019-02-23,POR,PHI,3:48,4,1,0,False
2019-02-25,POR,CLE,13:02,3,1,3,False
2019-02-27,POR,BOS,N/A,N/A,N/A,N/A,False
2019-03-01,POR,TOR,9:58,0,1,4,False
2019-03-03,POR,CHO,15:04,0,0,1,False
2019-03-05,POR,MEM,N/A,N/A,N/A,N/A,False
2019-03-07,POR,OKC,N/A,N/A,N/A,N/A,False
2019-03-09,POR,PHO,16:34,0,2,6,False
2019-03-12,POR,LAC,12:53,3,0,4,False
2019-03-15,POR,NOP,23:19,12,2,8,False
2019-03-16,POR,SAS,N/A,N/A,N/A,N/A,False
2019-03-18,POR,IND,20:58,4,1,3,False
2019-03-20,POR,DAL,12:29,3,0,2,False
2019-03-23,POR,DET,11:05,9,0,4,False
2019-03-25,POR,BRK,14:53,12,2,4,False
2019-03-27,POR,CHI,25:04,13,2,3,False
2019-03-29,POR,ATL,18:55,9,1,9,False
2019-03-30,POR,DET,13:05,4,0,4,False
2019-04-01,POR,MIN,26:38,8,1,2,False
2019-04-03,POR,MEM,22:22,18,0,6,False
2019-04-05,POR,DEN,15:48,4,1,4,False
2019-04-07,POR,DEN,18:56,6,1,4,False
2019-04-09,POR,LAL,12:30,0,0,2,False
2019-04-10,POR,SAC,13:22,13,1,6,False
