Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,MEM,IND,28:58,11,3,2,True
2018-10-19,MEM,ATL,25:00,16,11,4,True
2018-10-22,MEM,UTA,34:39,23,4,7,True
2018-10-24,MEM,SAC,36:10,27,5,6,True
2018-10-27,MEM,PHO,28:28,18,7,0,True
2018-10-30,MEM,WAS,35:12,19,7,3,True
2018-11-02,MEM,UTA,32:55,28,5,5,True
2018-11-04,MEM,PHO,26:52,12,5,1,True
2018-11-05,MEM,GSW,30:54,9,5,1,True
2018-11-07,MEM,DEN,36:15,4,8,3,True
2018-11-10,MEM,PHI,42:04,32,6,4,True
2018-11-12,MEM,UTA,35:43,24,3,4,True
2018-11-14,MEM,MIL,35:38,26,4,2,True
2018-11-16,MEM,SAC,34:28,19,6,3,True
2018-11-18,MEM,MIN,35:05,18,8,1,True
2018-11-19,MEM,DAL,35:07,28,7,5,True
2018-11-21,MEM,SAS,34:54,30,9,4,True
2018-11-23,MEM,LAC,29:59,19,11,3,True
2018-11-25,MEM,NYK,38:40,23,11,4,True
2018-11-27,MEM,TOR,34:31,20,6,5,True
2018-11-30,MEM,BRK,45:41,37,10,5,True
2018-12-02,MEM,PHI,33:29,21,5,2,True
2018-12-05,MEM,LAC,34:19,22,4,7,True
2018-12-07,MEM,NOP,34:35,9,10,3,True
2018-12-08,MEM,LAL,29:43,12,3,1,True
2018-12-10,MEM,DEN,31:42,19,6,1,True
2018-12-12,MEM,POR,32:01,23,6,6,True
2018-12-14,MEM,MIA,37:22,22,8,3,True
2018-12-15,MEM,HOU,37:08,22,6,2,True
2018-12-17,MEM,GSW,N/A,N/A,N/A,N/A,False
2018-12-19,MEM,POR,37:11,23,6,4,True
2018-12-21,MEM,SAC,32:12,23,5,7,True
2018-12-23,MEM,LAL,35:08,17,8,1,True
2018-12-26,MEM,CLE,33:11,15,8,2,True
2018-12-29,MEM,BOS,36:10,26,6,5,True
2018-12-31,MEM,HOU,36:44,19,5,6,True
2019-01-02,MEM,DET,28:29,0,1,3,True
2019-01-04,MEM,BRK,37:45,31,2,3,True
2019-01-05,MEM,SAS,25:20,21,3,1,True
2019-01-07,MEM,NOP,33:12,22,10,2,True
2019-01-09,MEM,SAS,31:38,15,6,2,True
2019-01-12,MEM,MIA,34:52,22,7,2,True
2019-01-14,MEM,HOU,33:00,14,7,7,True
2019-01-16,MEM,MIL,23:25,14,3,2,True
2019-01-18,MEM,BOS,35:49,26,4,0,True
2019-01-19,MEM,TOR,22:25,10,3,2,True
2019-01-21,MEM,NOP,37:28,20,8,4,True
2019-01-23,MEM,CHO,36:01,31,1,2,True
2019-01-25,MEM,SAC,34:06,16,9,6,True
2019-01-26,MEM,IND,31:44,22,11,4,True
2019-01-28,MEM,DEN,36:34,23,11,4,True
2019-01-30,MEM,MIN,41:45,26,8,5,True
2019-02-01,MEM,CHO,N/A,N/A,N/A,N/A,False
2019-02-03,MEM,NYK,34:07,25,7,8,True
2019-02-05,MEM,MIN,33:35,25,9,3,True
2019-02-07,MEM,OKC,27:36,15,7,2,True
2019-02-09,MEM,NOP,32:28,11,9,6,True
2019-02-12,MEM,SAS,N/A,N/A,N/A,N/A,False
2019-02-13,MEM,CHI,25:49,12,5,2,True
2019-02-22,MEM,LAC,35:31,25,10,3,True
2019-02-23,MEM,CLE,30:03,18,2,5,True
2019-02-25,MEM,LAL,32:17,30,5,2,True
2019-02-27,MEM,CHI,35:22,21,6,4,True
2019-03-02,MEM,DAL,23:07,12,2,1,True
2019-03-03,MEM,OKC,N/A,N/A,N/A,N/A,False
2019-03-05,MEM,POR,34:41,40,4,4,True
2019-03-08,MEM,UTA,32:21,28,11,3,True
2019-03-10,MEM,ORL,35:17,26,8,5,True
2019-03-13,MEM,ATL,25:55,20,7,4,True
2019-03-16,MEM,WAS,34:20,28,12,3,True
2019-03-20,MEM,HOU,42:18,35,8,5,True
2019-03-22,MEM,ORL,N/A,N/A,N/A,N/A,False
2019-03-23,MEM,MIN,35:10,23,3,3,True
2019-03-25,MEM,OKC,N/A,N/A,N/A,N/A,False
2019-03-27,MEM,GSW,32:09,22,8,1,True
2019-03-30,MEM,PHO,37:49,33,5,4,True
2019-03-31,MEM,LAC,N/A,N/A,N/A,N/A,False
2019-04-03,MEM,POR,N/A,N/A,N/A,N/A,False
2019-04-05,MEM,DAL,N/A,N/A,N/A,N/A,False
2019-04-07,MEM,DAL,N/A,N/A,N/A,N/A,False
2019-04-09,MEM,DET,N/A,N/A,N/A,N/A,False
2019-04-10,MEM,GSW,N/A,N/A,N/A,N/A,False
