Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-16,PHI,BOS,34:12,8,0,6,True
2018-10-18,PHI,CHI,29:08,20,2,5,True
2018-10-20,PHI,ORL,38:58,12,1,4,True
2018-10-23,PHI,DET,44:12,16,2,8,True
2018-10-24,PHI,MIL,29:13,8,1,2,True
2018-10-27,PHI,CHO,36:03,18,0,10,True
2018-10-29,PHI,ATL,31:05,11,1,6,True
2018-10-30,PHI,TOR,36:56,15,1,4,True
2018-11-01,PHI,LAC,33:25,10,2,7,True
2018-11-03,PHI,DET,31:33,5,1,3,True
2018-11-04,PHI,BRK,29:16,4,1,5,True
2018-11-07,PHI,IND,35:56,13,1,4,True
2018-11-09,PHI,CHO,30:02,7,1,3,True
2018-11-10,PHI,MEM,N/A,N/A,N/A,N/A,False
2018-11-12,MIN,BRK,N/A,N/A,N/A,N/A,False
2018-11-14,MIN,NOP,41:10,13,2,7,True
2018-11-16,MIN,POR,23:22,14,0,5,True
2018-11-18,MIN,MEM,37:23,15,2,2,True
2018-11-21,MIN,DEN,37:10,16,0,4,True
2018-11-23,MIN,BRK,37:47,7,2,6,True
2018-11-24,MIN,CHI,35:21,4,1,6,True
2018-11-26,MIN,CLE,38:43,24,1,7,True
2018-11-28,MIN,SAS,30:58,21,1,9,True
2018-12-01,MIN,BOS,38:18,17,0,10,True
2018-12-03,MIN,HOU,38:48,13,3,6,True
2018-12-05,MIN,CHO,33:14,17,1,6,True
2018-12-08,MIN,POR,N/A,N/A,N/A,N/A,False
2018-12-10,MIN,GSW,25:39,7,0,4,True
2018-12-12,MIN,SAC,31:22,17,0,6,True
2018-12-15,MIN,PHO,25:28,4,1,3,True
2018-12-17,MIN,SAC,35:38,13,2,5,True
2018-12-19,MIN,DET,37:12,22,2,6,True
2018-12-21,MIN,SAS,30:40,13,1,7,True
2018-12-23,MIN,OKC,28:48,13,3,5,True
2018-12-26,MIN,CHI,36:53,8,3,9,True
2018-12-28,MIN,ATL,44:44,28,4,7,True
2018-12-30,MIN,MIA,35:53,16,0,4,True
2018-12-31,MIN,NOP,38:06,16,3,2,True
2019-01-02,MIN,BOS,N/A,N/A,N/A,N/A,False
2019-01-04,MIN,ORL,N/A,N/A,N/A,N/A,False
2019-01-06,MIN,LAL,N/A,N/A,N/A,N/A,False
2019-01-08,MIN,OKC,N/A,N/A,N/A,N/A,False
2019-01-11,MIN,DAL,N/A,N/A,N/A,N/A,False
2019-01-12,MIN,NOP,N/A,N/A,N/A,N/A,False
2019-01-15,MIN,PHI,N/A,N/A,N/A,N/A,False
2019-01-18,MIN,SAS,N/A,N/A,N/A,N/A,False
2019-01-20,MIN,PHO,N/A,N/A,N/A,N/A,False
2019-01-22,MIN,PHO,N/A,N/A,N/A,N/A,False
2019-01-24,MIN,LAL,N/A,N/A,N/A,N/A,False
2019-01-25,MIN,UTA,N/A,N/A,N/A,N/A,False
2019-01-27,MIN,UTA,N/A,N/A,N/A,N/A,False
2019-01-30,MIN,MEM,N/A,N/A,N/A,N/A,False
2019-02-02,MIN,DEN,N/A,N/A,N/A,N/A,False
2019-02-05,MIN,MEM,N/A,N/A,N/A,N/A,False
2019-02-07,MIN,ORL,N/A,N/A,N/A,N/A,False
2019-02-08,MIN,NOP,N/A,N/A,N/A,N/A,False
2019-02-11,MIN,LAC,N/A,N/A,N/A,N/A,False
2019-02-13,MIN,HOU,N/A,N/A,N/A,N/A,False
2019-02-22,MIN,NYK,N/A,N/A,N/A,N/A,False
2019-02-23,MIN,MIL,N/A,N/A,N/A,N/A,False
2019-02-25,MIN,SAC,N/A,N/A,N/A,N/A,False
2019-02-27,MIN,ATL,N/A,N/A,N/A,N/A,False
2019-02-28,MIN,IND,N/A,N/A,N/A,N/A,False
2019-03-03,MIN,WAS,N/A,N/A,N/A,N/A,False
2019-03-05,MIN,OKC,N/A,N/A,N/A,N/A,False
2019-03-06,MIN,DET,N/A,N/A,N/A,N/A,False
2019-03-09,MIN,WAS,N/A,N/A,N/A,N/A,False
2019-03-10,MIN,NYK,N/A,N/A,N/A,N/A,False
2019-03-12,MIN,DEN,N/A,N/A,N/A,N/A,False
2019-03-14,MIN,UTA,N/A,N/A,N/A,N/A,False
2019-03-17,MIN,HOU,N/A,N/A,N/A,N/A,False
2019-03-19,MIN,GSW,N/A,N/A,N/A,N/A,False
2019-03-21,MIN,CHO,N/A,N/A,N/A,N/A,False
2019-03-23,MIN,MEM,N/A,N/A,N/A,N/A,False
2019-03-26,MIN,LAC,N/A,N/A,N/A,N/A,False
2019-03-29,MIN,GSW,N/A,N/A,N/A,N/A,False
2019-03-30,MIN,PHI,N/A,N/A,N/A,N/A,False
2019-04-01,MIN,POR,N/A,N/A,N/A,N/A,False
2019-04-03,MIN,DAL,N/A,N/A,N/A,N/A,False
2019-04-05,MIN,MIA,N/A,N/A,N/A,N/A,False
2019-04-07,MIN,OKC,N/A,N/A,N/A,N/A,False
2019-04-09,MIN,TOR,N/A,N/A,N/A,N/A,False
2019-04-10,MIN,DEN,N/A,N/A,N/A,N/A,False
