Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,DEN,LAC,N/A,N/A,N/A,N/A,False
2018-10-20,DEN,PHO,15:10,2,1,1,False
2018-10-21,DEN,GSW,26:35,5,2,9,True
2018-10-23,DEN,SAC,22:52,7,1,1,True
2018-10-25,DEN,LAL,26:21,2,0,3,True
2018-10-29,DEN,NOP,9:21,2,0,1,True
2018-10-31,DEN,CHI,22:29,7,0,4,True
2018-11-01,DEN,CLE,18:12,7,1,6,True
2018-11-03,DEN,UTA,21:02,4,0,6,True
2018-11-05,DEN,BOS,2:44,0,0,0,True
2018-11-07,DEN,MEM,19:46,5,0,3,True
2018-11-09,DEN,BRK,9:12,3,1,1,True
2018-11-11,DEN,MIL,N/A,N/A,N/A,N/A,False
2018-11-13,DEN,HOU,7:15,5,0,1,False
2018-11-15,DEN,ATL,3:44,0,0,1,False
2018-11-17,DEN,NOP,N/A,N/A,N/A,N/A,False
2018-11-19,DEN,MIL,N/A,N/A,N/A,N/A,False
2018-11-21,DEN,MIN,N/A,N/A,N/A,N/A,False
2018-11-23,DEN,ORL,4:56,0,0,4,False
2018-11-24,DEN,OKC,36:04,8,1,10,True
2018-11-27,DEN,LAL,20:25,2,1,8,True
2018-11-30,DEN,POR,0:33,0,0,0,False
2018-12-03,DEN,TOR,17:01,8,1,4,False
2018-12-05,DEN,ORL,25:11,5,1,4,True
2018-12-07,DEN,CHO,18:30,0,0,4,True
2018-12-08,DEN,ATL,31:52,9,3,5,True
2018-12-10,DEN,MEM,24:41,7,1,0,True
2018-12-14,DEN,OKC,35:20,15,3,5,True
2018-12-16,DEN,TOR,39:22,13,1,3,True
2018-12-18,DEN,DAL,20:18,5,1,1,True
2018-12-22,DEN,LAC,26:08,6,0,5,True
2018-12-26,DEN,SAS,34:23,10,2,8,True
2018-12-28,DEN,SAS,30:14,10,1,6,True
2018-12-29,DEN,PHO,25:35,8,2,3,True
2019-01-01,DEN,NYK,24:37,13,1,4,True
2019-01-03,DEN,SAC,28:22,2,4,4,True
2019-01-05,DEN,CHO,28:35,12,1,3,True
2019-01-07,DEN,HOU,25:37,5,0,6,True
2019-01-08,DEN,MIA,38:37,11,4,16,True
2019-01-10,DEN,LAC,30:25,14,0,4,True
2019-01-12,DEN,PHO,24:20,2,2,5,True
2019-01-13,DEN,POR,24:41,3,2,4,True
2019-01-15,DEN,GSW,23:09,4,0,2,True
2019-01-17,DEN,CHI,23:29,13,0,5,True
2019-01-19,DEN,CLE,26:53,5,0,2,True
2019-01-23,DEN,UTA,38:23,7,2,8,True
2019-01-25,DEN,PHO,21:37,8,1,6,False
2019-01-26,DEN,PHI,34:35,15,1,6,True
2019-01-28,DEN,MEM,20:40,5,2,4,True
2019-01-30,DEN,NOP,7:35,0,1,1,False
2019-02-01,DEN,HOU,34:18,22,2,4,False
2019-02-02,DEN,MIN,27:31,4,1,5,False
2019-02-04,DEN,DET,21:17,0,0,0,False
2019-02-06,DEN,BRK,22:36,9,1,2,False
2019-02-08,DEN,PHI,9:39,0,0,0,False
2019-02-11,DEN,MIA,20:40,2,0,3,False
2019-02-13,DEN,SAC,13:03,2,0,2,False
2019-02-22,DEN,DAL,N/A,N/A,N/A,N/A,False
2019-02-24,DEN,LAC,7:47,5,0,1,False
2019-02-26,DEN,OKC,12:12,0,2,3,False
2019-02-28,DEN,UTA,2:20,0,0,0,False
2019-03-02,DEN,NOP,1:38,0,0,0,False
2019-03-04,DEN,SAS,13:10,5,0,2,False
2019-03-06,DEN,LAL,4:19,0,0,0,False
2019-03-08,DEN,GSW,25:57,11,1,10,False
2019-03-12,DEN,MIN,12:20,6,3,0,False
2019-03-14,DEN,DAL,N/A,N/A,N/A,N/A,False
2019-03-16,DEN,IND,0:07,0,0,0,False
2019-03-18,DEN,BOS,21:15,13,2,8,False
2019-03-21,DEN,WAS,25:14,15,4,1,False
2019-03-22,DEN,NYK,12:13,6,1,2,False
2019-03-24,DEN,IND,21:05,5,0,4,False
2019-03-26,DEN,DET,13:33,0,0,2,False
2019-03-28,DEN,HOU,4:23,2,0,0,False
2019-03-29,DEN,OKC,22:16,6,0,2,False
2019-03-31,DEN,WAS,13:58,0,0,2,False
2019-04-02,DEN,GSW,17:53,5,2,2,False
2019-04-03,DEN,SAS,21:50,0,2,7,False
2019-04-05,DEN,POR,26:42,18,1,7,False
2019-04-07,DEN,POR,23:10,13,2,4,False
2019-04-09,DEN,UTA,21:00,3,2,2,False
2019-04-10,DEN,MIN,12:38,4,1,1,False
