Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,MEM,MIA,30:17,13,2,5,True
2019-10-25,MEM,CHI,30:54,13,3,9,True
2019-10-27,MEM,BRK,37:43,6,5,7,True
2019-10-29,MEM,LAL,27:00,9,1,5,True
2019-11-02,MEM,PHO,26:43,0,4,4,True
2019-11-04,MEM,HOU,29:15,8,2,5,True
2019-11-06,MEM,MIN,33:53,18,2,3,True
2019-11-08,MEM,ORL,24:18,8,3,4,True
2019-11-09,MEM,DAL,30:39,18,4,4,True
2019-11-11,MEM,SAS,30:52,8,4,10,True
2019-11-13,MEM,CHO,31:34,3,1,3,True
2019-11-15,MEM,UTA,30:58,11,4,10,True
2019-11-17,MEM,DEN,26:46,8,3,5,True
2019-11-19,MEM,GSW,33:08,15,4,11,True
2019-11-23,MEM,LAL,33:58,21,3,6,True
2019-11-25,MEM,IND,31:45,9,2,3,True
2019-11-27,MEM,LAC,36:32,20,0,4,True
2019-11-29,MEM,UTA,29:17,9,3,8,True
2019-12-01,MEM,MIN,33:10,12,3,10,True
2019-12-02,MEM,IND,29:43,3,1,4,True
2019-12-04,MEM,CHI,33:39,15,4,6,True
2019-12-07,MEM,UTA,30:54,13,3,2,True
2019-12-09,MEM,GSW,30:20,2,1,9,True
2019-12-11,MEM,PHO,31:53,13,5,7,True
2019-12-13,MEM,MIL,33:02,15,4,11,True
2019-12-14,MEM,WAS,N/A,N/A,N/A,N/A,False
2019-12-16,MEM,MIA,33:57,10,2,6,True
2019-12-18,MEM,OKC,32:50,3,4,4,True
2019-12-20,MEM,CLE,28:01,10,2,4,True
2019-12-21,MEM,SAC,30:39,17,5,10,True
2019-12-23,MEM,SAS,29:32,4,4,2,True
2019-12-26,MEM,OKC,25:32,5,1,10,True
2019-12-28,MEM,DEN,27:08,4,2,6,True
2019-12-29,MEM,CHO,N/A,N/A,N/A,N/A,False
2020-01-02,MEM,SAC,30:57,19,6,4,True
2020-01-04,MEM,LAC,31:20,27,7,8,True
2020-01-05,MEM,PHO,25:19,3,2,5,True
2020-01-07,MEM,MIN,30:41,14,3,8,True
2020-01-10,MEM,SAS,22:55,5,1,5,True
2020-01-12,MEM,GSW,20:21,5,1,6,True
2020-01-14,MEM,HOU,N/A,N/A,N/A,N/A,False
2020-01-17,MEM,CLE,30:19,9,3,8,True
2020-01-20,MEM,NOP,17:59,2,1,6,True
2020-01-22,MEM,BOS,18:20,3,1,6,True
2020-01-24,MEM,DET,25:13,0,3,7,True
2020-01-26,MEM,PHO,N/A,N/A,N/A,N/A,False
2020-01-28,MEM,DEN,N/A,N/A,N/A,N/A,False
2020-01-29,MEM,NYK,29:50,18,2,7,True
2020-01-31,MEM,NOP,27:46,15,1,5,True
2020-02-03,MEM,DET,24:46,4,3,5,True
2020-02-05,MEM,DAL,N/A,N/A,N/A,N/A,False
2020-02-07,MIA,SAC,N/A,N/A,N/A,N/A,False
2020-02-09,MIA,POR,34:55,18,3,11,False
2020-02-10,MIA,GSW,31:28,21,0,8,False
2020-02-12,MIA,UTA,24:32,15,1,3,False
2020-02-20,MIA,ATL,23:21,14,1,4,True
2020-02-22,MIA,CLE,26:48,13,2,4,False
2020-02-24,MIA,CLE,38:17,16,3,9,False
2020-02-26,MIA,MIN,31:32,5,0,9,False
2020-02-28,MIA,DAL,30:23,9,1,3,False
2020-02-29,MIA,BRK,28:24,13,0,4,False
2020-03-02,MIA,MIL,29:43,18,4,4,False
2020-03-04,MIA,ORL,32:05,3,4,7,False
2020-03-06,MIA,NOP,10:33,2,2,0,False
2020-03-08,MIA,WAS,N/A,N/A,N/A,N/A,False
2020-03-11,MIA,CHO,31:10,8,5,10,False
2020-08-01,MIA,DEN,29:08,9,1,7,True
2020-08-03,MIA,TOR,33:40,16,3,6,True
2020-08-04,MIA,BOS,28:23,8,0,4,True
2020-08-06,MIA,MIL,25:37,15,1,4,True
2020-08-08,MIA,PHO,27:00,17,1,2,True
2020-08-10,MIA,IND,28:36,14,4,8,True
2020-08-12,MIA,OKC,7:33,3,0,0,True
2020-08-14,MIA,IND,N/A,N/A,N/A,N/A,False
