Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,PHI,WAS,32:16,13,4,0,True
2020-12-26,PHI,NYK,29:53,17,3,4,True
2020-12-27,PHI,CLE,24:26,8,4,1,True
2020-12-29,PHI,TOR,32:38,17,4,6,True
2020-12-31,PHI,ORL,24:45,21,3,1,True
2021-01-02,PHI,CHO,34:15,21,6,0,True
2021-01-04,PHI,CHO,25:34,11,2,1,True
2021-01-06,PHI,WAS,36:18,28,3,5,True
2021-01-07,PHI,BRK,N/A,N/A,N/A,N/A,False
2021-01-09,PHI,DEN,N/A,N/A,N/A,N/A,False
2021-01-11,PHI,ATL,N/A,N/A,N/A,N/A,False
2021-01-12,PHI,MIA,N/A,N/A,N/A,N/A,False
2021-01-14,PHI,MIA,N/A,N/A,N/A,N/A,False
2021-01-16,PHI,MEM,N/A,N/A,N/A,N/A,False
2021-01-20,PHI,BOS,N/A,N/A,N/A,N/A,False
2021-01-22,PHI,BOS,27:01,15,1,0,True
2021-01-23,PHI,DET,27:35,14,1,3,True
2021-01-25,PHI,DET,22:07,7,2,2,True
2021-01-27,PHI,LAL,30:32,2,3,1,True
2021-01-29,PHI,MIN,25:22,12,1,2,True
2021-01-31,PHI,IND,24:51,9,1,0,True
2021-02-03,PHI,CHO,28:34,0,3,0,True
2021-02-04,PHI,POR,12:05,0,1,2,True
2021-02-06,PHI,BRK,26:41,11,4,2,True
2021-02-09,PHI,SAC,29:15,22,1,3,True
2021-02-11,PHI,POR,34:30,15,2,4,True
2021-02-13,PHI,PHO,34:37,10,4,1,True
2021-02-15,PHI,UTA,37:05,11,1,2,True
2021-02-17,PHI,HOU,36:51,25,5,2,True
2021-02-19,PHI,CHI,38:01,9,0,4,True
2021-02-21,PHI,TOR,35:19,12,6,3,True
2021-02-23,PHI,TOR,N/A,N/A,N/A,N/A,False
2021-02-25,PHI,DAL,29:02,15,2,3,True
2021-02-27,PHI,CLE,38:49,4,2,2,True
2021-03-01,PHI,IND,22:35,7,5,0,True
2021-03-03,PHI,UTA,34:56,14,3,2,True
2021-03-11,PHI,CHI,25:24,12,7,2,True
2021-03-12,PHI,WAS,29:57,14,3,4,True
2021-03-14,PHI,SAS,26:15,21,4,4,True
2021-03-16,PHI,NYK,31:47,20,2,3,True
2021-03-17,PHI,MIL,26:15,10,3,4,True
2021-03-20,PHI,SAC,N/A,N/A,N/A,N/A,False
2021-03-21,PHI,NYK,N/A,N/A,N/A,N/A,False
2021-03-23,PHI,GSW,N/A,N/A,N/A,N/A,False
2021-03-25,PHI,LAL,27:11,19,2,1,True
2021-03-27,PHI,LAC,27:24,7,2,2,True
2021-03-30,PHI,DEN,24:00,8,1,0,True
2021-04-01,PHI,CLE,24:12,19,4,4,True
2021-04-03,PHI,MIN,33:51,13,5,1,True
2021-04-04,PHI,MEM,23:34,3,1,2,True
2021-04-06,PHI,BOS,31:47,9,2,1,True
2021-04-09,PHI,NOP,26:10,0,3,3,True
2021-04-10,PHI,OKC,28:14,11,6,3,True
2021-04-12,PHI,DAL,24:21,8,2,2,True
2021-04-14,PHI,BRK,25:04,5,1,2,True
2021-04-16,PHI,LAC,N/A,N/A,N/A,N/A,False
2021-04-19,PHI,GSW,35:10,15,5,0,True
2021-04-21,PHI,PHO,N/A,N/A,N/A,N/A,False
2021-04-22,PHI,MIL,25:42,11,0,1,True
2021-04-24,PHI,MIL,25:02,13,1,3,True
2021-04-26,PHI,OKC,23:54,9,1,1,True
2021-04-28,PHI,ATL,25:38,20,1,3,True
2021-04-30,PHI,ATL,23:44,7,3,6,True
2021-05-02,PHI,SAS,35:23,22,1,5,True
2021-05-03,PHI,CHI,35:10,20,4,4,True
2021-05-05,PHI,HOU,21:56,11,3,3,True
2021-05-07,PHI,NOP,32:25,16,5,6,True
2021-05-08,PHI,DET,N/A,N/A,N/A,N/A,False
2021-05-11,PHI,IND,34:33,10,3,4,True
2021-05-13,PHI,MIA,25:16,8,1,3,True
2021-05-14,PHI,ORL,23:08,20,2,3,True
2021-05-16,PHI,ORL,N/A,N/A,N/A,N/A,False
